table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
12314,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['149,584', '  ']","['271', '  ']","['11,083', '  ']","['629', '  ']","['3,502', '  ']","['970', '  ']","['974', '  ']","['774', '  ']","['4,413', '  ']","['10,326', '  ']","['435', '  ']","['5,596', '  ']","['1,944', '  ']","['427', '  ']","['3,872', '  ']","['453', '  ']","['1,484', '  ']","['870', 'i ']","['1,932', '  ']","['1,527', '  ']","['6,471', '  ']","['357', 'i ']","['17,335', '  ']","['4,453', '  ']"
12314,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['84,419', '  ']","['257', '  ']","['5,054', '  ']","['429', '  ']","['3,020', '  ']","['282', '  ']","['662', '  ']","['463', '  ']","['2,423', '  ']","['7,365', '  ']","['173', '  ']","['2,562', '  ']","['1,429', '  ']","['319', '  ']","['2,731', '  ']","['335', '  ']","['792', '  ']","['575', '  ']","['998', '  ']","['742', '  ']","['3,941', '  ']","['155', '  ']","['6,305', '  ']","['2,003', '  ']"
12314,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,463', '  ']","['D', '  ']","['61', '  ']","['7', '  ']","['18', '  ']","['3', '  ']","['5', '  ']","['D', '  ']","['59', '  ']","['47', '  ']","['D', '  ']","['4', '  ']","['23', '  ']","['0', '  ']","['27', '  ']","['16', '  ']","['7', '  ']","['17', '  ']","['28', '  ']","['4', '  ']","['39', '  ']","['7', '  ']","['154', '  ']","['68', '  ']"
12314,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['630', '  ']","['0', '  ']","['*', '  ']","['D', '  ']","['20', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['48', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['389', '  ']","['D', '  ']","['33', '  ']","['0', '  ']"
12314,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['113', '  ']","['0', '  ']","['D', '  ']","['1', '  ']","['D', '  ']","['2', '  ']","['0', '  ']","['5', '  ']","['14', '  ']","['6', '  ']","['*', '  ']","['0', '  ']","['8', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['2', '  ']","['D', '  ']"
12314,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['4', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12314,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['81', '  ']","['0', '  ']","['33', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['1', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['1', '  ']","['0', '  ']"
12314,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
12314,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['247', '  ']","['0', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['*', '  ']","['*', '  ']","['*', '  ']","['D', '  ']","['3', '  ']","['D', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['94', '  ']","['*', '  ']"
12314,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['25,061', '  ']","['114', '  ']","['1,043', '  ']","['139', '  ']","['2,601', '  ']","['76', 'i ']","['200', '  ']","['83', '  ']","['833', '  ']","['1,811', '  ']","['53', 'i ']","['710', '  ']","['474', '  ']","['139', '  ']","['2,021', '  ']","['53', '  ']","['183', '  ']","['320', 'i ']","['424', '  ']","['189', '  ']","['2,582', '  ']","['104', 'i ']","['2,313', '  ']","['1,002', '  ']"
12314,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['956', '  ']","['0', '  ']","['8', '  ']","['3', 'i ']","['42', '  ']","['2', '  ']","['D', '  ']","['12', '  ']","['77', 'i ']","['92', '  ']","['D', '  ']","['1', '  ']","['74', '  ']","['0', '  ']","['125', '  ']","['D', '  ']","['1', '  ']","['D', '  ']","['21', '  ']","['40', 'i ']","['30', '  ']","['8', '  ']","['109', '  ']","['10', '  ']"
12314,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['539', '  ']","['0', '  ']","['9', '  ']","['0', '  ']","['30', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['10', 'i ']","['60', '  ']","['0', '  ']","['0', '  ']","['15', '  ']","['D', '  ']","['58', '  ']","['0', '  ']","['D', '  ']","['1', '  ']","['15', '  ']","['*', '  ']","['4', '  ']","['D', '  ']","['7', '  ']","['2', '  ']"
12314,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['151', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['0', '  ']","['8', '  ']","['10', '  ']","['D', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['2', '  ']","['0', '  ']","['2', '  ']","['D', '  ']","['1', '  ']","['1', '  ']"
12314,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['22,266', '  ']","['D', '  ']","['983', '  ']","['133', '  ']","['2,420', '  ']","['73', 'i ']","['149', '  ']","['67', '  ']","['681', '  ']","['1,414', '  ']","['51', 'i ']","['706', '  ']","['378', '  ']","['D', '  ']","['1,789', '  ']","['D', '  ']","['175', '  ']","['317', 'i ']","['383', '  ']","['148', '  ']","['2,513', '  ']","['94', 'i ']","['2,069', '  ']","['980', '  ']"
12314,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['917', '  ']","['D', '  ']","['23', '  ']","['1', '  ']","['102', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['49', '  ']","['213', '  ']","['1', '  ']","['*', '  ']","['5', '  ']","['0', '  ']","['19', '  ']","['*', '  ']","['3', '  ']","['2', '  ']","['3', '  ']","['0', '  ']","['28', '  ']","['1', '  ']","['107', '  ']","['3', '  ']"
12314,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['232', '  ']","['0', '  ']","['D', '  ']","['3', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['8', '  ']","['23', '  ']","['D', '  ']","['2', '  ']","['1', '  ']","['0', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['1', '  ']","['*', '  ']","['6', '  ']","['D', '  ']","['20', '  ']","['7', '  ']"
