table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_total_2016,field_total_2017,field_total_2018,field_total_2019,field_federally_financed_2016,field_federally_financed_2017,field_federally_financed_2018,field_federally_financed_2019
3166,r077,All institutions -> Dartmouth C. and Dartmouth Hitchcock Medical Center,All institutions,Dartmouth C. and Dartmouth Hitchcock Medical Center,2,76,"['4,850', '']","['8,605', '']","['8,435', '']","['8,125', '']","['2,341', '']","['2,146', '']","['2,619', '']","['2,471', '']"
3166,r078,"All institutions -> Montana State U., Bozeman",All institutions,"Montana State U., Bozeman",2,77,"['7,861', '']","['5,951', '']","['6,178', '']","['7,838', '']","['6,059', '']","['4,860', '']","['5,110', '']","['5,448', '']"
3166,r079,"All institutions -> U. Tennessee, Knoxville",All institutions,"U. Tennessee, Knoxville",2,78,"['8,093', '']","['8,162', '']","['8,481', '']","['7,780', '']","['4,305', '']","['5,244', '']","['4,300', '']","['3,649', '']"
3166,r080,All institutions -> Jackson State U.,All institutions,Jackson State U.,2,79,"['5,177', '']","['5,813', '']","['7,222', '']","['7,573', '']","['4,673', '']","['5,281', '']","['6,848', '']","['7,017', '']"
3166,r081,All institutions -> Temple U.,All institutions,Temple U.,2,80,"['7,491', '']","['7,122', '']","['6,458', '']","['7,522', '']","['4,419', '']","['5,003', '']","['5,078', '']","['5,636', '']"
3166,r082,All institutions -> Texas Tech U.,All institutions,Texas Tech U.,2,81,"['7,047', '']","['6,245', '']","['7,703', '']","['7,368', '']","['1,352', '']","['1,410', '']","['2,510', '']","['2,760', '']"
3166,r083,"All institutions -> SUNY, U. Buffalo",All institutions,"SUNY, U. Buffalo",2,82,"['8,746', '']","['9,102', '']","['9,069', '']","['7,311', '']","['5,324', '']","['5,566', '']","['5,798', '']","['4,716', '']"
3166,r084,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,83,"['22,187', '']","['9,066', '']","['4,606', '']","['7,258', '']","['17,039', '']","['4,188', '']","['3,529', '']","['2,680', '']"
3166,r085,All institutions -> Boston C.,All institutions,Boston C.,2,84,"['5,864', '']","['6,137', '']","['6,530', '']","['7,188', '']","['4,089', '']","['4,412', '']","['4,805', '']","['5,597', '']"
3166,r086,All institutions -> Northeastern U.,All institutions,Northeastern U.,2,85,"['6,346', '']","['5,716', '']","['6,270', '']","['7,067', '']","['3,149', '']","['2,962', '']","['4,218', '']","['4,258', '']"
3166,r087,"All institutions -> U. Texas, San Antonio",All institutions,"U. Texas, San Antonio",2,86,"['4,366', '']","['10,155', '']","['8,475', '']","['6,843', '']","['1,758', '']","['3,175', '']","['1,875', '']","['1,732', '']"
3166,r088,"All institutions -> U. Texas, El Paso",All institutions,"U. Texas, El Paso",2,87,"['6,071', '']","['5,735', '']","['6,456', '']","['6,519', '']","['3,458', '']","['3,524', '']","['4,026', '']","['3,736', '']"
3166,r089,"All institutions -> Auburn U., Auburn",All institutions,"Auburn U., Auburn",2,88,"['1,645', '']","['4,441', '']","['4,298', '']","['6,440', '']","['1,075', '']","['1,179', '']","['1,355', '']","['1,833', '']"
3166,r090,All institutions -> Rensselaer Polytechnic Institute,All institutions,Rensselaer Polytechnic Institute,2,89,"['6,178', '']","['7,338', '']","['5,560', '']","['6,393', '']","['2,764', '']","['3,371', '']","['3,075', '']","['2,391', '']"
3166,r091,All institutions -> Mississippi State U.,All institutions,Mississippi State U.,2,90,"['5,046', '']","['5,472', '']","['5,228', '']","['6,348', '']","['1,081', '']","['1,682', '']","['1,603', '']","['1,206', '']"
3166,r092,"All institutions -> CUNY, City C.",All institutions,"CUNY, City C.",2,91,"['5,879', '']","['5,920', '']","['5,779', '']","['6,308', '']","['3,672', '']","['4,115', '']","['4,351', '']","['4,502', '']"
3166,r093,All institutions -> U. Mississippi,All institutions,U. Mississippi,2,92,"['3,577', '']","['4,810', '']","['3,599', '']","['6,256', '']","['1,810', '']","['2,387', '']","['2,169', '']","['3,890', '']"
3166,r094,"All institutions -> U. Arkansas, Fayetteville",All institutions,"U. Arkansas, Fayetteville",2,93,"['5,066', '']","['5,123', '']","['6,092', '']","['6,084', '']","['1,591', '']","['1,942', '']","['2,262', '']","['2,548', '']"
