table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016
1442,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['106', '&nbsp;']","['54', '&nbsp;']","['282', 'i']","['253', '&nbsp;']","['261', '&nbsp;']","['249', 'i']","['155', 'i']","['228', '&nbsp;']","['185', ' ']"
1442,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['114', '&nbsp;']","['130', '&nbsp;']","['121', '&nbsp;']","['108', '&nbsp;']","['77', '&nbsp;']","['82', '&nbsp;']","['94', '&nbsp;']","['86', '&nbsp;']","['69', ' ']"
1442,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['188', '&nbsp;']","['117', '&nbsp;']","['91', '&nbsp;']","['135', '&nbsp;']","['122', '&nbsp;']","['109', '&nbsp;']","['222', '&nbsp;']","['194', '&nbsp;']","['245', ' ']"
1442,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,929', '&nbsp;']","['1,930', '&nbsp;']","['2,143', '&nbsp;']","['3,587', '&nbsp;']","['3,710', '&nbsp;']","['2,833', '&nbsp;']","['2,984', '&nbsp;']","['3,288', '&nbsp;']","['3,179', ' ']"
1442,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,"['399', '&nbsp;']","['391', '&nbsp;']","['D', '&nbsp;']","['293', '&nbsp;']","['596', '&nbsp;']","['646', '&nbsp;']","['D', '&nbsp;']","['621', '&nbsp;']","['625', ' ']"
1442,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['366', '&nbsp;']","['285', '&nbsp;']","['296', '&nbsp;']","['376', '&nbsp;']","['66', '&nbsp;']","['451', '&nbsp;']","['493', '&nbsp;']","['599', '&nbsp;']","['727', ' ']"
1442,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,"['92', '&nbsp;']","['83', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['347', '&nbsp;']","['537', '&nbsp;']","['405', '&nbsp;']","['368', ' ']"
1442,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,072', '&nbsp;']","['1,170', '&nbsp;']","['1,254', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,389', '&nbsp;']","['D', '&nbsp;']","['1,664', '&nbsp;']","['1,459', ' ']"
1442,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['15,774', '&nbsp;']","['12,917', '&nbsp;']","['13,722', '&nbsp;']","['16,708', '&nbsp;']","['21,117', '&nbsp;']","['21,485', '&nbsp;']","['20,943', '&nbsp;']","['20,678', '&nbsp;']","['20,791', ' ']"
1442,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['2,951', '&nbsp;']","['2,862', '&nbsp;']","['3,194', '&nbsp;']","['2,863', '&nbsp;']","['4,525', '&nbsp;']","['4,730', '&nbsp;']","['3,702', '&nbsp;']","['3,625', '&nbsp;']","['2,963', ' ']"
1442,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['7,075', '&nbsp;']","['6,058', '&nbsp;']","['6,343', '&nbsp;']","['7,909', '&nbsp;']","['10,082', '&nbsp;']","['10,434', '&nbsp;']","['10,360', '&nbsp;']","['9,896', '&nbsp;']","['10,304', ' ']"
1442,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['2,308', '&nbsp;']","['2,180', '&nbsp;']","['2,158', '&nbsp;']","['2,390', '&nbsp;']","['2,722', '&nbsp;']","['2,927', '&nbsp;']","['3,122', '&nbsp;']","['2,819', '&nbsp;']","['3,227', ' ']"
1442,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses",5,"334510, 334517","['838', '&nbsp;']","['522', '&nbsp;']","['360', '&nbsp;']","['557', '&nbsp;']","['586', '&nbsp;']","['202', '&nbsp;']","['1,073', '&nbsp;']","['923', '&nbsp;']","['922', ' ']"
1442,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,"['D', '&nbsp;']","['508', '&nbsp;']","['475', '&nbsp;']","['575', '&nbsp;']","['578', '&nbsp;']","['647', '&nbsp;']","['625', '&nbsp;']","['673', '&nbsp;']","['840', ' ']"
