table_id,row_id,_b_fy_2021_survey_b_full_path,_b_fy_2021_survey_b_level_1,_b_fy_2021_survey_b_level_2,_b_fy_2021_survey_b_hierarchy_depth,field_fy_2022_survey
10198,r001,Bluefield State C.,Bluefield State C.,,1,Bluefield State U.
10198,r002,Converse C.,Converse C.,,1,Converse U.
10198,r003,Humboldt State U.,Humboldt State U.,,1,"California State Polytechnic U., Humboldt"
10198,r004,Moravian C.,Moravian C.,,1,Moravian U.
10198,r005,Touro C.,Touro C.,,1,"Touro U., New York"
10198,r006,Touro U.,Touro U.,,1,"Touro U., California"
10198,r007,Utica C.,Utica C.,,1,Utica U.
10198,r008,Multiple campuses,Multiple campuses,,1,Saint Joseph's U.
10198,r009,Multiple campuses -> Saint Joseph's U.,Multiple campuses,Saint Joseph's U.,2,
10198,r010,Multiple campuses -> U. of the Sciences Philadelphia,Multiple campuses,U. of the Sciences Philadelphia,2,
