table_id,row_id,_b_field_and_2021_carnegie_classification_b_full_path,_b_field_and_2021_carnegie_classification_b_level_1,_b_field_and_2021_carnegie_classification_b_level_2,_b_field_and_2021_carnegie_classification_b_level_3,_b_field_and_2021_carnegie_classification_b_level_4,_b_field_and_2021_carnegie_classification_b_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023
11641,r001,All doctorate recipients,All doctorate recipients,,,,1,52703,53986,54886,54809,54550,55078,55599,55203,52160,57448,57862
11641,r002,All doctorate recipients -> R1: doctoral universities - very high research,All doctorate recipients,R1: doctoral universities - very high research,,,2,43852,44487,45006,44840,44678,45039,45359,44978,42383,47070,47445
11641,r003,All doctorate recipients -> R2: doctoral universities - high research,All doctorate recipients,R2: doctoral universities - high research,,,2,5347,5788,6012,6063,6131,6073,6180,6188,5768,6060,6208
11641,r004,All doctorate recipients -> Doctoral/ professional universities,All doctorate recipients,Doctoral/ professional universities,,,2,1492,1755,1747,1870,1756,1908,1822,1967,1998,1932,1810
11641,r005,All doctorate recipients -> Other universities,All doctorate recipients,Other universities,,,2,2012,1956,2121,2036,1985,2058,2238,2070,2011,2386,2399
11641,r006,All doctorate recipients -> Science and engineering,All doctorate recipients,Science and engineering,,,2,39084,40708,41247,41306,41364,42144,42897,42564,40819,45402,45533
11641,r007,All doctorate recipients -> Science and engineering -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,R1: doctoral universities - very high research,,3,32935,33960,34307,34343,34530,35017,35545,35281,33844,37847,37975
11641,r008,All doctorate recipients -> Science and engineering -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,R2: doctoral universities - high research,,3,3686,4059,4194,4175,4210,4330,4440,4480,4190,4433,4582
11641,r009,All doctorate recipients -> Science and engineering -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Doctoral/ professional universities,,3,912,1129,1060,1141,1058,1162,1108,1171,1165,1180,1075
11641,r010,All doctorate recipients -> Science and engineering -> Other universities,All doctorate recipients,Science and engineering,Other universities,,3,1551,1560,1686,1647,1566,1635,1804,1632,1620,1942,1901
11641,r011,All doctorate recipients -> Science and engineering -> Agricultural sciences and natural resources,All doctorate recipients,Science and engineering,Agricultural sciences and natural resources,,3,1391,1380,1490,1428,1543,1499,1538,1531,1412,1509,1477
11641,r012,All doctorate recipients -> Science and engineering -> Agricultural sciences and natural resources -> R1: doctoral universities - very high research,All doctorate recipients,Science and engineering,Agricultural sciences and natural resources,R1: doctoral universities - very high research,4,1240,1212,1328,1258,1375,1349,1392,1353,1259,1340,1332
11641,r013,All doctorate recipients -> Science and engineering -> Agricultural sciences and natural resources -> R2: doctoral universities - high research,All doctorate recipients,Science and engineering,Agricultural sciences and natural resources,R2: doctoral universities - high research,4,140,152,148,151,145,137,130,153,135,143,130
11641,r014,All doctorate recipients -> Science and engineering -> Agricultural sciences and natural resources -> Doctoral/ professional universities,All doctorate recipients,Science and engineering,Agricultural sciences and natural resources,Doctoral/ professional universities,4,0,1,3,1,5,1,5,7,4,7,4
