table_id,row_id,scientific_field_full_path,scientific_field_level_1,scientific_field_level_2,scientific_field_hierarchy_depth,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10573,r001,Total,Total,,1,36813,40191,39270,38427,40174,39938,46031,44084,43244,40585
10573,r002,Total -> Agricultural sciences,Total,Agricultural sciences,2,321,336,282,301,317,315,345,350,344,252
10573,r003,Total -> Astronomy and astrophysics,Total,Astronomy and astrophysics,2,14,18,23,27,25,29,39,68,55,71
10573,r004,Total -> Biological and biomedical sciences,Total,Biological and biomedical sciences,2,13130,14390,14382,13848,14393,15100,17642,17643,17207,16597
10573,r005,Total -> Chemistry,Total,Chemistry,2,2359,2318,2356,2314,2538,2513,2881,2862,2741,2565
10573,r006,Total -> Computer and information sciences,Total,Computer and information sciences,2,1465,1645,1544,1615,1589,1841,2006,1752,1547,1558
10573,r007,Total -> Engineering,Total,Engineering,2,3321,3865,3670,3869,4189,4027,5060,4900,4735,4436
10573,r008,"Total -> Geosciences, atmospheric sciences, and ocean sciences",Total,"Geosciences, atmospheric sciences, and ocean sciences",2,273,286,214,292,268,207,279,259,287,323
10573,r009,Total -> Health sciences,Total,Health sciences,2,10573,11250,11101,10823,11183,10737,12102,11401,11655,10427
10573,r010,Total -> Materials science,Total,Materials science,2,672,853,867,751,877,818,1008,834,924,823
10573,r011,Total -> Mathematics and statistics,Total,Mathematics and statistics,2,59,66,43,47,40,60,73,77,94,79
10573,r012,Total -> Natural resources and conservation,Total,Natural resources and conservation,2,109,138,114,128,127,187,185,219,201,163
10573,r013,Total -> Physics,Total,Physics,2,4384,4918,4597,4305,4535,4005,4299,3575,3334,3190
10573,r014,Total -> Psychology,Total,Psychology,2,126,99,73,90,80,91,94,135,103,91
10573,r015,Total -> Social sciences,Total,Social sciences,2,7,9,4,17,13,8,18,9,17,10
