table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expenditures,field_internal_funds,field_federal_government,field_all_other_sources_of_funds
9811,r001,All states,All states,,1,"['27,190,025', '  ']","['7,538,477', '  ']","['11,619,826', '  ']","['8,031,722', '  ']"
9811,r002,All states -> Alabama,All states,Alabama,2,"['119,648', '  ']","['13,491', '  ']","['54,932', '  ']","['51,225', '  ']"
9811,r003,All states -> Alaska,All states,Alaska,2,"['17,348', '  ']","['102', '  ']","['15,422', '  ']","['1,823', '  ']"
9811,r004,All states -> Arizona,All states,Arizona,2,"['167,675', '  ']","['57,115', '  ']","['86,227', '  ']","['24,333', '  ']"
9811,r005,All states -> Arkansas,All states,Arkansas,2,"['74,352', 'i ']","['26,182', 'i ']","['25,982', '  ']","['22,189', '  ']"
9811,r006,All states -> California,All states,California,2,"['3,534,937', '  ']","['840,275', '  ']","['1,570,592', '  ']","['1,124,069', '  ']"
9811,r007,All states -> Colorado,All states,Colorado,2,"['348,167', '  ']","['27,098', '  ']","['93,339', '  ']","['227,729', '  ']"
9811,r008,All states -> Connecticut,All states,Connecticut,2,"['102,602', '  ']","['64,657', '  ']","['18,088', '  ']","['19,857', '  ']"
9811,r009,All states -> Delaware,All states,Delaware,2,"['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']","['S', '&nbsp;']"
9811,r010,All states -> District of Columbia,All states,District of Columbia,2,"['1,032,981', '  ']","['259,133', '  ']","['239,050', '  ']","['534,798', '  ']"
9811,r011,All states -> Florida,All states,Florida,2,"['459,861', '  ']","['100,250', '  ']","['188,516', '  ']","['171,096', '  ']"
9811,r012,All states -> Georgia,All states,Georgia,2,"['91,245', '  ']","['24,544', '  ']","['17,004', '  ']","['49,697', '  ']"
9811,r013,All states -> Hawaii,All states,Hawaii,2,"['39,332', '  ']","['17,901', '  ']","['9,032', '  ']","['12,398', '  ']"
9811,r014,All states -> Idaho,All states,Idaho,2,"['63,591', '  ']","['31,598', '  ']","['10,528', '  ']","['21,465', '  ']"
9811,r015,All states -> Illinois,All states,Illinois,2,"['746,646', '  ']","['364,473', '  ']","['210,908', '  ']","['171,265', '  ']"
9811,r016,All states -> Indiana,All states,Indiana,2,"['27,891', '  ']","['13,029', '  ']","['554', '  ']","['14,309', '  ']"
9811,r017,All states -> Iowa,All states,Iowa,2,"['6,061', '  ']","['4,671', '  ']","['956', '  ']","['435', '  ']"
9811,r018,All states -> Kansas,All states,Kansas,2,"['13,830', '  ']","['3,190', '  ']","['613', '  ']","['10,028', '  ']"
9811,r019,All states -> Kentucky,All states,Kentucky,2,"['9,679', '  ']","['3,626', '  ']","['2,714', '  ']","['3,338', '  ']"
9811,r020,All states -> Louisiana,All states,Louisiana,2,"['39,296', '  ']","['7,184', '  ']","['22,043', '  ']","['10,069', '  ']"
9811,r021,All states -> Maine,All states,Maine,2,"['178,509', '  ']","['2,951', '  ']","['134,499', '  ']","['41,060', '  ']"
9811,r022,All states -> Maryland,All states,Maryland,2,"['1,731,158', '  ']","['857,951', '  ']","['811,349', '  ']","['61,858', '  ']"
9811,r023,All states -> Massachusetts,All states,Massachusetts,2,"['5,348,688', '  ']","['1,154,418', '  ']","['2,502,291', '  ']","['1,691,979', '  ']"
9811,r024,All states -> Michigan,All states,Michigan,2,"['247,090', '  ']","['96,868', '  ']","['70,624', '  ']","['79,597', '  ']"
9811,r025,All states -> Minnesota,All states,Minnesota,2,"['1,349,831', '  ']","['732,551', 'i ']","['186,410', 'i ']","['430,871', '  ']"
9811,r026,All states -> Mississippi,All states,Mississippi,2,"['993', '  ']","['0', '  ']","['993', '  ']","['0', '  ']"
9811,r027,All states -> Missouri,All states,Missouri,2,"['107,125', '  ']","['44,202', '  ']","['29,374', '  ']","['33,550', '  ']"
9811,r028,All states -> Montana,All states,Montana,2,"['7,186', '  ']","['531', '  ']","['1,292', '  ']","['5,363', '  ']"
9811,r029,All states -> Nebraska,All states,Nebraska,2,"['10,720', '  ']","['926', '  ']","['8,871', '  ']","['923', '  ']"
