table_id,row_id,region_country_or_economy_full_path,region_country_or_economy_level_1,region_country_or_economy_level_2,region_country_or_economy_level_3,region_country_or_economy_level_4,region_country_or_economy_hierarchy_depth,field_2002,field_2003,field_2004,field_2005,field_2006,field_2007,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6214,r001,World,World,,,,1,510374,569022,635123,680670,740660,831878,933632,922926,992002,1123653,1163837,1224034,1298267,1281320,1363281,1473119,1619127,1720742
6214,r002,World -> North America,World,North America,,,2,180800,190305,209993,221340,247849,251526,284653,295627,327279,366137,385744,415432,444618,481503,527966,566124,629640,690936
6214,r003,World -> North America -> Canada,World,North America,Canada,,3,8611,10649,12016,13468,15871,18009,19117,19400,22157,25325,26453,27326,27740,25628,26679,29459,31862,33791
6214,r004,World -> North America -> Mexico,World,North America,Mexico,,3,824,792,908,1055,1091,1199,1286,1087,1164,1195,1220,1232,1339,1210,1193,1318,1317,1366
6214,r005,World -> North America -> United States,World,North America,United States,,3,171364,178864,197069,206818,230887,232318,264249,275140,303958,339617,358071,386873,415539,454665,500094,535347,596461,655779
6214,r006,World -> Central and South America,World,Central and South America,,,2,7908,8296,10638,14453,17329,22273,26890,28131,34589,41750,41231,43543,42803,37668,35622,40456,38604,37454
6214,r007,World -> Central and South America -> Argentina,World,Central and South America,Argentina,,3,1108,1241,1553,1862,2183,2765,3472,3389,4013,4829,5195,5537,4979,5866,5150,6148,4920,4132
6214,r008,World -> Central and South America -> Brazil,World,Central and South America,Brazil,,3,3790,4215,5778,8088,9994,13370,15973,17283,22029,26814,24599,26078,26173,20458,20755,23110,21902,22307
6214,r009,World -> Central and South America -> Chile,World,Central and South America,Chile,,3,606,573,728,950,1156,1359,1800,1669,2139,2767,3009,3172,2961,2845,3135,3527,3326,3125
6214,r010,World -> Central and South America -> Colombia,World,Central and South America,Colombia,,3,769,736,921,1719,1915,2412,2778,2563,3179,3542,3982,4006,3978,2980,2823,3170,3358,3193
6214,r011,World -> Central and South America -> Peru,World,Central and South America,Peru,,3,467,493,540,593,677,728,832,791,895,988,1095,1164,1172,1076,1081,1218,1274,1329
6214,r012,World -> Central and South America -> Other Central and South America,World,Central and South America,Other Central and South America,,3,1169,1040,1119,1240,1405,1639,2035,2436,2334,2810,3350,3586,3540,4444,2679,3284,3823,3367
6214,r013,World -> Europe,World,Europe,,,2,173315,208590,239820,256642,276477,335194,364644,330888,332725,375481,373228,399403,422867,379311,394365,431321,484998,512955
6214,r014,World -> Europe -> EU,World,Europe,EU,,3,124892,149393,170893,180184,194747,234728,264740,246099,241523,272968,265130,289712,305963,271680,290276,321213,362132,380046
6214,r015,World -> Europe -> EU -> France,World,Europe,EU,France,4,30770,36753,41779,42704,46914,54397,60602,55141,53984,58366,56061,58740,62127,54689,58484,64384,72555,74167
6214,r016,World -> Europe -> EU -> Germany,World,Europe,EU,Germany,4,33481,38534,44465,47412,50759,62928,68418,63183,61708,75578,74886,85822,91366,78017,82232,88539,98797,104293
6214,r017,World -> Europe -> EU -> Italy,World,Europe,EU,Italy,4,19907,23858,25655,26112,26762,31058,34431,33690,32512,35301,32617,34226,35557,31275,33369,36238,37545,37780
6214,r018,World -> Europe -> EU -> Spain,World,Europe,EU,Spain,4,8336,10673,12166,12858,14006,16431,18916,18353,16448,17792,16648,17935,18533,15721,16444,18448,20773,21252
6214,r019,World -> Europe -> EU -> Other EU,World,Europe,EU,Other EU,4,32397,39574,46828,51098,56306,69915,82374,75732,76871,85930,84918,92989,98381,91977,99746,113605,132462,142555
6214,r020,World -> Europe -> Non-EU,World,Europe,Non-EU,,3,48423,59198,68927,76457,81731,100465,99903,84789,91202,102513,108097,109691,116904,107631,104089,110108,122866,132909
