table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_hierarchy_depth,field_naics_code,field_2011_domestic,field_2011_foreign,field_2018_domestic,field_2018_foreign,field_2019_domestic,field_2019_foreign,field_2011_19_aagr_domestic,field_2011_19_aagr_foreign
6636,r001,All industries,All industries,,,1,"21–23, 31–33, 42–81",290240,69231,441036,100376,492956,104464,7,5
6636,r002,All industries -> Manufacturing,All industries,Manufacturing,,2,31–33,202363,51870,274075,64878,285674,64351,4,3
6636,r003,All industries -> Manufacturing -> Chemicals,All industries,Manufacturing,Chemicals,3,325,55853,16393,84137,16749,97063,18568,7,2
6636,r004,All industries -> Manufacturing -> Plastics and rubber products,All industries,Manufacturing,Plastics and rubber products,3,326,2278,362,2751,428,2856,503,3,4
6636,r005,All industries -> Manufacturing -> Nonmetallic mineral products,All industries,Manufacturing,Nonmetallic mineral products,3,327,1175,253,1385,181,1508,192,3,-3
6636,r006,All industries -> Manufacturing -> Fabricated metal products,All industries,Manufacturing,Fabricated metal products,3,332,1857,137,2327,216,2885,278,6,9
6636,r007,All industries -> Manufacturing -> Machinery,All industries,Manufacturing,Machinery,3,333,14725,3524,14799,4521,15184,4251,0,2
6636,r008,All industries -> Manufacturing -> Computer and electronic products,All industries,Manufacturing,Computer and electronic products,3,334,62438,17294,83697,28322,86729,25452,4,5
6636,r009,All industries -> Manufacturing -> Electrical equipment,All industries,Manufacturing,Electrical equipment,3,335,3624,1704,4487,1693,5263,1743,5,0
6636,r010,All industries -> Manufacturing -> Transportation equipment,All industries,Manufacturing,Transportation equipment,3,336,41094,7933,52629,7446,45375,7812,1,0
6636,r011,All industries -> Nonmanufacturing,All industries,Nonmanufacturing,,2,"21–23, 42–81",87877,17361,166961,35498,207283,40113,11,11
6636,r012,All industries -> Nonmanufacturing -> Information,All industries,Nonmanufacturing,Information,3,51,42697,9586,94349,17156,110227,19051,13,9
6636,r013,"All industries -> Nonmanufacturing -> Professional, scientific, and technical services",All industries,Nonmanufacturing,"Professional, scientific, and technical services",3,54,33307,5892,44860,13307,53233,14790,6,12
