table_id,row_id,type_and_location_of_cooperation_partner_full_path,type_and_location_of_cooperation_partner_level_1,type_and_location_of_cooperation_partner_level_2,type_and_location_of_cooperation_partner_level_3,type_and_location_of_cooperation_partner_hierarchy_depth,field_all_companies,field_companies_with_1_9_employees,field_companies_with_10_49_employees,field_companies_with_50_249_employees,field_companies_with_250_employees
4446,r001,All companies with innovation activities (count of companies),All companies with innovation activities (count of companies),,,1,1989523,1418216,464339,88947,18021
4446,r002,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global",All companies with innovation activities (count of companies),"Type of cooperation partner, global",,2,,,,,
4446,r003,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Any cooperation partner",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Any cooperation partner,3,41.6,41.0,41.9,47.4,53.4
4446,r004,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Other affiliated companies",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Other affiliated companies,3,13.9,13.2,14.6,18.9,28.8
4446,r005,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Suppliers of equipment, materials, components, or software ",All companies with innovation activities (count of companies),"Type of cooperation partner, global","Suppliers of equipment, materials, components, or software ",3,29.1,27.9,31.2,35.2,38.2
4446,r006,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Clients or customers from the private sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Clients or customers from the private sector ,3,27.7,27.8,26.9,29.7,31.6
4446,r007,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Clients or customers from the public sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Clients or customers from the public sector ,3,20.3,20.3,20.6,20.3,19.8
4446,r008,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Competitors or other companies in your sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Competitors or other companies in your sector ,3,17.8,18.0,17.5,17.2,16.2
4446,r009,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Companies not in your sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Companies not in your sector ,3,10.2,10.0,10.5,11.1,12.3
4446,r010,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Consultants or commercial labs ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Consultants or commercial labs ,3,12.4,11.6,13.6,17.8,24.0
4446,r011,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Universities or other higher education institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Universities or other higher education institutes ,3,8.1,7.8,8.7,9.6,12.7
4446,r012,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Government or public research institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Government or public research institutes ,3,5.2,5.1,5.5,5.6,7.2
4446,r013,"All companies with innovation activities (count of companies) -> Type of cooperation partner, global -> Private research institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, global",Private research institutes ,3,4.7,4.5,4.9,4.9,7.0
4446,r014,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",,2,,,,,
4446,r015,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Any cooperation partner",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Any cooperation partner,3,40.9,40.2,41.3,46.7,51.8
4446,r016,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Other affiliated companies",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Other affiliated companies,3,13.2,12.6,13.8,17.4,25.8
4446,r017,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Suppliers of equipment, materials, components, or software ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States","Suppliers of equipment, materials, components, or software ",3,28.0,26.8,30.2,34.2,36.9
4446,r018,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Clients or customers from the private sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Clients or customers from the private sector ,3,27.2,27.2,26.5,29.4,31.0
4446,r019,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Clients or customers from the public sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Clients or customers from the public sector ,3,19.9,19.8,20.2,20.1,19.3
4446,r020,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Competitors or other companies in your sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Competitors or other companies in your sector ,3,17.3,17.4,17.1,16.8,15.4
4446,r021,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Companies not in your sector ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Companies not in your sector ,3,9.7,9.5,10.2,10.8,11.8
4446,r022,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Consultants or commercial labs ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Consultants or commercial labs ,3,12.0,11.1,13.2,17.5,23.5
4446,r023,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Universities or other higher education institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Universities or other higher education institutes ,3,7.8,7.4,8.4,9.4,12.2
4446,r024,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Government or public research institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Government or public research institutes ,3,4.8,4.7,5.2,5.4,6.8
4446,r025,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located in United States -> Private research institutes ",All companies with innovation activities (count of companies),"Type of cooperation partner, located in United States",Private research institutes ,3,4.3,4.1,4.6,4.7,6.6
4446,r026,"All companies with innovation activities (count of companies) -> Type of cooperation partner, located outside United States",All companies with innovation activities (count of companies),"Type of cooperation partner, located outside United States",,2,,,,,
