table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
9274,r001,All FFRDCs,All FFRDCs,,,1,-,-,"['26,524,014', ' ']","['5,273,184', ' ']","['10,839,112', ' ']","['10,411,718', ' ']","['25,962,005', ' ']","['5,187,725', ' ']","['10,509,907', ' ']","['10,264,373', ' ']"
9274,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,-,-,"['7,165,067', ' ']","['2,600,343', ' ']","['1,928,032', ' ']","['2,636,692', ' ']","['7,015,547', ' ']","['2,541,206', ' ']","['1,872,830', ' ']","['2,601,511', ' ']"
9274,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,DOE,"Ames, IA","['38,520', '']","['18,565', '']","['19,251', '']","['704', '']","['38,032', '']","['18,565', '']","['19,164', '']","['303', '']"
9274,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,DOE,"Argonne, IL","['962,973', '']","['184,625', '']","['432,551', '']","['345,797', '']","['934,724', '']","['184,625', '']","['406,940', '']","['343,159', '']"
9274,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,DOE,"Batavia, IL","['330,294', '']","['329,134', '']","['1,160', '']","['0', '']","['329,131', '']","['328,318', '']","['813', '']","['0', '']"
9274,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory,All FFRDCs,University-administered FFRDCs,Green Bank Observatory,3,NSF,"Green Bank, WV","['10,752', '']","['10,045', '']","['229', '']","['478', '']","['10,384', '']","['10,032', '']","['85', '']","['267', '']"
9274,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,NASA,"Pasadena, CA","['2,417,556', '']","['241,756', '']","['241,756', '']","['1,934,044', '']","['2,417,556', '']","['241,756', '']","['241,756', '']","['1,934,044', '']"
9274,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,DOE,"Berkeley, CA","['1,031,716', '']","['863,154', '']","['139,904', '']","['28,658', '']","['971,554', '']","['821,346', '']","['125,981', '']","['24,227', '']"
9274,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"DOD, OSD","Lexington, MA","['1,142,615', '']","['9,189', '']","['1,026,448', '']","['106,978', '']","['1,119,338', '']","['9,189', '']","['1,026,448', '']","['83,701', '']"
9274,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,NSF,"Boulder, CO","['188,238', '']","['52,487', '']","['33,476', '']","['102,275', '']","['171,310', '']","['48,355', '']","['24,406', '']","['98,549', '']"
9274,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,NSF,"Charlottesville, VA","['92,476', '']","['84,768', '']","['327', '']","['7,381', '']","['91,913', '']","['84,767', '']","['230', '']","['6,916', '']"
9274,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,NSF,"Boulder, CO","['33,849', '']","['33,849', '']","['0', '']","['0', '']","['33,800', '']","['33,800', '']","['0', '']","['0', '']"
9274,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,NSF,"Tucson, AZ","['81,505', '']","['81,505', '']","['0', '']","['0', '']","['79,193', '']","['79,193', '']","['0', '']","['0', '']"
9274,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,DOE,"Princeton, NJ","['120,347', '']","['119,315', '']","['1,000', '']","['32', '']","['119,828', '']","['118,840', '']","['988', '']","['0', '']"
9274,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,DOE,"Menlo Park, CA","['432,078', '']","['411,454', '']","['20,624', '']","['0', '']","['419,094', '']","['404,381', '']","['14,713', '']","['0', '']"
9274,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"DOD, OSD","Pittsburgh, PA","['129,316', '']","['7,665', '']","['11,306', '']","['110,345', '']","['129,316', '']","['7,665', '']","['11,306', '']","['110,345', '']"
9274,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,DOE,"Newport News, VA","['152,832', '']","['152,832', '']","['0', '']","['0', '']","['150,374', '']","['150,374', '']","['0', '']","['0', '']"
9274,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,-,-,"['9,171,826', ' ']","['1,813,356', ' ']","['2,860,956', ' ']","['4,497,514', ' ']","['8,998,910', ' ']","['1,806,701', ' ']","['2,782,288', ' ']","['4,409,921', ' ']"
9274,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"DOD, Air Force","El Segundo, CA","['1,152,833', '']","['26,598', '']","['113,602', '']","['1,012,633', '']","['1,147,041', '']","['26,309', '']","['108,099', '']","['1,012,633', '']"
9274,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"DOD, Army","Santa Monica, CA","['40,856', '']","['0', '']","['40,856', '']","['0', '']","['40,856', '']","['0', '']","['40,856', '']","['0', '']"
9274,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,DOE,"Upton, NY","['655,988', '']","['487,906', '']","['93,114', '']","['74,968', '']","['639,527', '']","['487,169', '']","['89,556', '']","['62,802', '']"
9274,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"DOT, FAA","McLean, VA","['189,490', '']","['0', '']","['8,037', '']","['181,453', '']","['164,992', '']","['0', '']","['6,906', '']","['158,086', '']"
9274,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"DOD, NSA/CSS","Alexandria, VA","['74,759', '']","['18,690', '']","['37,379', '']","['18,690', '']","['74,759', '']","['18,690', '']","['37,379', '']","['18,690', '']"
9274,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"Treasury/IRS, VA, SSA, DOC","McLean, VA","['235,436', '']","['0', '']","['12,539', '']","['222,897', '']","['235,317', '']","['0', '']","['12,532', '']","['222,785', '']"
9274,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"DOD, Navy","Arlington, VA","['93,567', '']","['0', '']","['93,567', '']","['0', '']","['93,567', '']","['0', '']","['93,567', '']","['0', '']"
9274,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,NRC,"San Antonio, TX","['4,323', '']","['0', '']","['4,323', '']","['0', '']","['3,595', '']","['0', '']","['3,595', '']","['0', '']"
9274,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"HHS, CMS","Baltimore, MD","['286,693', '']","['0', '']","['6,498', '']","['280,195', '']","['286,693', '']","['0', '']","['6,498', '']","['280,195', '']"
9274,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"DHS, S&T","Pentagon City, VA","['52,984', '']","['0', '']","['52,984', '']","['0', '']","['52,984', '']","['0', '']","['52,984', '']","['0', '']"
9274,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"DHS, S&T","McLean, VA","['183,261', '']","['0', '']","['4,373', '']","['178,888', '']","['181,702', '']","['0', '']","['4,330', '']","['177,372', '']"
9274,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,DOE,"Idaho Falls, ID","['637,579', '']","['38,255', '']","['337,917', '']","['261,407', '']","['630,446', '']","['37,827', '']","['334,137', '']","['258,482', '']"
9274,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"DHS, S&T","Frederick, MD","['45,870', '']","['0', '']","['45,870', '']","['0', '']","['45,869', '']","['0', '']","['45,869', '']","['0', '']"
