table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10278,r001,All agencies,All agencies,,,,,1,21440653,1059895,1116727,10887993,378451,2221178,1295247,406248,1845620,2229294
10278,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10278,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,506425,11974,10651,367339,2510,16021,1003,22559,43020,31347
10278,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,95030,124,418,87304,0,6101,0,228,855,0
10278,r005,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,6299,0,0,6299,0,0,0,0,0,0
10278,r006,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,5658,0,1402,4016,0,85,0,91,64,0
10278,r007,All agencies -> Departments -> Department of Agriculture -> National Institute of Food and Agriculture,All agencies,Departments,Department of Agriculture,National Institute of Food and Agriculture,,4,399076,11851,8830,269360,2510,9835,1003,22240,42101,31347
10278,r008,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,360,0,0,360,0,0,0,0,0,0
10278,r009,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,9784,64,0,79,0,9307,0,0,335,0
10278,r010,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,9784,64,0,79,0,9307,0,0,335,0
10278,r011,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,1595541,243648,77866,168551,36185,151942,11921,34737,462012,408679
10278,r012,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,273850,140070,5557,76999,1415,24239,3264,0,22305,0
10278,r013,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,1928,0,0,1928,0,0,0,0,0,0
10278,r014,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,542531,43042,0,25484,0,74312,0,9246,291976,98472
10278,r015,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,240097,3121,960,20648,10324,14166,0,2401,12485,175991
10278,r016,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,382485,40606,65023,26029,10588,11124,5800,3454,95315,124546
10278,r017,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,6160,0,0,0,0,0,0,0,6160,0
10278,r018,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,148490,16809,6325,17462,13858,28102,2858,19635,33770,9671
10278,r019,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,23533,0,0,0,0,0,0,0,0,23533
10278,r020,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,895706,33605,39769,133694,0,687645,0,0,860,132
10278,r021,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,860,0,0,0,0,0,0,0,860,0
