table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_level_6,_b_detailed_field_b_hierarchy_depth,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022
10674,r001,All fields,All fields,,,,,,1,378587,391211,408228,414478,466613,501311
10674,r002,All fields -> Science,All fields,Science,,,,,2,229169,241327,259795,267904,305796,331983
10674,r003,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,,,,3,5603,5658,5629,6487,6801,6949
10674,r004,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Agricultural sciences,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Agricultural sciences,,,4,5603,5658,5629,5589,5790,6165
10674,r005,All fields -> Science -> Agricultural and veterinary sciences<sup>a</sup> -> Veterinary biomedical and clinical sciences<sup>b</sup>,All fields,Science,Agricultural and veterinary sciences<sup>a</sup>,Veterinary biomedical and clinical sciences<sup>b</sup>,,,4,na,na,na,898,1011,784
10674,r006,All fields -> Science -> Biological and biomedical sciences<sup>a</sup>,All fields,Science,Biological and biomedical sciences<sup>a</sup>,,,,3,33926,35306,38078,39920,42728,43062
10674,r007,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biochemistry,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biochemistry,,,4,791,743,808,889,1005,911
10674,r008,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biology,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biology,,,4,8791,8696,8635,8381,8294,7969
10674,r009,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biomedical sciences,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biomedical sciences,,,4,4298,4379,5241,5898,5794,5681
10674,r010,All fields -> Science -> Biological and biomedical sciences<sup>a</sup> -> Biophysics,All fields,Science,Biological and biomedical sciences<sup>a</sup>,Biophysics,,,4,18,6,7,8,6,8
