table_id,row_id,sex_occupation_and_age_full_path,sex_occupation_and_age_level_1,sex_occupation_and_age_level_2,sex_occupation_and_age_level_3,sex_occupation_and_age_level_4,sex_occupation_and_age_level_5,sex_occupation_and_age_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_u_s_citizen,field_non_u_s_citizen
6851,r001,"Both sexes, all occupations","Both sexes, all occupations",,,,,1,70000,60000,59000,86000,56000,85000,72000,64000,71000,64000,70000,85000
6851,r002,"Both sexes, all occupations -> 29 and younger","Both sexes, all occupations",29 and younger,,,,2,48000,45000,S,57000,40000,28000,48000,50000,50000,34000,47000,59000
6851,r003,"Both sexes, all occupations -> 30&#8211;39","Both sexes, all occupations",30&#8211;39,,,,2,67000,60000,66000,88000,54000,92000,68000,77000,68000,56000,65000,91000
6851,r004,"Both sexes, all occupations -> 40&#8211;49","Both sexes, all occupations",40&#8211;49,,,,2,80000,72000,62000,100000,62000,86000,80000,60000,81000,72000,80000,100000
6851,r005,"Both sexes, all occupations -> 50&#8211;75","Both sexes, all occupations",50&#8211;75,,,,2,82000,72000,49000,90000,65000,85000,85000,70000,85000,73000,82000,64000
6851,r006,"Both sexes, all occupations -> S&E occupations","Both sexes, all occupations",S&E occupations,,,,2,90000,78000,79000,100000,76000,83000,90000,80000,90000,89000,90000,95000
6851,r007,"Both sexes, all occupations -> S&E occupations -> 29 and younger","Both sexes, all occupations",S&E occupations,29 and younger,,,3,64000,52000,S,71000,52000,,65000,57000,65000,S,62000,72000
6851,r008,"Both sexes, all occupations -> S&E occupations -> 30&#8211;39","Both sexes, all occupations",S&E occupations,30&#8211;39,,,3,86000,75000,96000,95000,68000,115000,84000,85000,87000,74000,82000,98000
6851,r009,"Both sexes, all occupations -> S&E occupations -> 40&#8211;49","Both sexes, all occupations",S&E occupations,40&#8211;49,,,3,100000,93000,S,110000,84000,83000,100000,97000,100000,100000,100000,105000
6851,r010,"Both sexes, all occupations -> S&E occupations -> 50&#8211;75","Both sexes, all occupations",S&E occupations,50&#8211;75,,,3,104000,95000,100000,110000,90000,80000,105000,112000,105000,99000,104000,100000
6851,r011,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,60000,48000,0.05,56000,73000,75000,61000,59000,60000,59000,62000,52000
6851,r012,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,,4,38000,33000,,31000,29000,,40000,38000,38000,39000,39000,28000
6851,r013,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,,4,55000,48000,,50000,72000,S,56000,73000,55000,53000,59000,50000
6851,r014,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,,4,88000,S,,86000,76000,,89000,98000,89000,S,89000,73000
6851,r015,"Both sexes, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,,4,95000,85000,,80000,101000,,95000,,95000,90000,95000,83000
6851,r016,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,,,3,95000,80000,S,102000,70000,81000,95000,85000,95000,93000,94000,100000
6851,r017,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,29 and younger,,4,73000,65000,,80000,51000,S,73000,58000,73000,75000,71000,84000
6851,r018,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,30&#8211;39,,4,92000,79000,S,100000,62000,,90000,79000,93000,78000,84000,105000
6851,r019,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,40&#8211;49,,4,104000,86000,,111000,79000,,105000,93000,103000,106000,102000,109000
6851,r020,"Both sexes, all occupations -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Computer and mathematical scientists,50&#8211;75,,4,100000,84000,,120000,85000,,101000,117000,100000,101000,101000,100000
6851,r021,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists","Both sexes, all occupations",S&E occupations,Physical and related scientists,,,3,75000,74000,S,64000,65000,S,76000,68000,75000,76000,75000,65000
6851,r022,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Physical and related scientists,29 and younger,,4,36000,S,,28000,28000,,38000,S,38000,S,39000,25000
6851,r023,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Physical and related scientists,30&#8211;39,,4,68000,56000,,55000,64000,,70000,85000,67000,77000,68000,65000
6851,r024,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Physical and related scientists,40&#8211;49,,4,81000,80000,,93000,S,,88000,,81000,83000,81000,96000
6851,r025,"Both sexes, all occupations -> S&E occupations -> Physical and related scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Physical and related scientists,50&#8211;75,,4,100000,62000,,100000,111000,,100000,S,102000,87000,100000,122000
6851,r026,"Both sexes, all occupations -> S&E occupations -> Social and related scientists","Both sexes, all occupations",S&E occupations,Social and related scientists,,,3,70000,S,S,80000,80000,S,72000,72000,73000,S,70000,89000
6851,r027,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 29 and younger","Both sexes, all occupations",S&E occupations,Social and related scientists,29 and younger,,4,35000,S,,61000,54000,,38000,,43000,S,38000,27000
6851,r028,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Social and related scientists,30&#8211;39,,4,65000,70000,,75000,66000,,62000,67000,65000,62000,63000,89000
6851,r029,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Social and related scientists,40&#8211;49,,4,81000,127000,,80000,74000,,80000,0.05,84000,66000,81000,107000
6851,r030,"Both sexes, all occupations -> S&E occupations -> Social and related scientists -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Social and related scientists,50&#8211;75,,4,92000,88000,0.05,99000,103000,,90000,77000,95000,86000,92000,101000
6851,r031,"Both sexes, all occupations -> S&E occupations -> Engineers","Both sexes, all occupations",S&E occupations,Engineers,,,3,96000,90000,95000,99000,90000,108000,97000,86000,96000,96000,97000,90000
6851,r032,"Both sexes, all occupations -> S&E occupations -> Engineers -> 29 and younger","Both sexes, all occupations",S&E occupations,Engineers,29 and younger,,4,70000,71000,,65000,66000,,70000,68000,70000,69000,70000,69000
6851,r033,"Both sexes, all occupations -> S&E occupations -> Engineers -> 30&#8211;39","Both sexes, all occupations",S&E occupations,Engineers,30&#8211;39,,4,91000,94000,,99000,84000,0.05,90000,90000,92000,84000,90000,98000
6851,r034,"Both sexes, all occupations -> S&E occupations -> Engineers -> 40&#8211;49","Both sexes, all occupations",S&E occupations,Engineers,40&#8211;49,,4,109000,106000,S,115000,90000,109000,107000,107000,109000,99000,108000,114000
6851,r035,"Both sexes, all occupations -> S&E occupations -> Engineers -> 50&#8211;75","Both sexes, all occupations",S&E occupations,Engineers,50&#8211;75,,4,115000,110000,,110000,101000,,117000,112000,116000,105000,115000,103000
6851,r036,"Both sexes, all occupations -> S&E-related occupations","Both sexes, all occupations",S&E-related occupations,,,,2,80000,70000,80000,92000,61000,79000,79000,77000,80000,73000,78000,97000
6851,r037,"Both sexes, all occupations -> S&E-related occupations -> 29 and younger","Both sexes, all occupations",S&E-related occupations,29 and younger,,,3,53000,53000,,55000,49000,S,53000,62000,53000,46000,53000,42000
6851,r038,"Both sexes, all occupations -> S&E-related occupations -> 30&#8211;39","Both sexes, all occupations",S&E-related occupations,30&#8211;39,,,3,71000,62000,S,90000,55000,89000,70000,83000,72000,56000,70000,99000
6851,r039,"Both sexes, all occupations -> S&E-related occupations -> 40&#8211;49","Both sexes, all occupations",S&E-related occupations,40&#8211;49,,,3,90000,90000,,110000,71000,71000,88000,95000,90000,84000,88000,138000
6851,r040,"Both sexes, all occupations -> S&E-related occupations -> 50&#8211;75","Both sexes, all occupations",S&E-related occupations,50&#8211;75,,,3,92000,89000,S,100000,85000,S,92000,78000,95000,79000,92000,100000
6851,r041,"Both sexes, all occupations -> Non-S&E occupations","Both sexes, all occupations",Non-S&E occupations,,,,2,63000,55000,50000,65000,50000,85000,67000,58000,65000,59000,63000,60000
6851,r042,"Both sexes, all occupations -> Non-S&E occupations -> 29 and younger","Both sexes, all occupations",Non-S&E occupations,29 and younger,,,3,42000,43000,S,50000,39000,27000,42000,42000,44000,34000,42000,50000
6851,r043,"Both sexes, all occupations -> Non-S&E occupations -> 30&#8211;39","Both sexes, all occupations",Non-S&E occupations,30&#8211;39,,,3,61000,55000,73000,70000,48000,91000,62000,76000,62000,54000,60000,77000
6851,r044,"Both sexes, all occupations -> Non-S&E occupations -> 40&#8211;49","Both sexes, all occupations",Non-S&E occupations,40&#8211;49,,,3,72000,64000,61000,89000,56000,110000,75000,56000,73000,62000,71000,77000
6851,r045,"Both sexes, all occupations -> Non-S&E occupations -> 50&#8211;75","Both sexes, all occupations",Non-S&E occupations,50&#8211;75,,,3,75000,64000,47000,61000,59000,100000,79000,68000,75000,69000,75000,49000
6851,r046,"Both sexes, all occupations -> Female","Both sexes, all occupations",Female,,,,2,60000,53000,50000,75000,54000,85000,60000,60000,60000,54000,60000,69000
6851,r047,"Both sexes, all occupations -> Female -> 29 and younger","Both sexes, all occupations",Female,29 and younger,,,3,43000,42000,52000,55000,40000,25000,42000,49000,45000,32000,42000,55000
6851,r048,"Both sexes, all occupations -> Female -> 30&#8211;39","Both sexes, all occupations",Female,30&#8211;39,,,3,60000,55000,66000,80000,50000,91000,60000,69000,61000,54000,60000,74000
6851,r049,"Both sexes, all occupations -> Female -> 40&#8211;49","Both sexes, all occupations",Female,40&#8211;49,,,3,65000,60000,S,91000,55000,84000,65000,53000,67000,54000,65000,71000
6851,r050,"Both sexes, all occupations -> Female -> 50&#8211;75","Both sexes, all occupations",Female,50&#8211;75,,,3,69000,55000,42000,75000,63000,99000,70000,66000,70000,61000,69000,63000
6851,r051,"Both sexes, all occupations -> Female -> S&E occupations","Both sexes, all occupations",Female,S&E occupations,,,3,78000,72000,96000,88000,68000,74000,76000,62000,78000,80000,78000,80000
6851,r052,"Both sexes, all occupations -> Female -> S&E occupations -> 29 and younger","Both sexes, all occupations",Female,S&E occupations,29 and younger,,4,58000,59000,,71000,40000,,58000,49000,59000,39000,58000,71000
6851,r053,"Both sexes, all occupations -> Female -> S&E occupations -> 30&#8211;39","Both sexes, all occupations",Female,S&E occupations,30&#8211;39,,4,75000,71000,S,89000,58000,,73000,67000,75000,79000,72000,84000
6851,r054,"Both sexes, all occupations -> Female -> S&E occupations -> 40&#8211;49","Both sexes, all occupations",Female,S&E occupations,40&#8211;49,,4,90000,90000,0.05,100000,90000,S,80000,99000,90000,70000,90000,90000
6851,r055,"Both sexes, all occupations -> Female -> S&E occupations -> 50&#8211;75","Both sexes, all occupations",Female,S&E occupations,50&#8211;75,,4,86000,77000,,92000,S,S,86000,78000,85000,88000,86000,76000
6851,r056,"Both sexes, all occupations -> Female -> S&E occupations -> Biological, agricultural, and other life scientists","Both sexes, all occupations",Female,S&E occupations,"Biological, agricultural, and other life scientists",,4,56000,48000,,55000,54000,S,60000,S,59000,48000,60000,52000
6851,r057,"Both sexes, all occupations -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","Both sexes, all occupations",Female,S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,5,35000,30000,,31000,S,,35000,36000,35000,S,35000,30000
6851,r058,"Both sexes, all occupations -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","Both sexes, all occupations",Female,S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,5,55000,49000,,52000,66000,S,55000,S,55000,55000,55000,52000
6851,r059,"Both sexes, all occupations -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","Both sexes, all occupations",Female,S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,5,89000,44000,,94000,85000,,89000,S,90000,46000,89000,86000
6851,r060,"Both sexes, all occupations -> Female -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","Both sexes, all occupations",Female,S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,5,85000,S,,75000,112000,,98000,,86000,61000,86000,S
6851,r061,"Both sexes, all occupations -> Female -> S&E occupations -> Computer and mathematical scientists","Both sexes, all occupations",Female,S&E occupations,Computer and mathematical scientists,,4,82000,80000,S,90000,66000,S,80000,61000,82000,86000,81000,85000
6851,r062,"Both sexes, all occupations -> Female -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","Both sexes, all occupations",Female,S&E occupations,Computer and mathematical scientists,29 and younger,5,72000,100000,,75000,51000,,63000,47000,72000,S,69000,79000
6851,r063,"Both sexes, all occupations -> Female -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","Both sexes, all occupations",Female,S&E occupations,Computer and mathematical scientists,30&#8211;39,5,80000,80000,,89000,58000,,80000,51000,81000,79000,80000,89000
6851,r064,"Both sexes, all occupations -> Female -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","Both sexes, all occupations",Female,S&E occupations,Computer and mathematical scientists,40&#8211;49,5,93000,80000,,100000,92000,,77000,,92000,101000,93000,84000
6851,r065,"Both sexes, all occupations -> Female -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","Both sexes, all occupations",Female,S&E occupations,Computer and mathematical scientists,50&#8211;75,5,82000,59000,,97000,S,,82000,S,80000,89000,82000,66000
6851,r066,"Both sexes, all occupations -> Female -> S&E occupations -> Physical and related scientists","Both sexes, all occupations",Female,S&E occupations,Physical and related scientists,,4,62000,53000,,62000,65000,0.05,64000,58000,64000,60000,63000,57000
6851,r067,"Both sexes, all occupations -> Female -> S&E occupations -> Physical and related scientists -> 29 and younger","Both sexes, all occupations",Female,S&E occupations,Physical and related scientists,29 and younger,5,41000,S,,43000,,,41000,S,42000,S,41000,43000
6851,r068,"Both sexes, all occupations -> Female -> S&E occupations -> Physical and related scientists -> 30&#8211;39","Both sexes, all occupations",Female,S&E occupations,Physical and related scientists,30&#8211;39,5,70000,60000,,48000,56000,,70000,89000,68000,S,70000,49000
6851,r069,"Both sexes, all occupations -> Female -> S&E occupations -> Physical and related scientists -> 40&#8211;49","Both sexes, all occupations",Female,S&E occupations,Physical and related scientists,40&#8211;49,5,76000,60000,,79000,,,74000,,80000,45000,75000,89000
6851,r070,"Both sexes, all occupations -> Female -> S&E occupations -> Physical and related scientists -> 50&#8211;75","Both sexes, all occupations",Female,S&E occupations,Physical and related scientists,50&#8211;75,5,72000,S,,84000,96000,,69000,,76000,59000,72000,
6851,r071,"Both sexes, all occupations -> Female -> S&E occupations -> Social and related scientists","Both sexes, all occupations",Female,S&E occupations,Social and related scientists,,4,70000,70000,0.05,79000,73000,,69000,59000,70000,62000,70000,68000
6851,r072,"Both sexes, all occupations -> Female -> S&E occupations -> Social and related scientists -> 29 and younger","Both sexes, all occupations",Female,S&E occupations,Social and related scientists,29 and younger,5,39000,51000,,65000,44000,,38000,,39000,S,39000,S
6851,r073,"Both sexes, all occupations -> Female -> S&E occupations -> Social and related scientists -> 30&#8211;39","Both sexes, all occupations",Female,S&E occupations,Social and related scientists,30&#8211;39,5,61000,62000,,59000,65000,,60000,62000,62000,53000,60000,65000
6851,r074,"Both sexes, all occupations -> Female -> S&E occupations -> Social and related scientists -> 40&#8211;49","Both sexes, all occupations",Female,S&E occupations,Social and related scientists,40&#8211;49,5,80000,128000,,80000,69000,,78000,0.05,80000,60000,80000,79000
6851,r075,"Both sexes, all occupations -> Female -> S&E occupations -> Social and related scientists -> 50&#8211;75","Both sexes, all occupations",Female,S&E occupations,Social and related scientists,50&#8211;75,5,83000,94000,,75000,93000,,81000,S,82000,88000,84000,
6851,r076,"Both sexes, all occupations -> Female -> S&E occupations -> Engineers","Both sexes, all occupations",Female,S&E occupations,Engineers,,4,90000,86000,,99000,84000,,90000,86000,90000,82000,90000,90000
6851,r077,"Both sexes, all occupations -> Female -> S&E occupations -> Engineers -> 29 and younger","Both sexes, all occupations",Female,S&E occupations,Engineers,29 and younger,5,69000,65000,,60000,64000,,73000,S,70000,53000,70000,S
6851,r078,"Both sexes, all occupations -> Female -> S&E occupations -> Engineers -> 30&#8211;39","Both sexes, all occupations",Female,S&E occupations,Engineers,30&#8211;39,5,94000,95000,,107000,85000,,90000,86000,95000,86000,91000,107000
6851,r079,"Both sexes, all occupations -> Female -> S&E occupations -> Engineers -> 40&#8211;49","Both sexes, all occupations",Female,S&E occupations,Engineers,40&#8211;49,5,101000,105000,,119000,98000,,98000,,105000,S,100000,115000
6851,r080,"Both sexes, all occupations -> Female -> S&E occupations -> Engineers -> 50&#8211;75","Both sexes, all occupations",Female,S&E occupations,Engineers,50&#8211;75,5,119000,164000,,101000,S,,124000,,119000,103000,119000,99000
6851,r081,"Both sexes, all occupations -> Female -> S&E-related occupations","Both sexes, all occupations",Female,S&E-related occupations,,,3,70000,62000,66000,86000,60000,89000,68000,83000,70000,65000,69000,78000
6851,r082,"Both sexes, all occupations -> Female -> S&E-related occupations -> 29 and younger","Both sexes, all occupations",Female,S&E-related occupations,29 and younger,,4,53000,53000,S,54000,49000,,52000,60000,53000,43000,53000,40000
6851,r083,"Both sexes, all occupations -> Female -> S&E-related occupations -> 30&#8211;39","Both sexes, all occupations",Female,S&E-related occupations,30&#8211;39,,4,70000,60000,S,89000,55000,,68000,88000,70000,55000,68000,82000
6851,r084,"Both sexes, all occupations -> Female -> S&E-related occupations -> 40&#8211;49","Both sexes, all occupations",Female,S&E-related occupations,40&#8211;49,,4,76000,80000,,90000,59000,S,74000,97000,76000,80000,75000,89000
6851,r085,"Both sexes, all occupations -> Female -> S&E-related occupations -> 50&#8211;75","Both sexes, all occupations",Female,S&E-related occupations,50&#8211;75,,4,80000,62000,S,99000,83000,S,78000,62000,80000,69000,80000,85000
6851,r086,"Both sexes, all occupations -> Female -> Non-S&E occupations","Both sexes, all occupations",Female,Non-S&E occupations,,,3,56000,50000,47000,65000,48000,85000,57000,53000,56000,50000,56000,55000
6851,r087,"Both sexes, all occupations -> Female -> Non-S&E occupations -> 29 and younger","Both sexes, all occupations",Female,Non-S&E occupations,29 and younger,,4,40000,40000,36000,50000,39000,25000,39000,44000,40000,30000,40000,49000
6851,r088,"Both sexes, all occupations -> Female -> Non-S&E occupations -> 30&#8211;39","Both sexes, all occupations",Female,Non-S&E occupations,30&#8211;39,,4,56000,51000,81000,70000,46000,91000,57000,65000,57000,51000,56000,55000
6851,r089,"Both sexes, all occupations -> Female -> Non-S&E occupations -> 40&#8211;49","Both sexes, all occupations",Female,Non-S&E occupations,40&#8211;49,,4,60000,56000,S,83000,48000,S,60000,48000,60000,52000,60000,50000
6851,r090,"Both sexes, all occupations -> Female -> Non-S&E occupations -> 50&#8211;75","Both sexes, all occupations",Female,Non-S&E occupations,50&#8211;75,,4,63000,55000,40000,62000,60000,S,65000,66000,64000,60000,63000,49000
6851,r091,"Both sexes, all occupations -> Male","Both sexes, all occupations",Male,,,,2,85000,74000,62000,95000,61000,83000,85000,72000,85000,78000,84000,95000
6851,r092,"Both sexes, all occupations -> Male -> 29 and younger","Both sexes, all occupations",Male,29 and younger,,,3,52000,50000,S,60000,39000,S,52000,50000,52000,41000,52000,59000
6851,r093,"Both sexes, all occupations -> Male -> 30&#8211;39","Both sexes, all occupations",Male,30&#8211;39,,,3,75000,68000,74000,91000,57000,S,75000,84000,76000,62000,72000,100000
6851,r094,"Both sexes, all occupations -> Male -> 40&#8211;49","Both sexes, all occupations",Male,40&#8211;49,,,3,97000,89000,61000,114000,74000,106000,98000,90000,97000,90000,96000,115000
6851,r095,"Both sexes, all occupations -> Male -> 50&#8211;75","Both sexes, all occupations",Male,50&#8211;75,,,3,100000,95000,72000,100000,70000,58000,100000,111000,100000,88000,100000,69000
6851,r096,"Both sexes, all occupations -> Male -> S&E occupations","Both sexes, all occupations",Male,S&E occupations,,,3,95000,79000,75000,100000,80000,84000,96000,90000,95000,92000,95000,99000
6851,r097,"Both sexes, all occupations -> Male -> S&E occupations -> 29 and younger","Both sexes, all occupations",Male,S&E occupations,29 and younger,,4,66000,52000,S,72000,54000,S,68000,60000,67000,S,65000,74000
6851,r098,"Both sexes, all occupations -> Male -> S&E occupations -> 30&#8211;39","Both sexes, all occupations",Male,S&E occupations,30&#8211;39,,4,90000,80000,108000,100000,77000,118000,89000,90000,90000,72000,85000,102000
6851,r099,"Both sexes, all occupations -> Male -> S&E occupations -> 40&#8211;49","Both sexes, all occupations",Male,S&E occupations,40&#8211;49,,4,105000,93000,S,115000,82000,83000,107000,96000,105000,100000,105000,110000
6851,r100,"Both sexes, all occupations -> Male -> S&E occupations -> 50&#8211;75","Both sexes, all occupations",Male,S&E occupations,50&#8211;75,,4,110000,99000,94000,116000,95000,68000,110000,114000,110000,105000,110000,109000
6851,r101,"Both sexes, all occupations -> Male -> S&E occupations -> Biological, agricultural, and other life scientists","Both sexes, all occupations",Male,S&E occupations,"Biological, agricultural, and other life scientists",,4,61000,54000,0.05,58000,90000,0.05,62000,56000,60000,76000,65000,52000
6851,r102,"Both sexes, all occupations -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> 29 and younger","Both sexes, all occupations",Male,S&E occupations,"Biological, agricultural, and other life scientists",29 and younger,5,43000,32000,,33000,,,44000,S,43000,S,44000,28000
6851,r103,"Both sexes, all occupations -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> 30&#8211;39","Both sexes, all occupations",Male,S&E occupations,"Biological, agricultural, and other life scientists",30&#8211;39,5,55000,47000,,48000,S,,57000,64000,55000,36000,60000,49000
6851,r104,"Both sexes, all occupations -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> 40&#8211;49","Both sexes, all occupations",Male,S&E occupations,"Biological, agricultural, and other life scientists",40&#8211;49,5,87000,91000,,79000,,,88000,S,88000,72000,89000,72000
6851,r105,"Both sexes, all occupations -> Male -> S&E occupations -> Biological, agricultural, and other life scientists -> 50&#8211;75","Both sexes, all occupations",Male,S&E occupations,"Biological, agricultural, and other life scientists",50&#8211;75,5,95000,100000,,88000,99000,,95000,,95000,94000,95000,90000
6851,r106,"Both sexes, all occupations -> Male -> S&E occupations -> Computer and mathematical scientists","Both sexes, all occupations",Male,S&E occupations,Computer and mathematical scientists,,4,100000,79000,S,107000,73000,75000,100000,98000,100000,100000,98000,107000
6851,r107,"Both sexes, all occupations -> Male -> S&E occupations -> Computer and mathematical scientists -> 29 and younger","Both sexes, all occupations",Male,S&E occupations,Computer and mathematical scientists,29 and younger,5,74000,60000,,85000,51000,,74000,68000,74000,76000,72000,85000
6851,r108,"Both sexes, all occupations -> Male -> S&E occupations -> Computer and mathematical scientists -> 30&#8211;39","Both sexes, all occupations",Male,S&E occupations,Computer and mathematical scientists,30&#8211;39,5,95000,75000,S,105000,69000,,95000,98000,95000,74000,88000,110000
6851,r109,"Both sexes, all occupations -> Male -> S&E occupations -> Computer and mathematical scientists -> 40&#8211;49","Both sexes, all occupations",Male,S&E occupations,Computer and mathematical scientists,40&#8211;49,5,109000,93000,,120000,72000,,110000,92000,109000,108000,108000,116000
6851,r110,"Both sexes, all occupations -> Male -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","Both sexes, all occupations",Male,S&E occupations,Computer and mathematical scientists,50&#8211;75,5,109000,92000,,121000,90000,,108000,123000,108000,110000,109000,106000
6851,r111,"Both sexes, all occupations -> Male -> S&E occupations -> Physical and related scientists","Both sexes, all occupations",Male,S&E occupations,Physical and related scientists,,4,80000,80000,S,64000,65000,,86000,70000,80000,98000,81000,73000
6851,r112,"Both sexes, all occupations -> Male -> S&E occupations -> Physical and related scientists -> 29 and younger","Both sexes, all occupations",Male,S&E occupations,Physical and related scientists,29 and younger,5,33000,,,24000,,,34000,,33000,S,34000,24000
6851,r113,"Both sexes, all occupations -> Male -> S&E occupations -> Physical and related scientists -> 30&#8211;39","Both sexes, all occupations",Male,S&E occupations,Physical and related scientists,30&#8211;39,5,67000,51000,,61000,64000,,70000,,66000,100000,66000,67000
6851,r114,"Both sexes, all occupations -> Male -> S&E occupations -> Physical and related scientists -> 40&#8211;49","Both sexes, all occupations",Male,S&E occupations,Physical and related scientists,40&#8211;49,5,81000,80000,,103000,,,92000,,81000,131000,81000,96000
6851,r115,"Both sexes, all occupations -> Male -> S&E occupations -> Physical and related scientists -> 50&#8211;75","Both sexes, all occupations",Male,S&E occupations,Physical and related scientists,50&#8211;75,5,105000,63000,,100000,110000,,107000,,107000,98000,104000,149000
6851,r116,"Both sexes, all occupations -> Male -> S&E occupations -> Social and related scientists","Both sexes, all occupations",Male,S&E occupations,Social and related scientists,,4,73000,S,S,104000,101000,,80000,75000,85000,S,71000,95000
6851,r117,"Both sexes, all occupations -> Male -> S&E occupations -> Social and related scientists -> 29 and younger","Both sexes, all occupations",Male,S&E occupations,Social and related scientists,29 and younger,5,S,S,,S,S,,44000,,52000,S,S,S
