table_id,row_id,s_e_degree_field_full_path,s_e_degree_field_level_1,s_e_degree_field_level_2,s_e_degree_field_hierarchy_depth,field_2003,field_2006,field_2008,field_2010,field_2013,field_2015,field_2017
1600,r001,Highest degree in S&E field,Highest degree in S&E field,,1,7.8,8.1,7.1,8.4,8.3,7.9,7.5
1600,r002,"Highest degree in S&E field -> Biological, agricultural, and environmental life sciences",Highest degree in S&E field,"Biological, agricultural, and environmental life sciences",2,10.1,9.7,10.1,10.1,9.4,10.4,8.5
1600,r003,Highest degree in S&E field -> Computer and mathematical sciences,Highest degree in S&E field,Computer and mathematical sciences,2,4.9,5.7,4.5,5.1,4.1,4.0,4.4
1600,r004,Highest degree in S&E field -> Physical sciences,Highest degree in S&E field,Physical sciences,2,8.8,8.6,7.1,8.2,8.3,9.3,8.7
1600,r005,Highest degree in S&E field -> Social sciences,Highest degree in S&E field,Social sciences,2,10.1,10.6,9.2,11.3,11.8,11.4,11.0
1600,r006,Highest degree in S&E field -> Engineering,Highest degree in S&E field,Engineering,2,4.2,4.5,3.6,4.9,4.6,3.2,3.6
