table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2020,field_total_2021,field_total_2022,field_total_2023,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022,field_federally_financed_2023
11320,r001,All FFRDCs,All FFRDCs,,,1,"['23,514,241', ' ']","['24,921,476', ' ']","['26,006,971', ' ']","['29,316,897', ' ']","['23,133,501', ' ']","['24,509,691', ' ']","['25,605,479', ' ']","['28,880,018', ' ']"
11320,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['7,003,132', ' ']","['6,850,276', ' ']","['7,165,067', ' ']","['8,179,862', ' ']","['6,867,741', ' ']","['6,700,555', ' ']","['7,015,547', ' ']","['8,010,234', ' ']"
11320,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['32,844', '']","['34,214', '']","['38,520', '']","['40,638', '']","['32,302', '']","['34,016', '']","['38,032', '']","['40,091', '']"
11320,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['859,658', '']","['856,568', '']","['962,973', '']","['1,234,635', '']","['840,237', '']","['832,400', '']","['934,724', '']","['1,205,264', '']"
11320,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['300,002', '']","['319,051', '']","['330,294', '']","['402,122', '']","['299,811', '']","['317,812', '']","['329,131', '']","['400,573', '']"
11320,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory<sup>a</sup>,All FFRDCs,University-administered FFRDCs,Green Bank Observatory<sup>a</sup>,3,"['NA', '']","['8,629', '']","['10,752', '']","['12,326', '']","['NA', '']","['8,629', '']","['10,384', '']","['11,909', '']"
11320,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,638,412', '']","['2,388,355', '']","['2,417,556', '']","['2,671,305', '']","['2,638,412', '']","['2,388,355', '']","['2,417,556', '']","['2,671,305', '']"
11320,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['916,082', '']","['966,972', '']","['1,031,716', '']","['1,190,504', '']","['862,965', '']","['910,428', '']","['971,554', '']","['1,131,175', '']"
11320,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,115,927', '']","['1,136,133', '']","['1,142,615', '']","['1,265,060', '']","['1,093,081', '']","['1,110,465', '']","['1,119,338', '']","['1,234,615', '']"
11320,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['188,484', '']","['181,010', '']","['188,238', '']","['210,233', '']","['175,316', '']","['161,163', '']","['171,310', '']","['184,647', '']"
11320,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,"['100,078', '']","['94,202', '']","['92,476', '']","['102,863', '']","['98,458', '']","['93,313', '']","['91,913', '']","['102,104', '']"
11320,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,"['16,892', '']","['17,684', '']","['33,849', '']","['39,856', '']","['16,472', '']","['17,680', '']","['33,800', '']","['39,719', '']"
11320,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,"['72,686', '']","['75,251', '']","['81,505', '']","['94,257', '']","['69,685', '']","['73,393', '']","['79,193', '']","['92,841', '']"
11320,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,"['107,662', '']","['115,505', '']","['120,347', '']","['131,042', '']","['103,856', '']","['113,591', '']","['119,828', '']","['127,260', '']"
11320,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,"['382,264', '']","['396,780', '']","['432,078', '']","['483,193', '']","['366,936', '']","['382,252', '']","['419,094', '']","['469,601', '']"
11320,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"['141,291', '']","['120,443', '']","['129,316', '']","['130,141', '']","['141,291', '']","['120,443', '']","['129,316', '']","['130,141', '']"
11320,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,"['130,850', '']","['139,479', '']","['152,832', '']","['171,687', '']","['128,919', '']","['136,615', '']","['150,374', '']","['168,989', '']"
