table_id,row_id,type_of_agreement_full_path,type_of_agreement_level_1,type_of_agreement_level_2,type_of_agreement_hierarchy_depth,field_total_funds_for_r_d
7157,r001,Total ,Total ,,1,10528134
7157,r002,Total  -> Research grants or contracts,Total ,Research grants or contracts,2,8134120
7157,r003,Total  -> Subcontracts and subawards,Total ,Subcontracts and subawards,2,2394015
