table_id,row_id,organization_and_program_by_fy_2019_rank_order_full_path,organization_and_program_by_fy_2019_rank_order_level_1,organization_and_program_by_fy_2019_rank_order_level_2,organization_and_program_by_fy_2019_rank_order_level_3,organization_and_program_by_fy_2019_rank_order_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3368,r001,R&D and R&D plant,R&D and R&D plant,,,1,37094,39485,36915,6.4,-6.5
3368,r002,R&D and R&D plant -> National Cancer Institute,R&D and R&D plant,National Cancer Institute,,2,5989,6295,5766,5.1,-8.4
3368,r003,R&D and R&D plant -> National Institute of Allergy and Infectious Diseases<sup>b</sup>,R&D and R&D plant,National Institute of Allergy and Infectious Diseases<sup>b</sup>,,2,5453,5772,5356,5.8,-7.2
3368,r004,"R&D and R&D plant -> National Heart, Lung, and Blood Institute",R&D and R&D plant,"National Heart, Lung, and Blood Institute",,2,3348,3488,3176,4.2,-9.0
3368,r005,R&D and R&D plant -> National Institute on Aging,R&D and R&D plant,National Institute on Aging,,2,3031,3496,3177,15.3,-9.1
3368,r006,R&D and R&D plant -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,National Institute of Diabetes and Digestive and Kidney Diseases,,2,2099,2189,2000,4.3,-8.7
3368,r007,R&D and R&D plant -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,National Institute of Neurological Disorders and Stroke,,2,2202,2401,2207,9.0,-8.1
3368,r008,R&D and R&D plant -> Office of the Director,R&D and R&D plant,Office of the Director,,2,2074,2373,2181,14.4,-8.1
3368,r009,R&D and R&D plant -> National Institute of Mental Health,R&D and R&D plant,National Institute of Mental Health,,2,1820,1991,1793,9.4,-10.0
3368,r010,R&D and R&D plant -> National Institute of General Medical Sciences,R&D and R&D plant,National Institute of General Medical Sciences,,2,1628,1659,1893,1.9,14.1
3368,r011,R&D and R&D plant -> National Institute of Child Health and Human Development,R&D and R&D plant,National Institute of Child Health and Human Development,,2,1457,1511,1378,3.7,-8.8
3368,r012,R&D and R&D plant -> National Institute on Drug Abuse,R&D and R&D plant,National Institute on Drug Abuse,,2,1376,1429,1402,3.8,-1.8
3368,r013,R&D and R&D plant -> National Institute of Environmental Health Sciences,R&D and R&D plant,National Institute of Environmental Health Sciences,,2,831,864,785,4.0,-9.1
3368,r014,R&D and R&D plant -> National Eye Institute,R&D and R&D plant,National Eye Institute,,2,778,808,733,3.8,-9.3
3368,r015,R&D and R&D plant -> National Center for Advancing Translational Sciences,R&D and R&D plant,National Center for Advancing Translational Sciences,,2,778,788,746,1.3,-5.3
3368,r016,R&D and R&D plant -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,National Institute of Arthritis and Musculoskeletal and Skin Diseases,,2,584,606,550,3.8,-9.4
3368,r017,R&D and R&D plant -> National Human Genome Research Institute,R&D and R&D plant,National Human Genome Research Institute,,2,563,591,537,4.9,-9.0
3368,r018,R&D and R&D plant -> National Institute on Alcohol Abuse and Alcoholism,R&D and R&D plant,National Institute on Alcohol Abuse and Alcoholism,,2,507,529,481,4.5,-9.1
3368,r019,R&D and R&D plant -> National Institute on Deafness and Other Communication Disorders,R&D and R&D plant,National Institute on Deafness and Other Communication Disorders,,2,457,474,430,3.8,-9.3
3368,r020,R&D and R&D plant -> National Institute of Dental and Craniofacial Research,R&D and R&D plant,National Institute of Dental and Craniofacial Research,,2,445,462,421,3.7,-8.8
3368,r021,R&D and R&D plant -> National Library of Medicine,R&D and R&D plant,National Library of Medicine,,2,438,455,414,3.8,-9.1
3368,r022,R&D and R&D plant -> National Institute of Biomedical Imaging and Bioengineering,R&D and R&D plant,National Institute of Biomedical Imaging and Bioengineering,,2,352,367,334,4.4,-9.1
3368,r023,R&D and R&D plant -> National Institute on Minority Health and Health Disparities,R&D and R&D plant,National Institute on Minority Health and Health Disparities,,2,311,334,303,7.3,-9.1
3368,r024,R&D and R&D plant -> National Institute of Nursing Research,R&D and R&D plant,National Institute of Nursing Research,,2,154,163,149,6.1,-9.1
3368,r025,R&D and R&D plant -> National Center for Complementary and Integrative Health,R&D and R&D plant,National Center for Complementary and Integrative Health,,2,142,147,135,3.7,-8.4
3368,r026,R&D and R&D plant -> John E. Fogarty International Center,R&D and R&D plant,John E. Fogarty International Center,,2,60,61,55,2.9,-10.0
3368,r027,R&D and R&D plant -> National Institute for Research on Safety and Quality<sup>c</sup>,R&D and R&D plant,National Institute for Research on Safety and Quality<sup>c</sup>,,2,na,na,198,--,--
3368,r028,R&D and R&D plant -> Buildings and facilities,R&D and R&D plant,Buildings and facilities,,2,217,230,315,5.8,37.0
3368,r029,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,36877,39255,36600,6.5,-6.8
3368,r030,R&D and R&D plant -> R&D -> National Cancer Institute,R&D and R&D plant,R&D,National Cancer Institute,3,5989,6295,5766,5.1,-8.4
3368,r031,R&D and R&D plant -> R&D -> National Institute of Allergy and Infectious Diseases<sup>b</sup>,R&D and R&D plant,R&D,National Institute of Allergy and Infectious Diseases<sup>b</sup>,3,5453,5772,5356,5.8,-7.2
3368,r032,"R&D and R&D plant -> R&D -> National Heart, Lung, and Blood Institute",R&D and R&D plant,R&D,"National Heart, Lung, and Blood Institute",3,3348,3488,3176,4.2,-9.0
3368,r033,R&D and R&D plant -> R&D -> National Institute on Aging,R&D and R&D plant,R&D,National Institute on Aging,3,3031,3496,3177,15.3,-9.1
3368,r034,R&D and R&D plant -> R&D -> National Institute of Diabetes and Digestive and Kidney Diseases,R&D and R&D plant,R&D,National Institute of Diabetes and Digestive and Kidney Diseases,3,2099,2189,2000,4.3,-8.7
3368,r035,R&D and R&D plant -> R&D -> National Institute of Neurological Disorders and Stroke,R&D and R&D plant,R&D,National Institute of Neurological Disorders and Stroke,3,2202,2401,2207,9.0,-8.1
3368,r036,R&D and R&D plant -> R&D -> Office of the Director,R&D and R&D plant,R&D,Office of the Director,3,2074,2373,2181,14.4,-8.1
3368,r037,R&D and R&D plant -> R&D -> National Institute of Mental Health,R&D and R&D plant,R&D,National Institute of Mental Health,3,1820,1991,1793,9.4,-10.0
3368,r038,R&D and R&D plant -> R&D -> National Institute of General Medical Sciences,R&D and R&D plant,R&D,National Institute of General Medical Sciences,3,1628,1659,1893,1.9,14.1
3368,r039,R&D and R&D plant -> R&D -> National Institute of Child Health and Human Development,R&D and R&D plant,R&D,National Institute of Child Health and Human Development,3,1457,1511,1378,3.7,-8.8
3368,r040,R&D and R&D plant -> R&D -> National Institute on Drug Abuse,R&D and R&D plant,R&D,National Institute on Drug Abuse,3,1376,1429,1402,3.8,-1.8
3368,r041,R&D and R&D plant -> R&D -> National Institute of Environmental Health Sciences,R&D and R&D plant,R&D,National Institute of Environmental Health Sciences,3,831,864,785,4.0,-9.1
3368,r042,R&D and R&D plant -> R&D -> National Eye Institute,R&D and R&D plant,R&D,National Eye Institute,3,778,808,733,3.8,-9.3
3368,r043,R&D and R&D plant -> R&D -> National Center for Advancing Translational Sciences,R&D and R&D plant,R&D,National Center for Advancing Translational Sciences,3,778,788,746,1.3,-5.3
3368,r044,R&D and R&D plant -> R&D -> National Institute of Arthritis and Musculoskeletal and Skin Diseases,R&D and R&D plant,R&D,National Institute of Arthritis and Musculoskeletal and Skin Diseases,3,584,606,550,3.8,-9.4
3368,r045,R&D and R&D plant -> R&D -> National Human Genome Research Institute,R&D and R&D plant,R&D,National Human Genome Research Institute,3,563,591,537,4.9,-9.0
