table_id,row_id,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_level_6,occupation_sex_and_years_since_doctorate_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_total,field_professor,field_associate_professor,field_assistant_professor,field_other_faculty,field_rank_not_applicable
1205,r001,All occupations,All occupations,,,,,,1,319400,98800,71250,64850,21150,63400
1205,r002,All occupations -> Female,All occupations,Female,,,,,2,120650,26900,27950,27950,9950,27950
1205,r003,All occupations -> Female -> Less than 10,All occupations,Female,Less than 10,,,,3,48650,700,5700,20250,4900,17100
1205,r004,All occupations -> Female -> 10&#8211;19,All occupations,Female,10&#8211;19,,,,3,37800,7550,14900,6100,2950,6250
1205,r005,All occupations -> Female -> 20&#8211;29,All occupations,Female,20&#8211;29,,,,3,22050,11150,5400,1250,1300,2900
1205,r006,All occupations -> Female -> 30 or more,All occupations,Female,30 or more,,,,3,12200,7500,1900,350,800,1650
1205,r007,All occupations -> Male,All occupations,Male,,,,,2,198750,71900,43300,36900,11200,35450
1205,r008,All occupations -> Male -> Less than 10,All occupations,Male,Less than 10,,,,3,58250,400,7300,26200,4500,19900
1205,r009,All occupations -> Male -> 10&#8211;19,All occupations,Male,10&#8211;19,,,,3,52700,13050,21500,8550,2850,6700
1205,r010,All occupations -> Male -> 20&#8211;29,All occupations,Male,20&#8211;29,,,,3,42800,26400,8850,1350,1550,4650
1205,r011,All occupations -> Male -> 30 or more,All occupations,Male,30 or more,,,,3,45000,32050,5650,800,2300,4200
1205,r012,All occupations -> S&E occupations<sup>a</sup>,All occupations,S&E occupations<sup>a</sup>,,,,,2,245250,75000,54400,51500,16900,47500
1205,r013,All occupations -> S&E occupations<sup>a</sup> -> Female,All occupations,S&E occupations<sup>a</sup>,Female,,,,3,84750,17650,19350,20450,7400,19950
1205,r014,All occupations -> S&E occupations<sup>a</sup> -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Female,Less than 10,,,4,36000,300,3650,15100,3750,13200
1205,r015,All occupations -> S&E occupations<sup>a</sup> -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Female,10&#8211;19,,,4,26300,4800,10850,4350,2350,4000
1205,r016,All occupations -> S&E occupations<sup>a</sup> -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Female,20&#8211;29,,,4,14350,7350,3650,800,900,1650
1205,r017,All occupations -> S&E occupations<sup>a</sup> -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Female,30 or more,,,4,8100,5200,1150,200,450,1100
1205,r018,All occupations -> S&E occupations<sup>a</sup> -> Male,All occupations,S&E occupations<sup>a</sup>,Male,,,,3,160500,57350,35050,31050,9500,27550
1205,r019,All occupations -> S&E occupations<sup>a</sup> -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Male,Less than 10,,,4,49800,300,6200,22650,3750,16950
1205,r020,All occupations -> S&E occupations<sup>a</sup> -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Male,10&#8211;19,,,4,43000,11000,17800,6750,2450,5000
1205,r021,All occupations -> S&E occupations<sup>a</sup> -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Male,20&#8211;29,,,4,32700,21050,6500,1000,1250,2900
1205,r022,All occupations -> S&E occupations<sup>a</sup> -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Male,30 or more,,,4,34950,24950,4550,650,2050,2750
1205,r023,All occupations -> S&E occupations<sup>a</sup> -> Scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,,,,3,214200,63400,47150,44800,15350,43450
1205,r024,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,,,4,79350,16250,18000,19100,6950,19050
1205,r025,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,Less than 10,,5,33650,250,3400,13950,3500,12550
1205,r026,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,10&#8211;19,,5,24600,4350,10000,4150,2200,3850
1205,r027,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,20&#8211;29,,5,13250,6600,3500,800,800,1550
1205,r028,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Female,30 or more,,5,7850,5000,1100,200,450,1050
1205,r029,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,,,4,134800,47150,29150,25700,8400,24400
1205,r030,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,Less than 10,,5,41800,250,5250,18200,3250,14800
1205,r031,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,10&#8211;19,,5,36500,9200,14600,6000,2250,4450
1205,r032,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,20&#8211;29,,5,26600,16550,5350,850,1100,2700
1205,r033,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Male,30 or more,,5,29900,21100,3900,650,1800,2500
1205,r034,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,,,4,73600,17350,12200,14450,4400,25200
1205,r035,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,,5,28850,4500,4300,6100,2100,11900
1205,r036,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,Less than 10,6,13850,50,500,3600,1050,8600
1205,r037,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,10&#8211;19,6,8300,1150,2250,2100,700,2100
1205,r038,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,20&#8211;29,6,4300,1750,1150,300,250,800
1205,r039,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Female,30 or more,6,2400,1500,350,100,100,350
1205,r040,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,,5,44750,12900,7900,8350,2300,13300
1205,r041,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,Less than 10,6,15350,0.05,900,4500,900,9050
1205,r042,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,10&#8211;19,6,12750,2050,4300,3400,600,2450
1205,r043,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,20&#8211;29,6,7650,4550,1550,400,350,850
1205,r044,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Biological/life scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Biological/life scientist,Male,30 or more,6,8950,6300,1150,S,450,950
1205,r045,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,,,4,11200,3200,2600,2300,550,2500
1205,r046,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,,5,2100,450,450,450,200,550
1205,r047,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,Less than 10,6,850,,50,450,150,200
1205,r048,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,10&#8211;19,6,700,200,300,,S,200
1205,r049,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,20&#8211;29,6,350,150,S,,,50
1205,r050,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Female,30 or more,6,200,100,,,,100
1205,r051,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,,5,9100,2750,2150,1850,350,1950
1205,r052,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,Less than 10,6,3350,,650,1500,200,950
1205,r053,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,10&#8211;19,6,2100,700,850,200,S,300
1205,r054,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,20&#8211;29,6,1950,1000,350,100,,400
1205,r055,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Computer and information scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Computer and information scientist,Male,30 or more,6,1700,1000,300,,50,300
1205,r056,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,,,4,19700,6700,5000,4150,1750,2150
1205,r057,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Female,,5,5350,1250,1400,1250,550,850
1205,r058,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Female,Less than 10,6,2200,,350,1050,150,600
1205,r059,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Female,10&#8211;19,6,1550,350,750,150,200,100
1205,r060,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Female,20&#8211;29,6,1050,600,250,S,100,50
1205,r061,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Female,30 or more,6,550,300,50,,S,
1205,r062,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Male,,5,14400,5450,3600,2850,1200,1300
1205,r063,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Male,Less than 10,6,4250,S,550,2300,650,750
1205,r064,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Male,10&#8211;19,6,3850,1300,1750,300,300,150
1205,r065,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Male,20&#8211;29,6,3000,1800,800,S,150,250
1205,r066,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Mathematical scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Mathematical scientist,Male,30 or more,6,3300,2350,500,150,150,200
1205,r067,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,,,4,39150,13100,7600,7550,3600,7300
1205,r068,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Female,,5,9750,2150,2150,2500,1250,1750
1205,r069,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Female,Less than 10,6,3900,,400,1900,550,1050
1205,r070,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Female,10&#8211;19,6,3150,550,1300,400,450,400
1205,r071,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Female,20&#8211;29,6,1750,1050,300,100,150,150
1205,r072,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Female,30 or more,6,1000,550,150,,50,150
1205,r073,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Male,,5,29400,10950,5450,5050,2350,5550
1205,r074,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Male,Less than 10,6,8150,150,750,3600,650,3050
1205,r075,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Male,10&#8211;19,6,7750,1900,2950,1150,650,1100
1205,r076,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Male,20&#8211;29,6,6550,4300,1100,150,350,650
1205,r077,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Physical scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Physical scientist,Male,30 or more,6,6950,4650,650,150,700,800
1205,r078,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,,,4,24300,7400,6750,5450,1650,3100
1205,r079,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Female,,5,13500,3300,3600,3550,1050,2050
1205,r080,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Female,Less than 10,6,4950,50,750,2650,500,1000
1205,r081,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Female,10&#8211;19,6,4250,900,1850,650,350,600
1205,r082,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Female,20&#8211;29,6,2650,1200,850,200,150,250
1205,r083,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Female,30 or more,6,1650,1150,200,50,,200
1205,r084,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Male,,5,10800,4100,3150,1900,600,1050
1205,r085,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Male,Less than 10,6,3050,0.05,750,1550,250,450
1205,r086,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Male,10&#8211;19,6,3100,800,1500,300,250,250
1205,r087,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Male,20&#8211;29,6,2050,1200,600,,,250
1205,r088,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Psychologist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Psychologist,Male,30 or more,6,2600,2050,300,,100,100
1205,r089,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,,,4,46150,15600,13050,10950,3400,3200
1205,r090,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Female,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Female,,5,19800,4600,6100,5250,1800,2000
1205,r091,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Female,Less than 10,6,7950,100,1350,4300,1100,1100
1205,r092,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Female,10&#8211;19,6,6650,1250,3550,800,500,500
1205,r093,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Female,20&#8211;29,6,3150,1850,850,150,100,250
1205,r094,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Female,30 or more,6,2000,1400,350,,100,200
1205,r095,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Male,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Male,,5,26400,11000,6900,5700,1600,1200
1205,r096,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Male,Less than 10,6,7650,S,1650,4700,700,550
1205,r097,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Male,10&#8211;19,6,6950,2450,3250,650,450,200
1205,r098,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Male,20&#8211;29,6,5350,3750,1000,150,150,350
1205,r099,All occupations -> S&E occupations<sup>a</sup> -> Scientist -> Social scientist -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Scientist,Social scientist,Male,30 or more,6,6400,4750,1000,200,350,150
1205,r100,All occupations -> S&E occupations<sup>a</sup> -> Engineer,All occupations,S&E occupations<sup>a</sup>,Engineer,,,,3,31100,11600,7250,6650,1550,4050
1205,r101,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Female,All occupations,S&E occupations<sup>a</sup>,Engineer,Female,,,4,5400,1400,1300,1350,450,900
1205,r102,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Female -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Engineer,Female,Less than 10,,5,2350,,250,1150,250,650
1205,r103,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Female -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Engineer,Female,10&#8211;19,,5,1700,400,850,200,100,150
1205,r104,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Female -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Engineer,Female,20&#8211;29,,5,1050,750,150,,100,100
1205,r105,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Female -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Engineer,Female,30 or more,,5,300,200,S,,,
1205,r106,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Male,All occupations,S&E occupations<sup>a</sup>,Engineer,Male,,,4,25700,10200,5900,5300,1100,3150
1205,r107,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Male -> Less than 10,All occupations,S&E occupations<sup>a</sup>,Engineer,Male,Less than 10,,5,8050,50,950,4450,450,2150
1205,r108,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Male -> 10&#8211;19,All occupations,S&E occupations<sup>a</sup>,Engineer,Male,10&#8211;19,,5,6500,1800,3200,750,200,600
1205,r109,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Male -> 20&#8211;29,All occupations,S&E occupations<sup>a</sup>,Engineer,Male,20&#8211;29,,5,6100,4500,1150,150,150,200
1205,r110,All occupations -> S&E occupations<sup>a</sup> -> Engineer -> Male -> 30 or more,All occupations,S&E occupations<sup>a</sup>,Engineer,Male,30 or more,,5,5050,3900,650,,250,250
1205,r111,All occupations -> S&E-related occupations<sup>b</sup>,All occupations,S&E-related occupations<sup>b</sup>,,,,,2,33050,7650,8600,8450,1500,6900
1205,r112,All occupations -> S&E-related occupations<sup>b</sup> -> Female,All occupations,S&E-related occupations<sup>b</sup>,Female,,,,3,17950,3600,4900,5000,1050,3350
