table_id,row_id,_b_source_of_foreign_funding_b_full_path,_b_source_of_foreign_funding_b_level_1,_b_source_of_foreign_funding_b_level_2,_b_source_of_foreign_funding_b_hierarchy_depth,field_all_r_d_expenditures,field_imputed_amount,field_imputed_amount_as_of_total
5376,r001,All foreign funds,All foreign funds,,1,1304607,42145,3.2
5376,r002,All foreign funds -> Foreign government,All foreign funds,Foreign government,2,296658,7966,2.7
5376,r003,All foreign funds -> Business,All foreign funds,Business,2,625962,56283,9.0
5376,r004,All foreign funds -> Nonprofit organizations,All foreign funds,Nonprofit organizations,2,252230,16561,6.6
5376,r005,All foreign funds -> Higher education institutions,All foreign funds,Higher education institutions,2,106741,8334,7.8
5376,r006,All foreign funds -> All other sources,All foreign funds,All other sources,2,23016,5243,22.8
