table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_foreign_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_foreign_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
9677,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['74,695', '  ']","['26,587', 'i ']","['20,806', '  ']","['2,450', '  ']","['23,582', '  ']","['329', '  ']","['155', '  ']","['78', '  ']","['1', '  ']","['674', '  ']","['34', '  ']"
9677,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['38,394', '  ']","['6,601', '  ']","['13,401', '  ']","['1,454', '  ']","['16,374', '  ']","['119', '  ']","['136', '  ']","['24', '  ']","['*', '  ']","['264', '  ']","['21', '  ']"
9677,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['297 - 302', '  ']","['38 - 77', '  ']","['212', '  ']","['1 - 35', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0 - 27', '  ']","['0', '  ']"
9677,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['19', '  ']","['*', '  ']","['18', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'r ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9677,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['11', '  ']","['5', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['0', '  ']"
9677,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2 - 10', '  ']","['0', '  ']","['2 - 10', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9677,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
9677,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['0 - 7', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 7', '  ']","['0 - 4', '  ']"
9677,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['5', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']"
9677,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['12,393', '  ']","['2,654', '  ']","['7,695', '  ']","['723', '  ']","['1,223', '  ']","['5', '  ']","['0', '  ']","['15', '  ']","['*', '  ']","['72', '  ']","['6', '  ']"
