table_id,row_id,time_period,_b_graduate_students_b_level_1,_b_graduate_students_b_level_2,_b_graduate_students_b_hierarchy_depth,value
3487,r001,1975,Graduate students,All fields,2,328510
3487,r002,1975,Graduate students,Science,2,234649
3487,r003,1975,Graduate students,Engineering,2,68332
3487,r004,1975,Graduate students,Health,2,25529
3487,r005,1975,Postdoctoral appointees,All fields,2,na
3487,r006,1975,Postdoctoral appointees,Science,2,na
3487,r007,1975,Postdoctoral appointees,Engineering,2,na
3487,r008,1975,Postdoctoral appointees,Health,2,na
3487,r009,1975,Nonfaculty researchers,All fields,2,na
3487,r010,1975,Nonfaculty researchers,Science,2,na
3487,r011,1975,Nonfaculty researchers,Engineering,2,na
3487,r012,1975,Nonfaculty researchers,Health,2,na
3487,r013,1976,Graduate students,All fields,2,333716
3487,r014,1976,Graduate students,Science,2,238675
3487,r015,1976,Graduate students,Engineering,2,66723
3487,r016,1976,Graduate students,Health,2,28318
3487,r017,1976,Postdoctoral appointees,All fields,2,na
3487,r018,1976,Postdoctoral appointees,Science,2,na
3487,r019,1976,Postdoctoral appointees,Engineering,2,na
3487,r020,1976,Postdoctoral appointees,Health,2,na
3487,r021,1976,Nonfaculty researchers,All fields,2,na
3487,r022,1976,Nonfaculty researchers,Science,2,na
3487,r023,1976,Nonfaculty researchers,Engineering,2,na
3487,r024,1976,Nonfaculty researchers,Health,2,na
3487,r025,1977,Graduate students,All fields,2,345374
3487,r026,1977,Graduate students,Science,2,242932
3487,r027,1977,Graduate students,Engineering,2,68757
3487,r028,1977,Graduate students,Health,2,33685
3487,r029,1977,Postdoctoral appointees,All fields,2,na
3487,r030,1977,Postdoctoral appointees,Science,2,na
3487,r031,1977,Postdoctoral appointees,Engineering,2,na
3487,r032,1977,Postdoctoral appointees,Health,2,na
3487,r033,1977,Nonfaculty researchers,All fields,2,na
3487,r034,1977,Nonfaculty researchers,Science,2,na
3487,r035,1977,Nonfaculty researchers,Engineering,2,na
3487,r036,1977,Nonfaculty researchers,Health,2,na
3487,r037,1978<sup>a</sup>,Graduate students,All fields,2,339912
3487,r038,1978<sup>a</sup>,Graduate students,Science,2,236465
3487,r039,1978<sup>a</sup>,Graduate students,Engineering,2,67787
3487,r040,1978<sup>a</sup>,Graduate students,Health,2,35660
3487,r041,1978<sup>a</sup>,Postdoctoral appointees,All fields,2,na
3487,r042,1978<sup>a</sup>,Postdoctoral appointees,Science,2,na
3487,r043,1978<sup>a</sup>,Postdoctoral appointees,Engineering,2,na
3487,r044,1978<sup>a</sup>,Postdoctoral appointees,Health,2,na
3487,r045,1978<sup>a</sup>,Nonfaculty researchers,All fields,2,na
3487,r046,1978<sup>a</sup>,Nonfaculty researchers,Science,2,na
3487,r047,1978<sup>a</sup>,Nonfaculty researchers,Engineering,2,na
3487,r048,1978<sup>a</sup>,Nonfaculty researchers,Health,2,na
3487,r049,1979,Graduate students,All fields,2,357578
3487,r050,1979,Graduate students,Science,2,247235
3487,r051,1979,Graduate students,Engineering,2,71808
3487,r052,1979,Graduate students,Health,2,38535
3487,r053,1979,Postdoctoral appointees,All fields,2,18101
3487,r054,1979,Postdoctoral appointees,Science,2,12519
3487,r055,1979,Postdoctoral appointees,Engineering,2,1067
3487,r056,1979,Postdoctoral appointees,Health,2,4515
3487,r057,1979,Nonfaculty researchers,All fields,2,2687
3487,r058,1979,Nonfaculty researchers,Science,2,1915
3487,r059,1979,Nonfaculty researchers,Engineering,2,273
3487,r060,1979,Nonfaculty researchers,Health,2,499
3487,r061,1980,Graduate students,All fields,2,367078
3487,r062,1980,Graduate students,Science,2,251265
3487,r063,1980,Graduate students,Engineering,2,74335
3487,r064,1980,Graduate students,Health,2,41478
3487,r065,1980,Postdoctoral appointees,All fields,2,18399
3487,r066,1980,Postdoctoral appointees,Science,2,13042
3487,r067,1980,Postdoctoral appointees,Engineering,2,981
3487,r068,1980,Postdoctoral appointees,Health,2,4376
