table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_level_6,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12574,r001,R&D and R&D plant,R&D and R&D plant,,,,,,1,3729,3653,3654,-2.0,0.0
12574,r002,R&D and R&D plant -> Conservation and land management (302),R&D and R&D plant,Conservation and land management (302),,,,,2,611,631,652,3.3,3.3
12574,r003,R&D and R&D plant -> Conservation and land management (302) -> Department of the Interior,R&D and R&D plant,Conservation and land management (302),Department of the Interior,,,,3,224,210,231,-6.3,10.0
12574,r004,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,,,,3,387,421,421,8.8,0.0
12574,r005,R&D and R&D plant -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,Conservation and land management (302),Department of Agriculture,Forest Service,,,4,387,421,421,8.8,0.0
12574,r006,R&D and R&D plant -> Pollution control and abatement (304),R&D and R&D plant,Pollution control and abatement (304),,,,,2,576,576,621,0.0,7.8
12574,r007,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,,,,3,568,568,614,0.0,8.1
12574,r008,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,,4,1,1,1,0.0,0.0
12574,r009,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,,4,537,537,583,0.0,8.6
12574,r010,R&D and R&D plant -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,,4,30,30,30,0.0,0.0
12574,r011,R&D and R&D plant -> Pollution control and abatement (304) -> Department of Homeland Security,R&D and R&D plant,Pollution control and abatement (304),Department of Homeland Security,,,,3,8,8,7,0.0,-12.5
12574,r012,R&D and R&D plant -> Pollution control and abatement (304) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,Pollution control and abatement (304),Department of Homeland Security,Coast Guard,,,4,8,8,7,0.0,-12.5
12574,r013,R&D and R&D plant -> Recreational resources (303),R&D and R&D plant,Recreational resources (303),,,,,2,28,32,32,14.3,0.0
12574,r014,R&D and R&D plant -> Recreational resources (303) -> Department of the Interior,R&D and R&D plant,Recreational resources (303),Department of the Interior,,,,3,28,32,32,14.3,0.0
12574,r015,R&D and R&D plant -> Recreational resources (303) -> Department of the Interior -> National Park Service,R&D and R&D plant,Recreational resources (303),Department of the Interior,National Park Service,,,4,28,32,32,14.3,0.0
12574,r016,R&D and R&D plant -> Water resources (301),R&D and R&D plant,Water resources (301),,,,,2,285,253,221,-11.2,-12.6
12574,r017,R&D and R&D plant -> Water resources (301) -> Department of Defense,R&D and R&D plant,Water resources (301),Department of Defense,,,,3,133,105,71,-21.1,-32.4
12574,r018,R&D and R&D plant -> Water resources (301) -> Department of Defense -> Army Corps of Engineers,R&D and R&D plant,Water resources (301),Department of Defense,Army Corps of Engineers,,,4,133,105,71,-21.1,-32.4
12574,r019,R&D and R&D plant -> Water resources (301) -> Department of the Interior,R&D and R&D plant,Water resources (301),Department of the Interior,,,,3,152,148,150,-2.6,1.4
12574,r020,R&D and R&D plant -> Water resources (301) -> Department of the Interior -> Bureau of Reclamation,R&D and R&D plant,Water resources (301),Department of the Interior,Bureau of Reclamation,,,4,152,148,150,-2.6,1.4
12574,r021,R&D and R&D plant -> Other natural resources (306),R&D and R&D plant,Other natural resources (306),,,,,2,2229,2161,2128,-3.1,-1.6
12574,r022,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce,R&D and R&D plant,Other natural resources (306),Department of Commerce,,,,3,1358,1290,1210,-5.0,-6.2
12574,r023,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,,,4,1358,1290,1210,-5.0,-6.2
12574,r024,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Mission support / spectrum,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Mission support / spectrum,,5,27,18,15,-35.2,-14.3
12574,r025,"R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Environmental Satellite, Data, and Information Service",R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,"National Environmental Satellite, Data, and Information Service",,5,59,58,61,-3.0,5.6
12574,r026,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Marine Fisheries Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Marine Fisheries Service,,5,79,65,61,-17.5,-6.1
12574,r027,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Ocean Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Ocean Service,,5,135,117,150,-13.2,28.5
12574,r028,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> National Weather Service,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,National Weather Service,,5,42,42,39,0.2,-6.0
12574,r029,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Oceanic and Atmospheric Research,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Oceanic and Atmospheric Research,,5,741,741,609,0.0,-17.9
12574,r030,R&D and R&D plant -> Other natural resources (306) -> Department of Commerce -> National Oceanic and Atmospheric Administration -> Office of Marine and Aviation Operations,R&D and R&D plant,Other natural resources (306),Department of Commerce,National Oceanic and Atmospheric Administration,Office of Marine and Aviation Operations,,5,275,249,275,-9.2,10.1
12574,r031,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior,R&D and R&D plant,Other natural resources (306),Department of the Interior,,,,3,872,872,918,0.0,5.3
12574,r032,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,,,4,872,872,918,0.0,5.3
12574,r033,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Core science systems,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Core science systems,,5,104,104,115,0.0,10.3
12574,r034,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Ecosystems,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Ecosystems,,5,306,306,324,0.0,6.0
12574,r035,"R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Energy, minerals, and environmental health",R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,"Energy, minerals, and environmental health",,5,90,90,104,0.0,15.4
12574,r036,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Natural hazards,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Natural hazards,,5,145,145,154,0.0,5.8
12574,r037,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Water resources,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Water resources,,5,157,157,152,0.0,-3.4
12574,r038,R&D and R&D plant -> Other natural resources (306) -> Department of the Interior -> Geological Survey -> Other<sup>b</sup>,R&D and R&D plant,Other natural resources (306),Department of the Interior,Geological Survey,Other<sup>b</sup>,,5,69,69,69,0.0,0.0
12574,r039,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,,2,3362,3315,3344,-1.4,0.9
12574,r040,R&D and R&D plant -> R&D -> Conservation and land management (302),R&D and R&D plant,R&D,Conservation and land management (302),,,,3,605,625,646,3.3,3.4
12574,r041,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of the Interior,R&D and R&D plant,R&D,Conservation and land management (302),Department of the Interior,,,4,222,208,229,-6.3,10.1
12574,r042,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,,,4,383,417,417,8.9,0.0
12574,r043,R&D and R&D plant -> R&D -> Conservation and land management (302) -> Department of Agriculture -> Forest Service,R&D and R&D plant,R&D,Conservation and land management (302),Department of Agriculture,Forest Service,,5,383,417,417,8.9,0.0
12574,r044,R&D and R&D plant -> R&D -> Pollution control and abatement (304),R&D and R&D plant,R&D,Pollution control and abatement (304),,,,3,576,576,621,0.0,7.8
12574,r045,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,,,4,568,568,614,0.0,8.1
12574,r046,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Oil spill response research,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Oil spill response research,,5,1,1,1,0.0,0.0
12574,r047,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Science and technology,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Science and technology,,5,537,537,583,0.0,8.6
12574,r048,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Environmental Protection Agency -> Superfund,R&D and R&D plant,R&D,Pollution control and abatement (304),Environmental Protection Agency,Superfund,,5,30,30,30,0.0,0.0
12574,r049,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Department of Homeland Security,R&D and R&D plant,R&D,Pollution control and abatement (304),Department of Homeland Security,,,4,8,8,7,0.0,-12.5
12574,r050,R&D and R&D plant -> R&D -> Pollution control and abatement (304) -> Department of Homeland Security -> Coast Guard,R&D and R&D plant,R&D,Pollution control and abatement (304),Department of Homeland Security,Coast Guard,,5,8,8,7,0.0,-12.5
12574,r051,R&D and R&D plant -> R&D -> Recreational resources (303),R&D and R&D plant,R&D,Recreational resources (303),,,,3,28,32,32,14.3,0.0
12574,r052,R&D and R&D plant -> R&D -> Recreational resources (303) -> Department of the Interior,R&D and R&D plant,R&D,Recreational resources (303),Department of the Interior,,,4,28,32,32,14.3,0.0
12574,r053,R&D and R&D plant -> R&D -> Recreational resources (303) -> Department of the Interior -> National Park Service,R&D and R&D plant,R&D,Recreational resources (303),Department of the Interior,National Park Service,,5,28,32,32,14.3,0.0
