table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_level_5,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_units,field_graduate_students_all_graduate_students_institutions,field_graduate_students_master_s_units,field_graduate_students_master_s_institutions,field_graduate_students_doctoral_units,field_graduate_students_doctoral_institutions,field_postdoctoral_appointees_units,field_postdoctoral_appointees_institutions,field_doctorate_holding_nonfaculty_researchers_units,field_doctorate_holding_nonfaculty_researchers_institutions
10696,r001,All detailed fields,All detailed fields,,,,,1,14354,687,11148,677,7545,414,7962,332,6204,270
10696,r002,All detailed fields -> Science,All detailed fields,Science,,,,2,10192,667,7666,651,5393,381,4677,322,3638,259
10696,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,,3,352,93,308,93,223,56,337,73,274,66
10696,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,,4,318,91,283,91,201,56,220,60,195,51
10696,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,,4,34,25,25,21,22,17,117,38,79,34
10696,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,,3,2776,510,1696,490,1890,290,1800,269,1329,205
10696,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,,4,187,149,90,83,158,128,138,111,122,91
10696,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,,4,389,350,341,324,158,149,204,169,151,120
10696,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,,4,185,141,130,104,107,90,70,53,56,40
10696,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,,4,38,34,6,6,38,34,12,11,13,12
10696,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,,4,204,122,153,108,126,84,87,60,71,46
10696,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,,4,88,77,82,71,8,8,23,19,18,16
10696,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,,4,65,46,55,44,57,40,48,29,35,27
10696,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",,4,195,125,92,72,157,107,125,89,82,61
10696,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,,4,113,90,74,61,80,65,61,46,48,39
10696,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,,4,101,80,69,60,70,65,51,44,26,22
10696,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,,4,99,73,50,43,76,61,97,64,80,50
10696,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,,4,184,126,88,73,150,109,173,110,112,73
10696,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,,4,53,47,22,19,39,35,40,36,32,27
10696,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,,4,187,134,47,41,167,127,140,92,98,68
10696,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,,4,116,93,100,85,58,53,36,24,24,22
10696,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,,4,40,37,13,13,34,33,69,48,46,40
10696,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,,4,147,102,61,55,129,93,97,81,64,54
10696,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,,4,206,139,111,90,148,103,174,95,117,69
10696,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,,4,79,48,65,44,66,42,43,32,34,28
10696,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,,4,100,70,47,38,64,50,112,52,100,42
10696,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,,3,1075,430,982,426,308,195,192,128,167,92
10696,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",,4,92,68,81,63,21,16,19,14,17,14
10696,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,,4,213,168,178,161,91,72,47,45,38,28
