table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_dod_number,field_dod_percent,field_doe_number,field_doe_percent,field_hhs_nih_number,field_hhs_nih_percent,field_hhs_other_hhs_number,field_hhs_other_hhs_percent,field_nasa_number,field_nasa_percent,field_nsf_number,field_nsf_percent,field_usda_number,field_usda_percent,field_other_number,field_other_percent
10686,r001,All graduate students,All graduate students,,,,1,81773,9093,11.1,5870,7.2,23200,28.4,3523,4.3,2174,2.7,21136,25.8,3307,4.0,13470,16.5
10686,r002,All graduate students -> Science,All graduate students,Science,,,2,52774,3676,7.0,2986,5.7,18254,34.6,2049,3.9,1284,2.4,13324,25.2,2885,5.5,8316,15.8
10686,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,1907,20,1.0,48,2.5,123,6.4,117,6.1,5,0.3,160,8.4,1172,61.5,262,13.7
10686,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,21244,442,2.1,196,0.9,14556,68.5,1005,4.7,69,0.3,2408,11.3,800,3.8,1768,8.3
10686,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,6323,1287,20.4,182,2.9,380,6.0,166,2.6,71,1.1,2909,46.0,103,1.6,1225,19.4
10686,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,2726,179,6.6,120,4.4,26,1.0,18,0.7,460,16.9,1246,45.7,39,1.4,638,23.4
10686,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,1572,133,8.5,36,2.3,205,13.0,42,2.7,25,1.6,970,61.7,12,0.8,149,9.5
10686,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary sciences,All graduate students,Science,Multidisciplinary and interdisciplinary sciences,,3,944,59,6.3,52,5.5,214,22.7,26,2.8,18,1.9,192,20.3,32,3.4,351,37.2
10686,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,1635,52,3.2,59,3.6,57,3.5,72,4.4,43,2.6,298,18.2,397,24.3,657,40.2
10686,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,10516,807,7.7,2273,21.6,1732,16.5,268,2.5,555,5.3,4095,38.9,31,0.3,755,7.2
