table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_d,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
9703,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['527,804', '  ']","['18,433', '  ']","['52,844', '  ']","['562,215', '  ']","['34,411', '&nbsp;']","['6.5', '  ']"
9703,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['287,666', '  ']","['12,251', '  ']","['28,450', '  ']","['303,865', '  ']","['16,199', '&nbsp;']","['5.6', '  ']"
9703,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,963 - 4,968', '  ']","['224 - 236', '  ']","['946', '  ']","['5,673 - 5,690', 'i ']","['710 - 722', '  ']","['D', '  ']"
9703,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,228', '  ']","['67', '  ']","['297', 'i ']","['1,458', '  ']","['230', 'i ']","['18.7', '  ']"
9703,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['818', '  ']","['15', '  ']","['69', '  ']","['872', 'i ']","['54', 'i ']","['6.6', '  ']"
9703,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['433 - 442', '  ']","['2', '  ']","['15', '  ']","['446 - 454', '  ']","['13', '  ']","['D', '  ']"
9703,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,139', '  ']","['7', '  ']","['511', '  ']","['1,643', 'i ']","['504', 'i ']","['44.2', '  ']"
9703,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['196 - 205', 'i ']","['11', 'i ']","['39', '  ']","['225 - 234', 'i ']","['29', 'i ']","['D', '  ']"
9703,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['952', '  ']","['43', '  ']","['171', 'i ']","['1,079', '  ']","['127', 'i ']","['13.4', '  ']"
9703,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['97,097', '  ']","['3,679', '  ']","['8,291', '  ']","['101,709', '  ']","['4,612', '&nbsp;']","['4.8', '  ']"
9703,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,559', '  ']","['165', '  ']","['317', '  ']","['2,711', '  ']","['152', '  ']","['5.9', '  ']"
9703,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,291 - 1,320', 'i ']","['73 - 100', '  ']","['62', '  ']","['1,253 - 1,309', 'i ']","['-38 - -11 ', 'i ']","['D', '  ']"
9703,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['915 - 946', '  ']","['53 - 80', 'i ']","['170', 'i ']","['1,005 - 1,063', 'i ']","['90 - 117', 'i ']","['D', '  ']"
9703,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['88,524', '  ']","['3,204', '  ']","['7,504', '  ']","['92,823', '  ']","['4,299', '&nbsp;']","['4.9', '  ']"
9703,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparations",,4,3256,"['2,531', '  ']","['107', '  ']","['174', '  ']","['2,598', '  ']","['67', '  ']","['2.7', '  ']"
9703,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,242 - 1,252', '  ']","['22 - 49', '  ']","['64', '  ']","['1,257 - 1,294', '  ']","['15 - 42', '  ']","['D', '  ']"
9703,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,961', '  ']","['111', '  ']","['353', 'i ']","['3,203', '  ']","['242', 'i ']","['8.2', '  ']"
9703,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,503', '  ']","['88', '  ']","['193', '  ']","['1,607', 'i ']","['105', '  ']","['7.0', '  ']"
9703,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['887 - 890', '  ']","['15 - 22', '  ']","['172', '  ']","['1,037 - 1,047', 'i ']","['150 - 157', '  ']","['D', '  ']"
9703,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,879', '  ']","['79', '  ']","['397', '  ']","['4,197', '  ']","['318', '  ']","['8.2', '  ']"
9703,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,726', '  ']","['681', '  ']","['1,295', '  ']","['17,341', '  ']","['614', '&nbsp;']","['3.7', '  ']"
9703,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,799 - 1,807', '  ']","['41 - 60', '  ']","['216', '  ']","['1,955 - 1,982', '  ']","['156 - 175', '  ']","['D', '  ']"
9703,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['5,182', '  ']","['373', '  ']","['314', '  ']","['5,122', 'i ']","['-60', 'i ']","['-1.2', '  ']"
