table_id,row_id,occupation_and_age_years_full_path,occupation_and_age_years_level_1,occupation_and_age_years_level_2,occupation_and_age_years_level_3,occupation_and_age_years_level_4,occupation_and_age_years_level_5,occupation_and_age_years_hierarchy_depth,field_all_degreesa_both_sexes,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_both_sexes,field_bachelor_s_female,field_bachelor_s_male,field_master_s_both_sexes,field_master_s_female,field_master_s_male,field_doctorate_both_sexes,field_doctorate_female,field_doctorate_male
3301,r001,All occupations,All occupations,,,,,1,80000,70000,95000,72000,60000,83000,88000,75000,102000,104000,90000,110000
3301,r002,All occupations -> 29 and younger,All occupations,29 and younger,,,,2,55000,50000,62000,51000,47000,58000,60000,52000,75000,68000,75000,67000
3301,r003,All occupations -> 30&#8211;39,All occupations,30&#8211;39,,,,2,79000,70000,85000,70000,61000,78000,83000,72000,95000,85000,80000,87000
3301,r004,All occupations -> 40&#8211;49,All occupations,40&#8211;49,,,,2,95000,80000,107000,85000,70000,100000,100000,84000,112000,110000,95000,125000
3301,r005,All occupations -> 50&#8211;75,All occupations,50&#8211;75,,,,2,98000,80000,110000,85000,70000,100000,100000,83000,120000,120000,101000,130000
3301,r006,All occupations -> S&E occupations<sup>b</sup>,All occupations,S&E occupations<sup>b</sup>,,,,2,95000,80000,100000,90000,78000,95000,100000,85000,108000,101000,89000,110000
3301,r007,All occupations -> S&E occupations<sup>b</sup> -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,29 and younger,,,3,67000,57000,71000,65000,54000,68000,75000,66000,78000,75000,75000,68000
3301,r008,All occupations -> S&E occupations<sup>b</sup> -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,30&#8211;39,,,3,90000,80000,95000,89000,81000,90000,95000,80000,102000,86000,80000,92000
3301,r009,All occupations -> S&E occupations<sup>b</sup> -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,40&#8211;49,,,3,105000,92000,111000,102000,88000,107000,114000,100000,120000,105000,90000,120000
3301,r010,All occupations -> S&E occupations<sup>b</sup> -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,50&#8211;75,,,3,110000,96000,118000,105000,90000,110000,120000,100000,124000,120000,104000,130000
3301,r011,All occupations -> S&E occupations<sup>b</sup> -> Science occupations,All occupations,S&E occupations<sup>b</sup>,Science occupations,,,3,92000,80000,100000,87000,75000,93000,100000,82000,108000,100000,88000,107000
3301,r012,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,29 and younger,,4,62000,53000,66000,58000,50000,65000,72000,63000,78000,69000,75000,60000
3301,r013,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,30&#8211;39,,4,88000,79000,93000,87000,80000,89000,92000,75000,104000,82000,76000,85000
3301,r014,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,40&#8211;49,,4,103000,90000,111000,100000,85000,108000,110000,100000,119000,100000,90000,110000
3301,r015,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,50&#8211;75,,4,106000,92000,112000,100000,85000,107000,113000,97000,120000,115000,100000,122000
3301,r016,"All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist",All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",,4,66000,68000,65000,53000,55000,50000,65000,69000,63000,89000,82000,94000
3301,r017,"All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 29 and younger",All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",29 and younger,5,40000,45000,38000,36000,36000,36000,46000,49000,41000,71000,75000,50000
3301,r018,"All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 30&#8211;39",All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",30&#8211;39,5,61000,62000,60000,55000,54000,55000,60000,62000,52000,70000,68000,74000
3301,r019,"All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 40&#8211;49",All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",40&#8211;49,5,91000,95000,88000,80000,88000,69000,84000,80000,86000,102000,102000,99000
3301,r020,"All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Biological, agricultural, and other life scientist -> 50&#8211;75",All occupations,S&E occupations<sup>b</sup>,Science occupations,"Biological, agricultural, and other life scientist",50&#8211;75,5,98000,81000,101000,73000,67000,84000,82000,80000,84000,115000,99000,120000
3301,r021,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,,4,100000,90000,105000,95000,84000,100000,110000,100000,119000,141000,130000,146000
3301,r022,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,29 and younger,5,75000,68000,79000,72000,60000,75000,88000,84000,90000,107000,,105000
3301,r023,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,30&#8211;39,5,100000,90000,100000,93000,85000,95000,105000,94000,110000,158000,136000,159000
3301,r024,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,40&#8211;49,5,111000,99000,116000,105000,89000,111000,119000,110000,123000,149000,120000,160000
3301,r025,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Computer and information scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Computer and information scientist,50&#8211;75,5,110000,95000,117000,104000,89000,110000,121000,103000,130000,124000,120000,123000
3301,r026,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,,4,83000,73000,88000,73000,78000,72000,85000,67000,100000,85000,72000,100000
3301,r027,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,29 and younger,5,67000,68000,63000,55000,55000,55000,71000,75000,70000,96000,S,
3301,r028,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,30&#8211;39,5,78000,71000,83000,80000,88000,68000,73000,52000,100000,76000,72000,77000
3301,r029,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,40&#8211;49,5,92000,65000,109000,88000,S,105000,103000,86000,126000,89000,59000,135000
3301,r030,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Mathematical scientist -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Science occupations,Mathematical scientist,50&#8211;75,5,102000,94000,104000,102000,S,104000,88000,67000,99000,112000,121000,103000
3301,r031,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,,4,72000,60000,78000,58000,54000,60000,72000,71000,71000,102000,76000,110000
3301,r032,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,29 and younger,5,38000,40000,34000,41000,40000,45000,31000,S,S,52000,S,52000
3301,r033,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,30&#8211;39,5,68000,65000,70000,61000,56000,65000,77000,79000,77000,75000,72000,80000
3301,r034,All occupations -> S&E occupations<sup>b</sup> -> Science occupations -> Physical scientist -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Science occupations,Physical scientist,40&#8211;49,5,90000,79000,96000,78000,65000,79000,98000,100000,95000,108000,78000,125000
