table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposed,field_2017_18_change_,field_2018_19_change_
1323,r001,R&D and R&D plant,R&D and R&D plant,,,,1,505,485,596,-4.0,22.9
1323,r002,"R&D and R&D plant -> Research and general education aids (501, 502, 503)",R&D and R&D plant,"Research and general education aids (501, 502, 503)",,,2,505,485,511,-4.0,5.4
1323,r003,"R&D and R&D plant -> Research and general education aids (501, 502, 503) -> Department of Education programs",R&D and R&D plant,"Research and general education aids (501, 502, 503)",Department of Education programs,,3,254,243,240,-4.3,-1.2
1323,r004,"R&D and R&D plant -> Research and general education aids (501, 502, 503) -> Smithsonian Institution programs",R&D and R&D plant,"Research and general education aids (501, 502, 503)",Smithsonian Institution programs,,3,251,242,271,-3.6,12.0
1323,r005,R&D and R&D plant -> Social services (506),R&D and R&D plant,Social services (506),,,2,na,na,85,na,na
1323,r006,R&D and R&D plant -> Social services (506) -> Administration for Children and Families,R&D and R&D plant,Social services (506),Administration for Children and Families,,3,na,na,85,na,na
1323,r007,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,478,463,550,-3.1,18.8
1323,r008,"R&D and R&D plant -> R&D -> Research and general education aids (501, 502, 503)",R&D and R&D plant,R&D,"Research and general education aids (501, 502, 503)",,3,478,463,465,-3.1,0.4
1323,r009,"R&D and R&D plant -> R&D -> Research and general education aids (501, 502, 503) -> Department of Education programs",R&D and R&D plant,R&D,"Research and general education aids (501, 502, 503)",Department of Education programs,4,254,243,240,-4.3,-1.2
1323,r010,"R&D and R&D plant -> R&D -> Research and general education aids (501, 502, 503) -> Smithsonian Institution programs",R&D and R&D plant,R&D,"Research and general education aids (501, 502, 503)",Smithsonian Institution programs,4,224,220,225,-1.8,2.3
1323,r011,R&D and R&D plant -> R&D -> Social services (506),R&D and R&D plant,R&D,Social services (506),,3,na,na,85,na,na
1323,r012,R&D and R&D plant -> R&D -> Social services (506) -> Administration for Children and Families,R&D and R&D plant,R&D,Social services (506),Administration for Children and Families,4,na,na,85,na,na
