table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_u_s_totala_number_,field_united_states,field_nebraska,field_nevada,field_new_hampshire,field_new_jersey,field_new_mexico,field_new_york,field_north_carolina,field_north_dakota,field_ohio,field_oklahoma,field_oregon,field_pennsylvania,field_rhode_island,field_south_carolina,field_south_dakota,field_tennessee,field_texas,field_utah,field_vermont,field_virginia,field_washington,field_west_virginia,field_wisconsin,field_wyoming,field_undistributedb
2055,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['19,514', '  ']","['339,036', '  ']","['470', '  ']","['439', '  ']","['754', '  ']","['13,228', '  ']","['298', '  ']","['13,430', '  ']","['7,502', '  ']","['276', '  ']","['6,697', '  ']","['775', '  ']","['7,426', '  ']","['9,576', '  ']","['657', '  ']","['1,212', '  ']","['189', '  ']","['1,172', '  ']","['17,752', '  ']","['2,171', '  ']","['241', '  ']","['2,659', '  ']","['20,820', '  ']","['182', '  ']","['4,777', '  ']","['82', 'i ']","['1,561', '  ']"
2055,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['11,581', '  ']","['216,155', '  ']","['188', '  ']","['304', '  ']","['517', '  ']","['9,971', '  ']","['213', '  ']","['6,953', '  ']","['4,897', '  ']","['142', '  ']","['5,641', '  ']","['469', '  ']","['6,392', '  ']","['8,127', '  ']","['619', '  ']","['873', '  ']","['161', '  ']","['970', '  ']","['10,999', '  ']","['1,204', '  ']","['166', '  ']","['1,474', '  ']","['5,046', '  ']","['139', '  ']","['3,412', '  ']","['65', 'i ']","['898', '  ']"
2055,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['554', '  ']","['4,453', 'i ']","['60', '  ']","['1', 'e ']","['*', 'e ']","['278', '  ']","['*', 'e ']","['37', '  ']","['115', '  ']","['1', 'e ']","['156', '  ']","['14', '  ']","['11', '  ']","['70', '  ']","['2', '  ']","['1', 'e ']","['4', '  ']","['28', '  ']","['25', '  ']","['4', '  ']","['5', '  ']","['10', '  ']","['33', '  ']","['*', 'e ']","['98', '  ']","['*', 'e ']","['29', '  ']"
2055,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['70', '  ']","['968', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['245', '  ']","['46', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['1', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['5', '  ']","['135', '  ']","['*', 'e ']","['*', 'e ']","['105', '  ']","['29', '  ']","['*', 'e ']","['1', 'i ']","['*', 'e ']","['47', '  ']"
2055,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['219', '  ']","['919', '  ']","['*', 'e ']","['*', 'e ']","['13', '  ']","['30', '  ']","['*', 'e ']","['68', 'i ']","['56', 'i ']","['*', 'e ']","['78', '  ']","['*', 'e ']","['*', 'e ']","['4', '  ']","['4', '  ']","['68', '  ']","['*', 'e ']","['2', '  ']","['7', 'i ']","['3', '  ']","['1', '  ']","['1', 'e ']","['16', '  ']","['*', 'e ']","['21', '  ']","['*', 'e ']","['15', '  ']"
2055,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['75', '  ']","['170', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['*', 'e ']","['1', 'i ']","['3', '  ']","['10', '  ']","['*', 'e ']","['*', '  ']","['4', '  ']","['1', 'i ']","['3', '  ']","['7', '  ']","['*', 'e ']","['2', '  ']","['12', '  ']","['1', '  ']","['*', 'i ']","['9', '  ']","['13', '  ']","['*', 'e ']","['3', '  ']","['*', 'e ']","['7', '  ']"
2055,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['89', '  ']","['1,292', '  ']","['3', '  ']","['*', 'e ']","['1', '  ']","['14', '  ']","['*', 'e ']","['9', '  ']","['27', '  ']","['0', '  ']","['27', '  ']","['6', '  ']","['*', '  ']","['44', '  ']","['3', '  ']","['40', '  ']","['*', 'e ']","['38', '  ']","['16', '  ']","['1', '  ']","['2', '  ']","['17', '  ']","['6', '  ']","['*', 'e ']","['392', '  ']","['0', '  ']","['8', '  ']"
2055,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['156', '  ']","['218', '  ']","['*', '  ']","['*', 'e ']","['1', '  ']","['1', 'i ']","['*', 'i ']","['11', '  ']","['28', '  ']","['*', 'e ']","['14', '  ']","['*', 'e ']","['3', '  ']","['6', '  ']","['*', 'e ']","['1', 'i ']","['*', 'i ']","['9', '  ']","['1', 'e ']","['1', 'i ']","['*', 'e ']","['*', 'e ']","['4', '  ']","['*', 'e ']","['29', '  ']","['*', 'e ']","['12', '  ']"
2055,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['64', '  ']","['301', '  ']","['*', 'e ']","['1', '  ']","['*', 'e ']","['42', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['0', '  ']","['6', '  ']","['16 - 75', '  ']","['16', '  ']","['17', '  ']","['*', 'e ']","['1', '  ']","['0', '  ']","['*', 'e ']","['15', '  ']","['*', 'e ']","['0', '  ']","['*', 'e ']","['*', 'e ']","['*', 'e ']","['2', '  ']","['0', '  ']","['0 - 37', '  ']"
2055,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,730', '  ']","['63,285', '  ']","['28', '  ']","['14', 'i ']","['16', '  ']","['7,787', '  ']","['17', '  ']","['2,842', '  ']","['1,984', '  ']","['10', '  ']","['2,270', '  ']","['46', '  ']","['66', '  ']","['5,163', '  ']","['58', '  ']","['65', '  ']","['64', '  ']","['313', 'i ']","['774', '  ']","['157', '  ']","['28', '  ']","['465', '  ']","['1,230', '  ']","['111', '  ']","['373', '  ']","['7', '  ']","['142', '  ']"
