table_id,row_id,award_level_and_field_full_path,award_level_and_field_level_1,award_level_and_field_level_2,award_level_and_field_level_3,award_level_and_field_level_4,award_level_and_field_hierarchy_depth,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021
9896,r001,Total,Total,,,,1,1060270,1089726,1129110,1169458,1152339,1167606,1186855,1211368,1156424,1145489
9896,r002,Total -> Certificate,Total,Certificate,,,2,434891,449633,474693,493604,484947,496262,509462,522879,501035,490745
9896,r003,Total -> Certificate -> S&E fields,Total,Certificate,S&E fields,,3,25376,27597,32942,34288,34493,36146,39555,40232,39162,39459
9896,r004,Total -> Certificate -> S&E fields -> Agricultural sciences and natural resources,Total,Certificate,S&E fields,Agricultural sciences and natural resources,4,4956,5239,5057,5194,5917,6123,5896,6808,5960,4775
9896,r005,Total -> Certificate -> S&E fields -> Biological and biomedical sciences,Total,Certificate,S&E fields,Biological and biomedical sciences,4,107,97,176,148,217,292,266,506,276,1301
9896,r006,Total -> Certificate -> S&E fields -> Computer and information sciences,Total,Certificate,S&E fields,Computer and information sciences,4,14079,15842,20104,20385,19776,20926,23861,24147,24465,25483
9896,r007,Total -> Certificate -> S&E fields -> Engineering,Total,Certificate,S&E fields,Engineering,4,359,421,485,540,557,547,470,684,534,418
9896,r008,"Total -> Certificate -> S&E fields -> Geosciences, atmospheric sciences, and ocean sciences",Total,Certificate,S&E fields,"Geosciences, atmospheric sciences, and ocean sciences",4,9,18,16,21,19,6,9,3,4,5
9896,r009,Total -> Certificate -> S&E fields -> Mathematics and statistics,Total,Certificate,S&E fields,Mathematics and statistics,4,25,25,124,102,129,148,177,91,202,46
9896,r010,Total -> Certificate -> S&E fields -> Multidisciplinary and interdisciplinary sciences,Total,Certificate,S&E fields,Multidisciplinary and interdisciplinary sciences,4,750,851,1062,1315,1249,1242,1403,1418,1452,1115
9896,r011,Total -> Certificate -> S&E fields -> Physical sciences,Total,Certificate,S&E fields,Physical sciences,4,38,30,161,118,146,171,183,122,296,97
9896,r012,Total -> Certificate -> S&E fields -> Psychology,Total,Certificate,S&E fields,Psychology,4,1261,1301,1389,1585,1446,1610,1852,1403,1407,1708
9896,r013,Total -> Certificate -> S&E fields -> Social sciences,Total,Certificate,S&E fields,Social sciences,4,3792,3773,4368,4880,5037,5081,5438,5050,4566,4511
9896,r014,Total -> Certificate -> S&E-related fields,Total,Certificate,S&E-related fields,,3,259846,262326,272400,275872,268405,266048,269281,266660,239266,229669
9896,r015,Total -> Certificate -> S&E-related fields -> Health professions and related programs ,Total,Certificate,S&E-related fields,Health professions and related programs ,4,138820,140403,138811,136212,129069,125660,125857,122904,110657,111462
9896,r016,Total -> Certificate -> S&E-related fields -> Homeland security and fire protection,Total,Certificate,S&E-related fields,Homeland security and fire protection,4,6713,6328,6109,6948,5948,5753,5846,5257,4930,5227
9896,r017,Total -> Certificate -> S&E-related fields -> Science and mathematics teacher education,Total,Certificate,S&E-related fields,Science and mathematics teacher education,4,0,0,0,0,0,0,0,0,0,0
9896,r018,Total -> Certificate -> S&E-related fields -> Technology and technical fields,Total,Certificate,S&E-related fields,Technology and technical fields,4,20022,20892,22861,24379,25614,25293,26960,27307,22771,21887
9896,r019,Total -> Certificate -> S&E-related fields -> Other S&E-related fields,Total,Certificate,S&E-related fields,Other S&E-related fields,4,94291,94703,104619,108333,107774,109342,110618,111192,100908,91093
9896,r020,Total -> Certificate -> Non-S&E fields,Total,Certificate,Non-S&E fields,,3,149669,159710,169351,183444,182049,194068,200626,215987,222607,221617
9896,r021,Total -> Associate's degree,Total,Associate's degree,,,2,625379,640093,654417,675854,667392,671344,677393,688489,655389,654744
9896,r022,Total -> Associate's degree -> S&E fields,Total,Associate's degree,S&E fields,,3,74951,81745,87768,95015,97155,100876,106582,112618,113823,118150
9896,r023,Total -> Associate's degree -> S&E fields -> Agricultural sciences and natural resources,Total,Associate's degree,S&E fields,Agricultural sciences and natural resources,4,7026,6922,7110,7697,7594,7852,7699,7695,7375,6669
9896,r024,Total -> Associate's degree -> S&E fields -> Biological and biomedical sciences,Total,Associate's degree,S&E fields,Biological and biomedical sciences,4,3393,3753,4001,4351,4263,4529,5070,5636,5686,6979
9896,r025,Total -> Associate's degree -> S&E fields -> Computer and information sciences,Total,Associate's degree,S&E fields,Computer and information sciences,4,16786,17137,17425,17971,18167,19064,19874,20287,20174,21667
9896,r026,Total -> Associate's degree -> S&E fields -> Engineering,Total,Associate's degree,S&E fields,Engineering,4,3115,3430,3930,4424,4716,5304,5595,5396,5316,5123
9896,r027,"Total -> Associate's degree -> S&E fields -> Geosciences, atmospheric sciences, and ocean sciences",Total,Associate's degree,S&E fields,"Geosciences, atmospheric sciences, and ocean sciences",4,123,127,148,169,174,161,139,161,144,142
9896,r028,Total -> Associate's degree -> S&E fields -> Mathematics and statistics,Total,Associate's degree,S&E fields,Mathematics and statistics,4,1452,1754,2085,2630,2700,3032,3565,3967,4078,4019
9896,r029,Total -> Associate's degree -> S&E fields -> Multidisciplinary and interdisciplinary sciences,Total,Associate's degree,S&E fields,Multidisciplinary and interdisciplinary sciences,4,16105,18072,20234,22133,22481,22501,23057,24609,23404,23277
9896,r030,Total -> Associate's degree -> S&E fields -> Physical sciences,Total,Associate's degree,S&E fields,Physical sciences,4,3065,3304,3560,3940,4078,4119,4804,5072,4894,4606
9896,r031,Total -> Associate's degree -> S&E fields -> Psychology,Total,Associate's degree,S&E fields,Psychology,4,5175,6616,7631,8727,9581,9933,11044,12467,13833,16028
9896,r032,Total -> Associate's degree -> S&E fields -> Social sciences,Total,Associate's degree,S&E fields,Social sciences,4,18711,20630,21644,22973,23401,24381,25735,27328,28919,29640
9896,r033,Total -> Associate's degree -> S&E-related fields,Total,Associate's degree,S&E-related fields,,3,152961,152063,150750,149926,145619,145242,143204,143261,135593,138088
9896,r034,Total -> Associate's degree -> S&E-related fields -> Health professions and related programs,Total,Associate's degree,S&E-related fields,Health professions and related programs,4,107469,108068,106693,105623,100655,99545,98464,99198,95193,98728
9896,r035,Total -> Associate's degree -> S&E-related fields -> Homeland security and fire protection,Total,Associate's degree,S&E-related fields,Homeland security and fire protection,4,3888,3986,3810,3593,3221,3049,3054,2969,2650,2814
9896,r036,Total -> Associate's degree -> S&E-related fields -> Science and mathematics teacher education,Total,Associate's degree,S&E-related fields,Science and mathematics teacher education,4,75,59,72,59,56,67,40,43,38,42
9896,r037,Total -> Associate's degree -> S&E-related fields -> Technology and technical fields,Total,Associate's degree,S&E-related fields,Technology and technical fields,4,21348,19814,19620,19700,19556,19503,19002,18130,16388,15661
9896,r038,Total -> Associate's degree -> S&E-related fields -> Other S&E-related fields,Total,Associate's degree,S&E-related fields,Other S&E-related fields,4,20181,20136,20555,20951,22131,23078,22644,22921,21324,20843
9896,r039,Total -> Associate's degree -> Non-S&E fields,Total,Associate's degree,Non-S&E fields,,3,397467,406285,415899,430913,424618,425226,427607,432610,405973,398506
