table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2019_actual,field_2020_preliminarya,field_2021_proposed,field_2019_20_change_,field_2020_21_change_
3361,r001,R&D and R&D plant,R&D and R&D plant,,,1,149971,164453,150874,9.7,-8.3
3361,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,72027,80923,76480,12.4,-5.5
3361,r003,R&D and R&D plant -> Health<sup>b</sup>,R&D and R&D plant,Health<sup>b</sup>,,2,38998,40726,37802,4.4,-7.2
3361,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,13165,13675,12087,3.9,-11.6
3361,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,10133,13482,12704,33.1,-5.8
3361,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,4473,4619,2488,3.2,-46.1
3361,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,2845,2751,1991,-3.3,-27.6
3361,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,2719,2631,2514,-3.2,-4.5
3361,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1621,1695,1253,4.5,-26.0
3361,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,1370,1313,1351,-4.2,2.9
3361,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,920,1003,854,9.0,-14.8
3361,r012,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,590,522,443,-11.5,-15.2
3361,r013,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,587,589,558,0.3,-5.3
3361,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,235,226,73,-3.8,-67.7
3361,r015,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,165,175,169,6.1,-3.4
3361,r016,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,102,102,87,0.0,-14.7
3361,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,20,20,20,0.0,0.0
3361,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,145615,158470,147057,8.8,-7.2
3361,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,71396,78439,75556,9.9,-3.7
3361,r020,R&D and R&D plant -> R&D -> Health<sup>b</sup>,R&D and R&D plant,R&D,Health<sup>b</sup>,3,38755,40461,37452,4.4,-7.4
3361,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,10961,11454,10539,4.5,-8.0
3361,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,10016,13428,12656,34.1,-5.7
3361,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,4433,4477,2123,1.0,-52.6
3361,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,2486,2517,1780,1.3,-29.3
3361,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,2205,2292,2330,3.9,1.7
3361,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1582,1656,1224,4.7,-26.1
3361,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,1370,1313,1351,-4.2,2.9
3361,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,783,853,762,9.0,-10.7
3361,r029,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,590,522,424,-11.5,-18.9
3361,r030,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,517,535,511,3.5,-4.5
3361,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,235,226,73,-3.8,-67.7
3361,r032,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,165,175,169,6.1,-3.4
3361,r033,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,102,102,87,0.0,-14.7
3361,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,20,20,20,0.0,0.0
3361,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,4356,5983,3817,37.3,-36.2
3361,r036,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,630,2484,924,294.1,-62.8
3361,r037,R&D and R&D plant -> R&D plant -> Health<sup>b</sup>,R&D and R&D plant,R&D plant,Health<sup>b</sup>,3,243,265,350,8.9,32.1
3361,r038,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,2205,2221,1549,0.8,-30.3
3361,r039,"R&D and R&D plant -> R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,R&D plant,"Space flight, research, and supporting activities",3,117,54,48,-53.8,-11.1
3361,r040,R&D and R&D plant -> R&D plant -> Energy,R&D and R&D plant,R&D plant,Energy,3,41,142,364,249.6,156.2
3361,r041,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,359,235,211,-34.6,-10.1
3361,r042,R&D and R&D plant -> R&D plant -> Agriculture,R&D and R&D plant,R&D plant,Agriculture,3,514,340,184,-33.9,-45.8
3361,r043,R&D and R&D plant -> R&D plant -> Transportation,R&D and R&D plant,R&D plant,Transportation,3,40,39,29,-2.5,-24.8
3361,r044,R&D and R&D plant -> R&D plant -> Veterans benefits and services,R&D and R&D plant,R&D plant,Veterans benefits and services,3,0,0,0,--,--
3361,r045,R&D and R&D plant -> R&D plant -> Commerce and housing credit,R&D and R&D plant,R&D plant,Commerce and housing credit,3,138,150,92,8.7,-38.6
3361,r046,R&D and R&D plant -> R&D plant -> Administration of justice,R&D and R&D plant,R&D plant,Administration of justice,3,0,0,19,--,--
3361,r047,"R&D and R&D plant -> R&D plant -> Education, training, employment, and social services",R&D and R&D plant,R&D plant,"Education, training, employment, and social services",3,70,54,47,-22.9,-13.0
3361,r048,R&D and R&D plant -> R&D plant -> International affairs,R&D and R&D plant,R&D plant,International affairs,3,0,0,0,--,--
3361,r049,R&D and R&D plant -> R&D plant -> Community and regional development,R&D and R&D plant,R&D plant,Community and regional development,3,0,0,0,--,--
3361,r050,R&D and R&D plant -> R&D plant -> Income security,R&D and R&D plant,R&D plant,Income security,3,0,0,0,--,--
3361,r051,R&D and R&D plant -> R&D plant -> Medicare,R&D and R&D plant,R&D plant,Medicare,3,0,0,0,--,--
