table_id,row_id,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_full_path,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_1,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_level_2,type_of_nonprofit_organization_sup_b_a_b_sup_b_b_hierarchy_depth,field_all_funds_for_r_d_,field_r_d_grants_or_contracts,field_subcontracts_and_subawards_
8051,r001,All organizations ,All organizations ,,1,"['8,225,479', '  ']","['5,878,959', '  ']","['2,346,519', '  ']"
8051,r002,All organizations  -> Healthcare,All organizations ,Healthcare,2,"['908,100', '  ']","['203,850', '  ']","['704,250', '  ']"
8051,r003,All organizations  -> Science and technology,All organizations ,Science and technology,2,"['1,606,213', '  ']","['586,426', '  ']","['1,019,787', '  ']"
8051,r004,All organizations  -> Other nonprofit organizations,All organizations ,Other nonprofit organizations,2,"['5,711,166', '  ']","['5,088,683', '  ']","['622,482', '  ']"
