table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materialsandsupplies,field_lease_andrental_payments,field_depreciation,field_royalties_and_licensing_fees,field_other_purchased_services_except_r_d_,field_other
1403,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['56,954', '  ']","['34,074', '  ']","['576', '  ']","['1,868', '  ']","['424', '  ']","['5,101', '  ']","['993', '  ']","['1,154', '  ']","['56', '  ']","['2,912', '  ']","['9,797', ' ']"
1403,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['38,893', '  ']","['23,258', '  ']","['372', '  ']","['1,300', '  ']","['291', '  ']","['4,019', '  ']","['621', '  ']","['801', '  ']","['43', 'i ']","['1,391', '  ']","['6,796', ' ']"
1403,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['217', '  ']","['133', '  ']","['0', '  ']","['8', '  ']","['*', '  ']","['15', '  ']","['10', '  ']","['7', '  ']","['0', '  ']","['10', '  ']","['35', ' ']"
1403,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['D', '  ']","['D', '  ']","['0', '  ']","['3', '  ']","['4', '  ']","['7', '  ']","['4', '  ']","['10', '  ']","['0', '  ']","['12', '  ']","['D', ' ']"
1403,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['9', '  ']","['5', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', ' ']"
1403,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['7', 'i ']","['4', 'i ']","['D', '&nbsp;']","['*', 'i ']","['*', 'i ']","['1', '  ']","['D', '&nbsp;']","['*', 'i ']","['*', 'i ']","['*', 'i ']","['D', ' ']"
1403,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['*', '  ']","['D', '  ']","['*', 'i ']","['D', '&nbsp;']","['0', '  ']","['*', '  ']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '  ']","['D', '&nbsp;']","['D', '&nbsp;']"
1403,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', 'i ']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', 'i ']","['D', '  ']","['*', 'i ']","['D', '&nbsp;']","['0', '  ']","['*', 'i ']","['D', '&nbsp;']"
1403,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '  ']","['9', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['D', ' ']"
1403,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,410', '  ']","['4,579', '  ']","['348', '  ']","['485', '  ']","['57', '  ']","['516', '  ']","['251', '  ']","['365', '  ']","['22', '  ']","['477', '  ']","['2,310', 'i']"
