table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
6656,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['492,956', '&nbsp;']","['5,501', '&nbsp;']","['12,418', '&nbsp;']","['14,021', '&nbsp;']",19793,,"['18,883', '&nbsp;']","['23,969', '&nbsp;']","['75,671', '&nbsp;']","['50,811', '&nbsp;']","['88,263', '&nbsp;']","['183,626', '&nbsp;']"
6656,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['285,674', '&nbsp;']","['2,301', '&nbsp;']","['5,455', '&nbsp;']","['7,925', '&nbsp;']",11137,,"['10,478', '&nbsp;']","['14,808', '&nbsp;']","['45,577', '&nbsp;']","['35,737', '&nbsp;']","['59,274', '&nbsp;']","['92,981', '&nbsp;']"
6656,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,180', '&nbsp;']","['25', '&nbsp;']","['29', '&nbsp;']","['98', '&nbsp;']",243,,"['196', '&nbsp;']","['208', '&nbsp;']","['592', '&nbsp;']","['237', '&nbsp;']","['1,696', 'i']","['856', 'i']"
6656,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,082', '&nbsp;']","['15', '&nbsp;']","['18', '&nbsp;']","['16', '&nbsp;']",10,,"['116', 'i']","['26', '&nbsp;']","['21', '&nbsp;']","['213', '&nbsp;']","['101', '&nbsp;']","['546', '&nbsp;']"
6656,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['904', '&nbsp;']","['22', '&nbsp;']","['68', '&nbsp;']","['9', '&nbsp;']",40,,"['26', '&nbsp;']","['14', '&nbsp;']","['190', '&nbsp;']","['282', '&nbsp;']","['86', '&nbsp;']","['166', '&nbsp;']"
6656,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['186', '&nbsp;']","['0', '&nbsp;']","['4', '&nbsp;']","['5', '&nbsp;']",22,,"['5', '&nbsp;']","['13', '&nbsp;']","['45', '&nbsp;']","['85', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']"
6656,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,064', '&nbsp;']","['2', '&nbsp;']","['12', '&nbsp;']","['6', '&nbsp;']",29,,"['24', '&nbsp;']","['10', '&nbsp;']","['76', '&nbsp;']","['119', '&nbsp;']","['341', '&nbsp;']","['446', '&nbsp;']"
6656,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['420', 'i']","['123', '&nbsp;']","['4', '&nbsp;']","['18', '&nbsp;']",22,,"['52', 'i']","['11', '&nbsp;']","['29', 'i']","['72', 'i']","['89', 'i']","['0', '&nbsp;']"
6656,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,306', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['0 - 140', '&nbsp;']",34,,"['39', '&nbsp;']","['129', '&nbsp;']","['44', '&nbsp;']","['0 - 279', '&nbsp;']","['0 - 193', '&nbsp;']","['457 - 1,050', '&nbsp;']"
6656,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['97,063', '&nbsp;']","['947', '&nbsp;']","['2,251', '&nbsp;']","['4,577', '&nbsp;']",4938,,"['4,282', '&nbsp;']","['5,450', '&nbsp;']","['14,084', '&nbsp;']","['13,522', '&nbsp;']","['30,612', '&nbsp;']","['16,401', '&nbsp;']"
