table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_number_employed_thousands_total,field_number_employed_thousands_without_disability,field_number_employed_thousands_with_disability,field_median_weekly_earnings_full_time_employed_total,field_median_weekly_earnings_full_time_employed_without_disability,field_median_weekly_earnings_full_time_employed_with_disability,field_unemployment_rate_total,field_unemployment_rate_without_disability,field_unemployment_rate_with_disability
3333,r001,All U.S. employment,All U.S. employment,,,,1,157538,151669,5869,920,923,800,3.67,3.52,7.34
3333,r002,All U.S. employment -> STEM occupations,All U.S. employment,STEM occupations,,,2,10756,10509,246,1557,1560,1417,1.95,1.87,5.49
3333,r003,All U.S. employment -> STEM occupations -> S&E occupations,All U.S. employment,STEM occupations,S&E occupations,,3,8442,8266,176,1596,1596,1384,1.97,1.85,6.95
3333,r004,All U.S. employment -> STEM occupations -> S&E occupations -> Computer and mathematical scientists,All U.S. employment,STEM occupations,S&E occupations,Computer and mathematical scientists,4,4843,4734,109,1560,1575,1365,2.19,2.03,8.9
3333,r005,All U.S. employment -> STEM occupations -> S&E occupations -> Life scientists,All U.S. employment,STEM occupations,S&E occupations,Life scientists,4,327,320,7,1158,1160,1050,2.11,2.09,2.71
3333,r006,All U.S. employment -> STEM occupations -> S&E occupations -> Physical scientists,All U.S. employment,STEM occupations,S&E occupations,Physical scientists,4,559,546,12,1583,1597,987,1.13,0.9,10.41
3333,r007,All U.S. employment -> STEM occupations -> S&E occupations -> Social scientists,All U.S. employment,STEM occupations,S&E occupations,Social scientists,4,328,317,11,1442,1442,1273,1.94,2.01,NA
3333,r008,All U.S. employment -> STEM occupations -> S&E occupations -> Engineers,All U.S. employment,STEM occupations,S&E occupations,Engineers,4,2385,2348,37,1666,1667,1514,1.68,1.67,2.49
3333,r009,All U.S. employment -> STEM occupations -> Technology occupations,All U.S. employment,STEM occupations,Technology occupations,,3,2314,2243,70,1477,1470,1517,1.9,1.91,1.6
3333,r010,All U.S. employment -> S&E-related occupations,All U.S. employment,S&E-related occupations,,,2,10621,10348,273,1200,1200,1000,1.54,1.41,6.08
3333,r011,All U.S. employment -> S&E-related occupations -> Health-related occupations,All U.S. employment,S&E-related occupations,Health-related occupations,,3,10380,10110,270,1200,1200,1000,1.53,1.4,6.15
3333,r012,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Dentists,All U.S. employment,S&E-related occupations,Health-related occupations,Dentists,4,162,160,2,2307,2261,2885,0.74,0.74,NA
3333,r013,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Physicians and surgeons,All U.S. employment,S&E-related occupations,Health-related occupations,Physicians and surgeons,4,1088,1073,15,2307,2307,1964,0.53,0.41,8.45
3333,r014,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Registered nurses,All U.S. employment,S&E-related occupations,Health-related occupations,Registered nurses,4,3240,3160,79,1218,1217,1209,1.25,1.12,6.22
3333,r015,All U.S. employment -> S&E-related occupations -> Health-related occupations -> Other health-related occupations,All U.S. employment,S&E-related occupations,Health-related occupations,Other health-related occupations,4,5890,5717,173,1080,1098,872,1.89,1.76,5.97
3333,r016,All U.S. employment -> S&E-related occupations -> Other S&E-related occupations,All U.S. employment,S&E-related occupations,Other S&E-related occupations,,3,241,238,3,1692,1688,1874,1.68,1.7,NA
3333,r017,All U.S. employment -> Non-STEM and non-S&E-related occupations,All U.S. employment,Non-STEM and non-S&E-related occupations,,,2,136161,130811,5350,846,850,760,3.56,3.42,6.94
3333,r018,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Chief executives,All U.S. employment,Non-STEM and non-S&E-related occupations,Chief executives,,3,1597,1539,58,2365,2403,1441,1.16,0.98,5.66
3333,r019,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Education administrators,All U.S. employment,Non-STEM and non-S&E-related occupations,Education administrators,,3,937,917,20,1346,1346,858,0.96,0.98,0.45
3333,r020,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Financial analysts,All U.S. employment,Non-STEM and non-S&E-related occupations,Financial analysts,,3,332,327,6,1603,1615,1462,1.95,1.98,NA
3333,r021,All U.S. employment -> Non-STEM and non-S&E-related occupations -> General and operations manager,All U.S. employment,Non-STEM and non-S&E-related occupations,General and operations manager,,3,1065,1029,36,1384,1385,1174,1.69,1.67,2.36
3333,r022,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Lawyers,All U.S. employment,Non-STEM and non-S&E-related occupations,Lawyers,,3,1296,1250,46,2019,2000,2727,0.8,0.83,NA
3333,r023,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Management analysts,All U.S. employment,Non-STEM and non-S&E-related occupations,Management analysts,,3,969,933,36,1615,1624,860,3.12,2.65,13.97
3333,r024,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Technical writers,All U.S. employment,Non-STEM and non-S&E-related occupations,Technical writers,,3,64,64,0.05,1424,1424,NA,2.16,1.79,NA
3333,r025,All U.S. employment -> Non-STEM and non-S&E-related occupations -> Other non-STEM occupations,All U.S. employment,Non-STEM and non-S&E-related occupations,Other non-STEM occupations,,3,129900,124752,5148,808,808,750,3.66,3.51,7.02
