table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
8842,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['2,847', '&nbsp;']","['2,050', '&nbsp;']","['797', '&nbsp;']","['1,936', '&nbsp;']","['1,419', '&nbsp;']","['517', '&nbsp;']","['910', '&nbsp;']","['631', '&nbsp;']","['280', '&nbsp;']"
8842,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,457', '']","['1,083', '']","['373', '']","['985', '']","['736', '']","['249', '']","['472', '']","['347', '']","['125', '']"
8842,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['44', '']","['25', '']","['19', '']","['28', '']","['17', '']","['11', '']","['17', '']","['9', '']","['8', '']"
8842,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['7', '']","['4', '']","['3', '']","['5', '']","['3', '']","['2', '']","['3', '']","['1', '']","['1', '']"
8842,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['8', '']","['5', '']","['3', '']","['6', '']","['4', '']","['2', '']","['1', '']","['1', '']","['1', '']"
8842,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '']","['3', '']","['1', '']","['3', '']","['3', '']","['1', '']","['*', '']","['*', '']","['*', '']"
8842,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['8', '']","['6', '']","['2', '']","['6', '']","['4', '']","['1', '']","['2', '']","['1', '']","['1', '']"
8842,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['5', '']","['3', '']","['1', '']","['4', '']","['3', '']","['1', '']","['*', '']","['*', '']","['*', '']"
8842,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['8', '']","['6', '']","['2', '']","['6', '']","['5', '']","['2', '']","['2', '']","['2', '']","['1', '']"
8842,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['266', '']","['139', '']","['127', '']","['193', '']","['102', '']","['91', '']","['73', '']","['37', '']","['36', '']"
8842,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['19', '']","['13', '']","['6', '']","['12', '']","['9', '']","['3', '']","['7', '']","['4', '']","['3', '']"
8842,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['10', '']","['7', '']","['2', '']","['6', '']","['5', '']","['2', '']","['4', '']","['3', '']","['1', '']"
8842,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['5', '']","['4', '']","['2', '']","['5', '']","['3', '']","['2', '']","['1', '']","['*', 'i']","['*', '']"
8842,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['193', '']","['93', '']","['100', '']","['146', '']","['71', '']","['75', '']","['47', '']","['22', '']","['25', '']"
8842,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['17', '']","['8', '']","['9', '']","['11', '']","['6', '']","['5', '']","['6', '']","['3', '']","['3', '']"
8842,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['21', '']","['14', '']","['7', '']","['12', '']","['8', '']","['4', '']","['9', '']","['6', '']","['3', '']"
8842,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['32', '']","['26', '']","['6', 'i']","['27', '']","['22', '']","['5', '']","['5', 'i']","['4', 'i']","['1', 'i']"
8842,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7', '']","['6', '']","['1', '']","['6', '']","['5', '']","['1', '']","['1', 'i']","['1', 'i']","['*', 'i']"
8842,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['8', '']","['7', '']","['1', '']","['8', '']","['7', '']","['1', '']","['*', '']","['*', '']","['*', '']"
8842,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['42', '']","['38', '']","['4', '']","['40', '']","['36', '']","['4', '']","['2', '']","['2', '']","['*', '']"
8842,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['153', '']","['131', '']","['22', '']","['101', '']","['87', '']","['14', '']","['52', '']","['44', '']","['8', '']"
8842,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['18', 'i']","['15', 'i']","['2', 'i']","['11', '']","['10', '']","['1', '']","['7', 'i']","['6', 'i']","['1', 'i']"
8842,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['22', '']","['18', '']","['3', '']","['13', '']","['11', '']","['2', '']","['9', '']","['8', '']","['1', '']"
8842,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['12', '']","['10', '']","['2', '']","['7', '']","['6', '']","['1', '']","['4', '']","['4', '']","['1', '']"
8842,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['102', '']","['87', '']","['15', '']","['70', '']","['60', '']","['10', '']","['32', '']","['27', '']","['5', '']"
8842,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['459', '']","['369', '']","['89', '']","['264', '']","['214', '']","['50', '']","['195', '']","['156', '']","['39', '']"
8842,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['75', '']","['62', '']","['13', '']","['41', '']","['34', '']","['7', '']","['34', '']","['28', '']","['6', '']"
8842,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['177', '']","['143', '']","['34', '']","['91', '']","['74', '']","['17', '']","['86', '']","['69', '']","['17', '']"
8842,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['96', '']","['76', '']","['20', '']","['67', '']","['54', '']","['13', '']","['29', '']","['22', '']","['7', '']"
