table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dhs,field_doda,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_ssa,field_usda
10410,r001,All HBCUs,All HBCUs,,1,-,356419,525,38163,12813,178,1581,4000,1583,103785,3884,89116,73,100719
10410,r002,All HBCUs -> Howard U.<sup>b</sup>,All HBCUs,Howard U.<sup>b</sup>,2,1,29811,0,11545,605,29,0,60,0,11127,122,6271,51,0
10410,r003,All HBCUs -> North Carolina Agricultural and Technical State U.,All HBCUs,North Carolina Agricultural and Technical State U.,2,2,25785,0,1031,592,0,1401,0,1583,2244,0,10528,0,8407
10410,r004,All HBCUs -> Delaware State U.,All HBCUs,Delaware State U.,2,3,22594,0,3675,9673,0,0,0,0,3963,0,2940,10,2333
10410,r005,All HBCUs -> Morgan State U.,All HBCUs,Morgan State U.,2,4,20659,0,8431,0,24,0,0,0,6366,0,5827,0,11
10410,r006,All HBCUs -> Morehouse School of Medicine,All HBCUs,Morehouse School of Medicine,2,5,20010,0,0,0,0,0,0,0,18918,0,1092,0,0
10410,r007,All HBCUs -> Florida A&M U.,All HBCUs,Florida A&M U.,2,6,16593,0,207,0,0,0,0,0,5033,0,5090,12,6250
10410,r008,All HBCUs -> North Carolina Central U.,All HBCUs,North Carolina Central U.,2,7,14002,0,600,268,0,0,0,0,10987,0,1964,0,182
10410,r009,All HBCUs -> Prairie View A&M U.,All HBCUs,Prairie View A&M U.,2,8,13611,0,909,87,0,0,0,0,0,245,4070,0,8300
10410,r010,All HBCUs -> Tennessee State U.,All HBCUs,Tennessee State U.,2,9,12893,525,186,0,0,0,0,0,2505,0,1610,0,8067
10410,r011,All HBCUs -> Tuskegee U.,All HBCUs,Tuskegee U.,2,10,11528,0,2357,0,0,180,0,0,3673,0,2613,0,2704
10410,r012,All HBCUs -> Xavier U. Louisiana,All HBCUs,Xavier U. Louisiana,2,11,11447,0,203,0,0,0,0,0,8737,0,2507,0,0
10410,r013,All HBCUs -> Alabama A&M U.,All HBCUs,Alabama A&M U.,2,12,11430,0,807,0,0,0,0,0,0,0,1363,0,9260
10410,r014,All HBCUs -> Meharry Medical C.,All HBCUs,Meharry Medical C.,2,13,11094,0,0,0,0,0,0,0,11094,0,0,0,0
10410,r015,All HBCUs -> U. Virgin Islands,All HBCUs,U. Virgin Islands,2,14,10541,0,151,0,125,0,0,0,434,0,7827,0,2004
