table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12591,r001,R&D and R&D plant,R&D and R&D plant,,,1,198941,203919,200383,2.5,-1.7
12591,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,102310,106163,98876,3.8,-6.9
12591,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,49067,48703,51144,-0.7,5.0
12591,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,15701,15419,16343,-1.8,6.0
12591,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,10920,11033,10921,1.0,-1.0
12591,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,6460,8675,8740,34.3,0.7
12591,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,3729,3653,3654,-2.0,0.0
12591,r008,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,3336,2640,2759,-20.9,4.5
12591,r009,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,2972,2967,2872,-0.2,-3.2
12591,r010,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1689,1686,1964,-0.2,16.5
12591,r011,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,1366,1411,1498,3.3,6.2
12591,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,581,767,771,32.0,0.5
12591,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,500,545,584,9.0,7.2
12591,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,178,162,162,-9.0,0.0
12591,r015,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,106,90,90,-15.1,0.0
12591,r016,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,20,0,0,-100.0,-
12591,r017,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,5,5,5,0.0,0.0
12591,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,193078,197625,193570,2.4,-2.1
12591,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,101060,105535,97852,4.4,-7.3
12591,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,47576,47161,49568,-0.9,5.1
12591,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,13715,13325,14208,-2.8,6.6
12591,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,10841,11000,10869,1.5,-1.2
12591,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,6342,7581,7657,19.5,1.0
12591,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,3362,3315,3344,-1.4,0.9
12591,r025,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,3175,2479,2414,-21.9,-2.6
12591,r026,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,2654,2645,2667,-0.3,0.8
12591,r027,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1651,1654,1926,0.2,16.4
12591,r028,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,1366,1411,1498,3.3,6.2
12591,r029,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,527,733,735,39.1,0.3
12591,r030,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,500,529,575,5.8,8.7
12591,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,178,162,162,-9.0,0.0
12591,r032,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,106,90,90,-15.1,0.0
12591,r033,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,20,0,0,-100.0,-
