table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_paid_for_by_others_and_performed_by_the_company,field_depreciation,field_capital_expenditures_related_to_r_da,field_adjusted_domestic_r_d_paid_for_by_the_company_and_others,field_change_amount,field_change_percent
8786,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['59,144', '&nbsp;']","['1,084', '&nbsp;']","['0', '&nbsp;']","['58,060', '&nbsp;']","['-1,084', '&nbsp;']","['-1.8', '&nbsp;']"
8786,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['40,340', '&nbsp;']","['811', '&nbsp;']","['0', '&nbsp;']","['39,529', '&nbsp;']","['-811', '&nbsp;']","['-2.0', '&nbsp;']"
8786,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['194', '&nbsp;']","['6', '&nbsp;']","['0', '&nbsp;']","['188', '&nbsp;']","['-6', '&nbsp;']","['-2.9', '&nbsp;']"
8786,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['117', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['108', '&nbsp;']","['-9', '&nbsp;']","['-7.5', '&nbsp;']"
8786,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['32', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['32', '&nbsp;']","['*', '&nbsp;']","['-0.3', '&nbsp;']"
8786,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['8', 'i']","['*', 'i']","['0', '&nbsp;']","['7', 'i']","['*', 'i']","['-2.5', '&nbsp;']"
8786,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['3', 'i']","['*', 'i']","['0', '&nbsp;']","['3', 'i']","['*', 'i']","['-3.0', '&nbsp;']"
8786,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['7', 'i']","['*', 'i']","['0', '&nbsp;']","['7', 'i']","['*', 'i']","['-3.9', '&nbsp;']"
8786,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['13', '&nbsp;']","['-1', '&nbsp;']","['-9.3', '&nbsp;']"
8786,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,427', '&nbsp;']","['376', '&nbsp;']","['0', '&nbsp;']","['9,051', '&nbsp;']","['-376', '&nbsp;']","['-4.0', '&nbsp;']"
