table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_researchersa,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
9706,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['295', 'i ']","['174', 'i ']","['86', 'i ']","['35', 'i ']"
9706,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['113', 'i ']","['75', 'i ']","['22', 'i ']","['16', 'i ']"
9706,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['2', 'i ']","['1', 'i ']","['1', 'i ']","['1', '  ']"
9706,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['*', '  ']","['*', '  ']","['*', '  ']","['*', '  ']"
9706,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['*', 'i ']","['*', 'i ']","['*', '  ']","['*', 'i ']"
9706,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['*', 'r ']","['*', 'r ']","['*', 'r ']","['0', '  ']"
9706,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
9706,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['*', 'i ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
9706,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['*', '  ']","['*', 'i ']","['*', 'i ']","['*', 'i ']"
9706,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['49', 'i ']","['35', 'i ']","['6', 'i ']","['8', 'i ']"
