table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_aid,field_arc,field_cpsc,field_dhs,field_doc,field_doda_total,field_doda_research,field_doda_development_advanced_technology,field_doda_development_major_systems,field_doe,field_doi
10399,r001,All states and outlying areas,All states and outlying areas,,,1,39504025,15050,113,150,36423,397540,4620065,2591994,1105568,922504,1588640,70800
10399,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,498006,0,0,0,1050,3563,36067,6680,21833,7553,11741,952
10399,r003,All states and outlying areas -> Alabama -> Alabama A&M U.,All states and outlying areas,Alabama,Alabama A&M U.,3,11430,0,0,0,0,0,807,807,0,0,0,0
10399,r004,All states and outlying areas -> Alabama -> Alabama State U.,All states and outlying areas,Alabama,Alabama State U.,3,2456,0,0,0,0,0,420,420,0,0,0,0
10399,r005,All states and outlying areas -> Alabama -> Athens State U.,All states and outlying areas,Alabama,Athens State U.,3,162,0,0,0,0,0,0,0,0,0,0,0
10399,r006,"All states and outlying areas -> Alabama -> Auburn U., Auburn",All states and outlying areas,Alabama,"Auburn U., Auburn",3,56204,0,0,0,0,885,1348,816,532,0,4871,260
10399,r007,All states and outlying areas -> Alabama -> Jacksonville State U.,All states and outlying areas,Alabama,Jacksonville State U.,3,1050,0,0,0,1050,0,0,0,0,0,0,0
10399,r008,"All states and outlying areas -> Alabama -> Lawson State Community C., Birmingham",All states and outlying areas,Alabama,"Lawson State Community C., Birmingham",3,79,0,0,0,0,0,0,0,0,0,0,0
10399,r009,All states and outlying areas -> Alabama -> Marine Environmental Sciences Consortium,All states and outlying areas,Alabama,Marine Environmental Sciences Consortium,3,1341,0,0,0,0,0,0,0,0,0,0,0
10399,r010,All states and outlying areas -> Alabama -> Oakwood U.,All states and outlying areas,Alabama,Oakwood U.,3,123,0,0,0,0,0,0,0,0,0,0,0
10399,r011,All states and outlying areas -> Alabama -> Samford U.,All states and outlying areas,Alabama,Samford U.,3,250,0,0,0,0,0,0,0,0,0,0,0
10399,r012,All states and outlying areas -> Alabama -> Stillman C.,All states and outlying areas,Alabama,Stillman C.,3,395,0,0,0,0,0,0,0,0,0,0,0
10399,r013,All states and outlying areas -> Alabama -> Troy U.,All states and outlying areas,Alabama,Troy U.,3,1337,0,0,0,0,1337,0,0,0,0,0,0
10399,r014,All states and outlying areas -> Alabama -> Tuskegee U.,All states and outlying areas,Alabama,Tuskegee U.,3,11528,0,0,0,0,0,2357,2357,0,0,0,0
10399,r015,"All states and outlying areas -> Alabama -> U. Alabama, The, Birmingham",All states and outlying areas,Alabama,"U. Alabama, The, Birmingham",3,336501,0,0,0,0,0,9540,340,9200,0,335,0
10399,r016,"All states and outlying areas -> Alabama -> U. Alabama, The, Huntsville",All states and outlying areas,Alabama,"U. Alabama, The, Huntsville",3,28239,0,0,0,0,650,17906,566,9787,7553,0,4
10399,r017,"All states and outlying areas -> Alabama -> U. Alabama, The, Tuscaloosa",All states and outlying areas,Alabama,"U. Alabama, The, Tuscaloosa",3,29619,0,0,0,0,61,1540,975,565,0,5435,688
10399,r018,All states and outlying areas -> Alabama -> U. South Alabama,All states and outlying areas,Alabama,U. South Alabama,3,16712,0,0,0,0,630,2148,399,1749,0,1100,0
10399,r019,"All states and outlying areas -> Alabama -> U. West Alabama, The",All states and outlying areas,Alabama,"U. West Alabama, The",3,524,0,0,0,0,0,0,0,0,0,0,0
10399,r020,"All states and outlying areas -> Alabama -> Wallace State Community C., Hanceville",All states and outlying areas,Alabama,"Wallace State Community C., Hanceville",3,56,0,0,0,0,0,0,0,0,0,0,0
10399,r021,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,114149,0,0,0,0,2109,9813,6140,2535,1138,11819,2797
10399,r022,All states and outlying areas -> Alaska -> Alaska Pacific U.,All states and outlying areas,Alaska,Alaska Pacific U.,3,480,0,0,0,0,0,0,0,0,0,0,0
10399,r023,All states and outlying areas -> Alaska -> U. Alaska System of Higher Education,All states and outlying areas,Alaska,U. Alaska System of Higher Education,3,8089,0,0,0,0,0,0,0,0,0,5999,811
10399,r024,"All states and outlying areas -> Alaska -> U. Alaska, Anchorage",All states and outlying areas,Alaska,"U. Alaska, Anchorage",3,9622,0,0,0,0,0,0,0,0,0,5820,134
10399,r025,"All states and outlying areas -> Alaska -> U. Alaska, Fairbanks",All states and outlying areas,Alaska,"U. Alaska, Fairbanks",3,92529,0,0,0,0,0,9813,6140,2535,1138,0,1852
10399,r026,"All states and outlying areas -> Alaska -> U. Alaska, Southeast",All states and outlying areas,Alaska,"U. Alaska, Southeast",3,3430,0,0,0,0,2109,0,0,0,0,0,0
10399,r027,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,558327,750,0,0,0,3100,79839,65175,13868,796,20257,316
10399,r028,All states and outlying areas -> Arizona -> Arizona Board of Regents,All states and outlying areas,Arizona,Arizona Board of Regents,3,73151,0,0,0,0,0,288,0,0,288,0,0
10399,r029,All states and outlying areas -> Arizona -> Arizona State U.,All states and outlying areas,Arizona,Arizona State U.,3,188284,750,0,0,0,2000,35938,33047,2890,0,13921,0
