table_id,row_id,s_e_degree_field_full_path,s_e_degree_field_level_1,s_e_degree_field_level_2,s_e_degree_field_level_3,s_e_degree_field_hierarchy_depth,field_2010,field_2013,field_2015,field_2017,field_2019
4415,r001,Working involuntarily out of field of highest degree,Working involuntarily out of field of highest degree,,,1,,,,,
4415,r002,Working involuntarily out of field of highest degree -> Highest degree in S&E field,Working involuntarily out of field of highest degree,Highest degree in S&E field,,2,8.4,8.3,7.9,7.5,6.9
4415,r003,"Working involuntarily out of field of highest degree -> Highest degree in S&E field -> Biological, agricultural, and environmental life sciences",Working involuntarily out of field of highest degree,Highest degree in S&E field,"Biological, agricultural, and environmental life sciences",3,10.1,9.4,10.4,8.5,8.4
4415,r004,Working involuntarily out of field of highest degree -> Highest degree in S&E field -> Computer and mathematical sciences,Working involuntarily out of field of highest degree,Highest degree in S&E field,Computer and mathematical sciences,3,5.1,4.1,4.0,4.4,3.4
4415,r005,Working involuntarily out of field of highest degree -> Highest degree in S&E field -> Physical sciences,Working involuntarily out of field of highest degree,Highest degree in S&E field,Physical sciences,3,8.2,8.3,9.3,8.7,8.2
4415,r006,Working involuntarily out of field of highest degree -> Highest degree in S&E field -> Social sciences,Working involuntarily out of field of highest degree,Highest degree in S&E field,Social sciences,3,11.3,11.8,11.4,11.0,10.2
4415,r007,Working involuntarily out of field of highest degree -> Highest degree in S&E field -> Engineering,Working involuntarily out of field of highest degree,Highest degree in S&E field,Engineering,3,4.9,4.6,3.2,3.6,3.3
4415,r008,Working involuntarily part time,Working involuntarily part time,,,1,,,,,
4415,r009,Working involuntarily part time -> Highest degree in S&E field,Working involuntarily part time,Highest degree in S&E field,,2,4.5,5.3,4.6,4.2,3.9
4415,r010,"Working involuntarily part time -> Highest degree in S&E field -> Biological, agricultural, and environmental life sciences",Working involuntarily part time,Highest degree in S&E field,"Biological, agricultural, and environmental life sciences",3,5.1,5.8,5.9,4.1,5.1
4415,r011,Working involuntarily part time -> Highest degree in S&E field -> Computer and mathematical sciences,Working involuntarily part time,Highest degree in S&E field,Computer and mathematical sciences,3,2.9,3.9,3.3,3.4,2.3
4415,r012,Working involuntarily part time -> Highest degree in S&E field -> Physical sciences,Working involuntarily part time,Highest degree in S&E field,Physical sciences,3,3.7,5.0,5.2,3.5,3.3
4415,r013,Working involuntarily part time -> Highest degree in S&E field -> Social sciences,Working involuntarily part time,Highest degree in S&E field,Social sciences,3,6.3,7.7,6.2,6.2,6.1
4415,r014,Working involuntarily part time -> Highest degree in S&E field -> Engineering,Working involuntarily part time,Highest degree in S&E field,Engineering,3,2.4,2.1,1.9,2.0,1.3
