table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_other,field_u_s_federal_government_agencies,field_u_s_state_and_local_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
2740,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['72', '  ']","['59', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['7', '  ']","['*', '  ']","['1', '  ']"
2740,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['6 - 18', '  ']","['7', '  ']","['0 - 10', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', '  ']","['0 - 4', '  ']","['0', '  ']"
2740,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['101', 'i ']","['84', 'i ']","['1', 'i ']","['9', 'i ']","['*', 'i ']","['*', 'i ']","['6', 'i ']","['1', 'i ']","['*', 'i ']"
2740,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['31,078', '  ']","['27,502', '  ']","['175', 'i ']","['3,012', '  ']","['7', '  ']","['*', 'i ']","['161', '  ']","['206', '  ']","['16', '  ']"
2740,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['271', '  ']","['256', '  ']","['*', 'i ']","['3', 'i ']","['*', 'i ']","['*', 'i ']","['*', '  ']","['8', '  ']","['3', '  ']"
2740,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['33 - 45', '  ']","['30', '  ']","['0 - 10', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['2', '  ']","['0 - 4', '  ']","['*', '  ']"
2740,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['68', '  ']","['42', '  ']","['21', '  ']","['2', '  ']","['0', '  ']","['*', 'i ']","['1', '  ']","['1', '  ']","['*', 'i ']"
2740,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['15', '  ']","['11', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', '  ']"
2740,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['37', '  ']","['37', '  ']","['*', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['*', 'i ']"
2740,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['85', '  ']","['80', '  ']","['*', 'i ']","['2', '  ']","['0', '  ']","['0', '  ']","['2', '  ']","['*', 'i ']","['1', '  ']"
2740,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['429', '  ']","['369', '  ']","['7', '  ']","['44', '  ']","['0 - 3', '  ']","['0', '  ']","['1', '  ']","['2 - 11', '  ']","['0', '  ']"
2740,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['188', '  ']","['184', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
