table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_level_3,budget_function_hierarchy_depth,field_2022_actuala,field_2023_preliminary,field_2024_proposed
10427,r001,R&D and R&D plant,R&D and R&D plant,,,1,100.0,100.0,100.0
10427,r002,R&D and R&D plant -> National defense,R&D and R&D plant,National defense,,2,45.7,49.2,48.7
10427,r003,R&D and R&D plant -> Health,R&D and R&D plant,Health,,2,24.2,23.8,23.6
10427,r004,R&D and R&D plant -> General science and basic research,R&D and R&D plant,General science and basic research,,2,8.8,7.9,8.4
10427,r005,"R&D and R&D plant -> Space flight, research, and supporting activities",R&D and R&D plant,"Space flight, research, and supporting activities",,2,7.8,7.5,7.8
10427,r006,R&D and R&D plant -> Energy,R&D and R&D plant,Energy,,2,3.8,4.2,4.2
10427,r007,R&D and R&D plant -> Natural resources and environment,R&D and R&D plant,Natural resources and environment,,2,1.7,1.6,1.7
10427,r008,R&D and R&D plant -> Agriculture,R&D and R&D plant,Agriculture,,2,1.8,1.6,1.5
10427,r009,R&D and R&D plant -> Transportation,R&D and R&D plant,Transportation,,2,1.2,1.0,1.0
10427,r010,R&D and R&D plant -> Veterans benefits and services,R&D and R&D plant,Veterans benefits and services,,2,0.9,0.8,0.8
10427,r011,R&D and R&D plant -> Commerce and housing credit,R&D and R&D plant,Commerce and housing credit,,2,3.3,1.7,1.5
10427,r012,"R&D and R&D plant -> Education, training, employment, and social services",R&D and R&D plant,"Education, training, employment, and social services",,2,0.4,0.3,0.3
10427,r013,R&D and R&D plant -> Administration of justice,R&D and R&D plant,Administration of justice,,2,0.4,0.3,0.2
10427,r014,R&D and R&D plant -> International affairs,R&D and R&D plant,International affairs,,2,0.1,0.1,0.1
10427,r015,R&D and R&D plant -> Community and regional development,R&D and R&D plant,Community and regional development,,2,0.05,0.05,0.05
10427,r016,R&D and R&D plant -> Income security,R&D and R&D plant,Income security,,2,0.05,0.05,0.05
10427,r017,R&D and R&D plant -> Medicare,R&D and R&D plant,Medicare,,2,0.05,0.05,0.0
10427,r018,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,2,100.0,100.0,100.0
10427,r019,R&D and R&D plant -> R&D -> National defense,R&D and R&D plant,R&D,National defense,3,46.5,50.1,49.4
10427,r020,R&D and R&D plant -> R&D -> Health,R&D and R&D plant,R&D,Health,3,24.9,24.4,24.2
10427,r021,R&D and R&D plant -> R&D -> General science and basic research,R&D and R&D plant,R&D,General science and basic research,3,7.4,7.1,7.6
10427,r022,"R&D and R&D plant -> R&D -> Space flight, research, and supporting activities",R&D and R&D plant,R&D,"Space flight, research, and supporting activities",3,8.0,7.8,8.0
10427,r023,R&D and R&D plant -> R&D -> Energy,R&D and R&D plant,R&D,Energy,3,3.5,3.4,3.8
10427,r024,R&D and R&D plant -> R&D -> Natural resources and environment,R&D and R&D plant,R&D,Natural resources and environment,3,1.6,1.5,1.6
10427,r025,R&D and R&D plant -> R&D -> Agriculture,R&D and R&D plant,R&D,Agriculture,3,1.7,1.5,1.5
10427,r026,R&D and R&D plant -> R&D -> Transportation,R&D and R&D plant,R&D,Transportation,3,1.3,1.0,1.1
10427,r027,R&D and R&D plant -> R&D -> Veterans benefits and services,R&D and R&D plant,R&D,Veterans benefits and services,3,0.9,0.8,0.8
10427,r028,R&D and R&D plant -> R&D -> Commerce and housing credit,R&D and R&D plant,R&D,Commerce and housing credit,3,3.3,1.7,1.4
10427,r029,"R&D and R&D plant -> R&D -> Education, training, employment, and social services",R&D and R&D plant,R&D,"Education, training, employment, and social services",3,0.4,0.3,0.3
10427,r030,R&D and R&D plant -> R&D -> Administration of justice,R&D and R&D plant,R&D,Administration of justice,3,0.4,0.2,0.2
10427,r031,R&D and R&D plant -> R&D -> International affairs,R&D and R&D plant,R&D,International affairs,3,0.1,0.1,0.1
10427,r032,R&D and R&D plant -> R&D -> Community and regional development,R&D and R&D plant,R&D,Community and regional development,3,0.05,0.05,0.05
10427,r033,R&D and R&D plant -> R&D -> Income security,R&D and R&D plant,R&D,Income security,3,0.05,0.05,0.05
10427,r034,R&D and R&D plant -> R&D -> Medicare,R&D and R&D plant,R&D,Medicare,3,0.05,0.05,0.0
10427,r035,R&D and R&D plant -> R&D plant,R&D and R&D plant,R&D plant,,2,100.0,100.0,100.0
10427,r036,R&D and R&D plant -> R&D plant -> General science and basic research,R&D and R&D plant,R&D plant,General science and basic research,3,21.9,23.6,28.2
10427,r037,R&D and R&D plant -> R&D plant -> National defense,R&D and R&D plant,R&D plant,National defense,3,4.6,6.1,5.9
10427,r038,R&D and R&D plant -> R&D plant -> Natural resources and environment,R&D and R&D plant,R&D plant,Natural resources and environment,3,47.8,29.8,33.9
