table_id,row_id,_b_field_and_citizenship_status_b_full_path,_b_field_and_citizenship_status_b_level_1,_b_field_and_citizenship_status_b_level_2,_b_field_and_citizenship_status_b_level_3,_b_field_and_citizenship_status_b_hierarchy_depth,field_1976,field_1981,field_1986,field_1991,field_1996,field_2001,field_2006,field_2011,field_2016,field_2021
7523,r001,All fields,All fields,,,1,32946,31355,31897,37530,42437,40744,45620,48909,54809,52250
7523,r002,All fields -> U.S. citizen or permanent resident,All fields,U.S. citizen or permanent resident,,2,28829,26362,24541,27437,31548,28894,29028,31725,35678,31674
7523,r003,All fields -> Temporary visa holder,All fields,Temporary visa holder,,2,3566,3993,5318,9374,9740,9812,14198,14235,16477,17638
7523,r004,All fields -> Unknown,All fields,Unknown,,2,551,1000,2038,719,1149,2038,2394,2949,2654,2938
7523,r005,All fields -> Life sciences<sup>a</sup>,All fields,Life sciences<sup>a</sup>,,2,5087,5665,5767,6967,8337,8369,9703,11535,12539,11814
7523,r006,All fields -> Life sciences<sup>a</sup> -> U.S. citizen or permanent resident,All fields,Life sciences<sup>a</sup>,U.S. citizen or permanent resident,3,4300,4787,4593,5096,6084,5956,6506,7892,8683,8214
7523,r007,All fields -> Life sciences<sup>a</sup> -> Temporary visa holder,All fields,Life sciences<sup>a</sup>,Temporary visa holder,3,679,750,881,1765,2088,2050,2723,3029,3352,3069
7523,r008,All fields -> Life sciences<sup>a</sup> -> Unknown,All fields,Life sciences<sup>a</sup>,Unknown,3,108,128,293,106,165,363,474,614,504,531
7523,r009,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,2,3445,3156,3644,4406,4550,4024,4686,5271,6251,5757
7523,r010,All fields -> Physical sciences and earth sciences -> U.S. citizen or permanent resident,All fields,Physical sciences and earth sciences,U.S. citizen or permanent resident,3,2881,2547,2567,2890,3078,2447,2479,3048,3669,3340
7523,r011,All fields -> Physical sciences and earth sciences -> Temporary visa holder,All fields,Physical sciences and earth sciences,Temporary visa holder,3,528,527,865,1445,1326,1424,1976,1955,2313,2171
7523,r012,All fields -> Physical sciences and earth sciences -> Unknown,All fields,Physical sciences and earth sciences,Unknown,3,36,82,212,71,146,153,231,268,269,246
7523,r013,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,2,1003,960,1128,1838,2042,1840,2778,3273,3954,4373
7523,r014,All fields -> Mathematics and computer sciences -> U.S. citizen or permanent resident,All fields,Mathematics and computer sciences,U.S. citizen or permanent resident,3,804,714,652,968,1162,957,1207,1603,1729,1671
7523,r015,All fields -> Mathematics and computer sciences -> Temporary visa holder,All fields,Mathematics and computer sciences,Temporary visa holder,3,186,228,398,849,828,793,1462,1449,2053,2450
7523,r016,All fields -> Mathematics and computer sciences -> Unknown,All fields,Mathematics and computer sciences,Unknown,3,13,18,78,21,52,90,109,221,172,252
7523,r017,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,2,6452,6404,6150,6470,7167,7151,7231,8220,9037,8675
7523,r018,All fields -> Psychology and social sciences -> U.S. citizen or permanent resident,All fields,Psychology and social sciences,U.S. citizen or permanent resident,3,5769,5574,4984,5199,5834,5543,5381,6070,6798,6167
7523,r019,All fields -> Psychology and social sciences -> Temporary visa holder,All fields,Psychology and social sciences,Temporary visa holder,3,600,597,746,1117,1137,1187,1485,1588,1753,1888
7523,r020,All fields -> Psychology and social sciences -> Unknown,All fields,Psychology and social sciences,Unknown,3,83,233,420,154,196,421,365,562,486,620
7523,r021,All fields -> Engineering,All fields,Engineering,,2,2834,2528,3375,5213,6309,5512,7186,8032,9459,10240
7523,r022,All fields -> Engineering -> U.S. citizen or permanent resident,All fields,Engineering,U.S. citizen or permanent resident,3,1949,1472,1727,2475,3390,2458,2500,3350,4181,4073
7523,r023,All fields -> Engineering -> Temporary visa holder,All fields,Engineering,Temporary visa holder,3,824,952,1383,2644,2767,2790,4295,4164,4842,5638
7523,r024,All fields -> Engineering -> Unknown,All fields,Engineering,Unknown,3,61,104,265,94,152,264,391,518,436,529
7523,r025,All fields -> Education,All fields,Education,,2,7725,7497,6649,6454,6785,6356,6122,4670,5146,4252
7523,r026,All fields -> Education -> U.S. citizen or permanent resident,All fields,Education,U.S. citizen or permanent resident,3,7246,6717,5803,5788,6075,5462,5171,3878,4303,3431
7523,r027,All fields -> Education -> Temporary visa holder,All fields,Education,Temporary visa holder,3,346,543,475,516,489,504,611,497,562,553
7523,r028,All fields -> Education -> Unknown,All fields,Education,Unknown,3,133,237,371,150,221,390,340,295,281,268
7523,r029,All fields -> Humanities and arts,All fields,Humanities and arts,,2,4833,3689,3443,4053,4982,5430,5332,5225,5482,4137
7523,r030,All fields -> Humanities and arts -> U.S. citizen or permanent resident,All fields,Humanities and arts,U.S. citizen or permanent resident,3,4539,3358,2911,3491,4261,4601,4240,4191,4450,3142
7523,r031,All fields -> Humanities and arts -> Temporary visa holder,All fields,Humanities and arts,Temporary visa holder,3,216,201,278,483,571,592,796,767,712,727
7523,r032,All fields -> Humanities and arts -> Unknown,All fields,Humanities and arts,Unknown,3,78,130,254,79,150,237,296,267,320,268
7523,r033,All fields -> Other<sup>b</sup>,All fields,Other<sup>b</sup>,,2,1567,1456,1741,2129,2265,2062,2582,2683,2941,3002
