table_id,row_id,field_and_carnegie_category_full_path,field_and_carnegie_category_level_1,field_and_carnegie_category_level_2,field_and_carnegie_category_level_3,field_and_carnegie_category_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
2797,r001,All doctorate recipients,All doctorate recipients,,,1,48028,48909,50943,52703,53986,54886,54809,54554,55103,55703
2797,r002,All doctorate recipients -> Doctoral: Highest research,All doctorate recipients,Doctoral: Highest research,,2,36770,37854,39297,40579,41138,41490,41264,41205,41462,41834
2797,r003,All doctorate recipients -> Doctoral: Higher research,All doctorate recipients,Doctoral: Higher research,,2,7193,7184,7529,7888,8278,8676,8727,8652,8754,8757
2797,r004,All doctorate recipients -> Doctoral: Moderate research,All doctorate recipients,Doctoral: Moderate research,,2,1927,1755,1854,2002,2396,2296,2468,2436,2517,2550
2797,r005,All doctorate recipients -> Other universities,All doctorate recipients,Other universities,,2,2138,2116,2263,2234,2174,2424,2350,2261,2370,2562
2797,r006,All doctorate recipients -> Life sciences<sup>a</sup>,All doctorate recipients,Life sciences<sup>a</sup>,,2,11319,11535,11964,12207,12484,12493,12539,12554,12757,12781
2797,r007,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: Highest research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: Highest research,3,8658,8732,9006,9175,9137,9119,9165,9318,9359,9293
2797,r008,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: Higher research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: Higher research,3,1316,1331,1407,1499,1661,1630,1667,1538,1692,1665
2797,r009,All doctorate recipients -> Life sciences<sup>a</sup> -> Doctoral: Moderate research,All doctorate recipients,Life sciences<sup>a</sup>,Doctoral: Moderate research,3,235,288,283,336,428,429,461,517,458,470
2797,r010,All doctorate recipients -> Life sciences<sup>a</sup> -> Other universities,All doctorate recipients,Life sciences<sup>a</sup>,Other universities,3,1110,1184,1268,1197,1258,1315,1246,1181,1248,1353
2797,r011,All doctorate recipients -> Physical sciences and earth sciences,All doctorate recipients,Physical sciences and earth sciences,,2,4995,5271,5419,5584,5910,5916,6251,6082,6332,6585
2797,r012,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: Highest research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: Highest research,3,4248,4433,4561,4699,4890,4956,5226,5119,5298,5497
2797,r013,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: Higher research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: Higher research,3,660,722,746,756,884,855,878,843,902,944
2797,r014,All doctorate recipients -> Physical sciences and earth sciences -> Doctoral: Moderate research,All doctorate recipients,Physical sciences and earth sciences,Doctoral: Moderate research,3,36,46,42,56,74,38,62,53,48,60
2797,r015,All doctorate recipients -> Physical sciences and earth sciences -> Other universities,All doctorate recipients,Physical sciences and earth sciences,Other universities,3,51,70,70,73,62,67,85,67,84,84
2797,r016,All doctorate recipients -> Mathematics and computer sciences,All doctorate recipients,Mathematics and computer sciences,,2,3223,3273,3496,3660,3862,3818,3954,3842,4024,4240
2797,r017,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: Highest research,All doctorate recipients,Mathematics and computer sciences,Doctoral: Highest research,3,2666,2746,2916,3013,3183,3145,3211,3106,3312,3490
2797,r018,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: Higher research,All doctorate recipients,Mathematics and computer sciences,Doctoral: Higher research,3,488,446,496,559,583,566,628,602,589,628
2797,r019,All doctorate recipients -> Mathematics and computer sciences -> Doctoral: Moderate research,All doctorate recipients,Mathematics and computer sciences,Doctoral: Moderate research,3,42,57,52,44,60,51,68,74,70,67
2797,r020,All doctorate recipients -> Mathematics and computer sciences -> Other universities,All doctorate recipients,Mathematics and computer sciences,Other universities,3,27,24,32,44,36,56,47,60,53,55
2797,r021,All doctorate recipients -> Psychology and social sciences ,All doctorate recipients,Psychology and social sciences ,,2,7882,8220,8498,8580,8748,9073,9037,9036,8879,9071
2797,r022,All doctorate recipients -> Psychology and social sciences  -> Doctoral: Highest research,All doctorate recipients,Psychology and social sciences ,Doctoral: Highest research,3,5711,5947,6121,6167,6141,6371,6347,6336,6205,6267
2797,r023,All doctorate recipients -> Psychology and social sciences  -> Doctoral: Higher research,All doctorate recipients,Psychology and social sciences ,Doctoral: Higher research,3,1286,1376,1410,1415,1524,1623,1540,1637,1545,1555
2797,r024,All doctorate recipients -> Psychology and social sciences  -> Doctoral: Moderate research,All doctorate recipients,Psychology and social sciences ,Doctoral: Moderate research,3,562,590,652,680,791,741,805,766,815,855
2797,r025,All doctorate recipients -> Psychology and social sciences  -> Other universities,All doctorate recipients,Psychology and social sciences ,Other universities,3,323,307,315,318,292,338,345,297,314,394
2797,r026,All doctorate recipients -> Engineering,All doctorate recipients,Engineering,,2,7578,8032,8469,9000,9626,9875,9459,9776,10166,10303
2797,r027,All doctorate recipients -> Engineering -> Doctoral: Highest research,All doctorate recipients,Engineering,Doctoral: Highest research,3,6396,6765,7131,7480,8097,8107,7780,8072,8256,8402
2797,r028,All doctorate recipients -> Engineering -> Doctoral: Higher research,All doctorate recipients,Engineering,Doctoral: Higher research,3,1005,1037,1098,1273,1259,1470,1430,1425,1592,1586
