table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2022
10849,r001,All fields,All fields,,,1,3109857
10849,r002,All fields -> Computer and information sciences,All fields,Computer and information sciences,,2,61924
10849,r003,"All fields -> Geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",,2,121630
10849,r004,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,3,40015
10849,r005,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,3,8521
10849,r006,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,3,23993
10849,r007,"All fields -> Geosciences, atmospheric sciences, and ocean sciences -> Other geosciences, atmospheric sciences, and ocean sciences",All fields,"Geosciences, atmospheric sciences, and ocean sciences","Other geosciences, atmospheric sciences, and ocean sciences",3,49102
10849,r008,All fields -> Life sciences,All fields,Life sciences,,2,935500
10849,r009,All fields -> Life sciences -> Agricultural sciences,All fields,Life sciences,Agricultural sciences,3,26011
10849,r010,All fields -> Life sciences -> Biological and biomedical sciences,All fields,Life sciences,Biological and biomedical sciences,3,856060
10849,r011,All fields -> Life sciences -> Health sciences,All fields,Life sciences,Health sciences,3,44184
10849,r012,All fields -> Life sciences -> Natural resources and conservation,All fields,Life sciences,Natural resources and conservation,3,6660
10849,r013,All fields -> Life sciences -> Other life sciences,All fields,Life sciences,Other life sciences,3,2585
10849,r014,All fields -> Mathematics and statistics,All fields,Mathematics and statistics,,2,4238
10849,r015,All fields -> Physical sciences,All fields,Physical sciences,,2,718347
10849,r016,All fields -> Physical sciences -> Astronomy and astrophysics,All fields,Physical sciences,Astronomy and astrophysics,3,176362
10849,r017,All fields -> Physical sciences -> Chemistry,All fields,Physical sciences,Chemistry,3,20062
10849,r018,All fields -> Physical sciences -> Materials science,All fields,Physical sciences,Materials science,3,1084
10849,r019,All fields -> Physical sciences -> Physics,All fields,Physical sciences,Physics,3,147720
10849,r020,All fields -> Physical sciences -> Other physical sciences,All fields,Physical sciences,Other physical sciences,3,373118
10849,r021,All fields -> Psychology,All fields,Psychology,,2,7648
10849,r022,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,0
10849,r023,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,91
10849,r024,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,7557
10849,r025,All fields -> Social sciences,All fields,Social sciences,,2,5497
10849,r026,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,266
10849,r027,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,62
10849,r028,All fields -> Social sciences -> Political science and government,All fields,Social sciences,Political science and government,3,125
10849,r029,"All fields -> Social sciences -> Sociology, demography, and population studies",All fields,Social sciences,"Sociology, demography, and population studies",3,735
10849,r030,All fields -> Social sciences -> Other social sciences,All fields,Social sciences,Other social sciences,3,4309
10849,r031,All fields -> Engineering,All fields,Engineering,,2,943170
10849,r032,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,208614
10849,r033,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,4576
10849,r034,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,36457
10849,r035,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,12388
10849,r036,"All fields -> Engineering -> Electrical, electronics, and communications engineering",All fields,Engineering,"Electrical, electronics, and communications engineering",3,88033
10849,r037,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,105003
10849,r038,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,17900
10849,r039,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,3,20481
10849,r040,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,449718
10849,r041,All fields -> Other fields,All fields,Other fields,,2,311903
10849,r042,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,9630
10849,r043,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,10262
10849,r044,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,85936
10849,r045,All fields -> Other fields -> Humanities,All fields,Other fields,Humanities,3,0
10849,r046,All fields -> Other fields -> Law,All fields,Other fields,Law,3,0
10849,r047,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,0
10849,r048,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,0
10849,r049,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,206076
