table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_did_not_use,field_tested_but_notused_inproduction_or_service,field_low_use,field_moderate_use,field_high_use,field_don_t_know
5699,r001,All companies,All companies,,,1,"['    4,805,151 ', '&nbsp;']","['    89.9 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    6.7 ', '&nbsp;']"
5699,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5699,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['    2,667,724 ', '&nbsp;']","['    90.4 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    1.5 ', '&nbsp;']","['    0.9 ', '&nbsp;']","['    0.3 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5699,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['    936,576 ', '&nbsp;']","['    89.7 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    6.8 ', '&nbsp;']"
5699,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5699,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['    579,513 ', '&nbsp;']","['    90.1 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    1.5 ', '&nbsp;']","['    1.0 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    6.5 ', '&nbsp;']"
5699,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['    402,199 ', '&nbsp;']","['    89.4 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    6.9 ', '&nbsp;']"
5699,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5699,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['    119,497 ', '&nbsp;']","['    88.3 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    1.9 ', '&nbsp;']","['    1.7 ', '&nbsp;']","['    0.4 ', '&nbsp;']","['    7.2 ', '&nbsp;']"
5699,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['    65,565 ', '&nbsp;']","['    86.6 ', '&nbsp;']","['    0.6 ', '&nbsp;']","['    2.2 ', '&nbsp;']","['    1.2 ', '&nbsp;']","['    0.7 ', '&nbsp;']","['    8.7 ', '&nbsp;']"
5699,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
5699,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['    18,897 ', '&nbsp;']","['    81.3 ', '&nbsp;']","['    1.4 ', '&nbsp;']","['    2.7 ', '&nbsp;']","['    2.6 ', '&nbsp;']","['    1.7 ', '&nbsp;']","['    10.3 ', '&nbsp;']"
5699,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['    7,289 ', '&nbsp;']","['    82.4 ', '&nbsp;']","['    1.2 ', '&nbsp;']","['    3.8 ', '&nbsp;']","['    2.0 ', '&nbsp;']","['    0.5 ', '&nbsp;']","['    10.1 ', '&nbsp;']"
5699,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['    6,199 ', '&nbsp;']","['    73.5 ', '&nbsp;']","['    2.6 ', '&nbsp;']","['    5.2 ', 'r']","['    3.0 ', 'r']","['    0.7 ', '&nbsp;']","['    15.0 ', '&nbsp;']"
5699,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['    823 ', '&nbsp;']","['    58.8 ', '&nbsp;']","['    2.9 ', '&nbsp;']","['    9.2 ', '&nbsp;']","['    6.4 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    21.4 ', '&nbsp;']"
5699,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['    514 ', '&nbsp;']","['    47.9 ', '&nbsp;']","['    5.1 ', '&nbsp;']","['    9.7 ', '&nbsp;']","['    7.4 ', '&nbsp;']","['    1.6 ', '&nbsp;']","['    28.2 ', '&nbsp;']"
5699,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['    358 ', '&nbsp;']","['    33.6 ', '&nbsp;']","['    6.4 ', '&nbsp;']","['    11.6 ', '&nbsp;']","['    7.4 ', '&nbsp;']","['    1.4 ', '&nbsp;']","['    39.6 ', 'r']"
