table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_salaries_wages_and_fringe_benefits,field_stock_based_compensation,field_temporary_staffing,field_expensed_equipment,field_materials_and_supplies,field_lease_and_rental_payments,field_depreciation,field_other_purchased_services_except_r_d_,field_other
761,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['59,144', '&nbsp;']","['32,454', '&nbsp;']","['520', '&nbsp;']","['1,751', '&nbsp;']","['351', '&nbsp;']","['5,808', '&nbsp;']","['879', '&nbsp;']","['1,084', '&nbsp;']","['2,181', '&nbsp;']","['14,116', '&nbsp;']"
761,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['40,340', '&nbsp;']","['21,820', '&nbsp;']","['451', '&nbsp;']","['1,049', '&nbsp;']","['275', '&nbsp;']","['4,660', '&nbsp;']","['550', '&nbsp;']","['811', '&nbsp;']","['716', '&nbsp;']","['10,008', 'i']"
761,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['194', '&nbsp;']","['131', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']","['6', '&nbsp;']","['8', '&nbsp;']","['28', '&nbsp;']"
761,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['117', '&nbsp;']","['73', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['5', '&nbsp;']","['10', '&nbsp;']","['4', '&nbsp;']","['9', '&nbsp;']","['9', '&nbsp;']","['5', '&nbsp;']"
761,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['32', '&nbsp;']","['9', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['8', '&nbsp;']","['7', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['8', '&nbsp;']"
761,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['8', 'i']","['4', 'i']","['*', 'i']","['*', 'i']","['*', '&nbsp;']","['1', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']","['2', 'i']"
761,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['3', 'i']","['1', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', '&nbsp;']","['*', 'i']","['*', 'i']","['*', 'i']","['1', 'i']"
761,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['7', 'i']","['3', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['2', 'i']"
761,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['14', '&nbsp;']","['10', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
761,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['9,427', '&nbsp;']","['4,341', '&nbsp;']","['426', '&nbsp;']","['399', '&nbsp;']","['58', '&nbsp;']","['551', '&nbsp;']","['266', '&nbsp;']","['376', '&nbsp;']","['389', '&nbsp;']","['2,622', '&nbsp;']"
761,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['467', '&nbsp;']","['277', 'i']","['1', 'i']","['22', 'i']","['20', 'i']","['55', 'i']","['9', 'i']","['46', 'i']","['8', 'i']","['31', 'i']"
761,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['29', 'i']","['19', 'i']","['0', '&nbsp;']","['2', 'i']","['0', '&nbsp;']","['5', 'i']","['1', 'i']","['*', 'i']","['1', 'i']","['2', 'i']"
761,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
761,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['8,432', '&nbsp;']","['3,791', '&nbsp;']","['425', '&nbsp;']","['254', '&nbsp;']","['37', '&nbsp;']","['467', '&nbsp;']","['214', '&nbsp;']","['296', '&nbsp;']","['377', '&nbsp;']","['2,570', '&nbsp;']"
761,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['115', '&nbsp;']","['75', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['5', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['3', '&nbsp;']","['D', '&nbsp;']"
761,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259","['D', '&nbsp;']","['D', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['D', '&nbsp;']"
761,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['152', 'i']","['13', 'i']","['0', '&nbsp;']","['1', '&nbsp;']","['73', 'i']","['61', 'i']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['2', 'i']"
761,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['20', '&nbsp;']","['10', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']"
761,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['49', '&nbsp;']","['20', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['14', '&nbsp;']","['*', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['11', '&nbsp;']"
761,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['223', 'i']","['85', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['26', 'i']","['3', 'i']","['1', 'i']","['*', 'i']","['106', 'i']"
761,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['881', 'i']","['569', 'i']","['1', 'i']","['21', 'i']","['5', 'i']","['101', 'i']","['12', 'i']","['18', 'i']","['8', '&nbsp;']","['147', 'i']"
761,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['15', 'i']","['10', 'i']","['*', 'i']","['*', 'i']","['*', 'i']","['2', 'i']","['*', 'i']","['1', '&nbsp;']","['*', 'i']","['2', 'i']"
761,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['297', 'i']","['199', 'i']","['1', 'i']","['1', 'i']","['1', 'i']","['5', 'i']","['8', 'i']","['12', 'i']","['*', 'i']","['70', 'i']"
761,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['154', '&nbsp;']","['82', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['1', 'i']","['21', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['3', '&nbsp;']","['41', '&nbsp;']"
761,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['416', '&nbsp;']","['279', 'i']","['0', '&nbsp;']","['18', 'i']","['2', 'i']","['73', 'i']","['3', '&nbsp;']","['2', 'i']","['4', '&nbsp;']","['34', '&nbsp;']"
761,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,345', '&nbsp;']","['5,514', '&nbsp;']","['23', '&nbsp;']","['400', '&nbsp;']","['70', '&nbsp;']","['844', '&nbsp;']","['100', '&nbsp;']","['239', '&nbsp;']","['110', '&nbsp;']","['1,045', '&nbsp;']"
761,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,426', 'i']","['985', 'i']","['1', 'i']","['136', 'i']","['10', 'i']","['67', 'i']","['38', 'i']","['38', 'i']","['28', 'i']","['122', 'i']"
761,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['1,855', '&nbsp;']","['1,288', '&nbsp;']","['11', '&nbsp;']","['43', '&nbsp;']","['31', '&nbsp;']","['91', '&nbsp;']","['37', '&nbsp;']","['113', '&nbsp;']","['19', '&nbsp;']","['221', '&nbsp;']"
