table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_level_4,agency_level_5,agency_hierarchy_depth,field_total,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_engineering,field_other_fields
10267,r001,All agencies,All agencies,,,,,1,103907229,3174544,2054665,39393808,291595,2122091,363912,139135,43218196,13149281
10267,r002,All agencies -> Departments,All agencies,Departments,,,,2,,,,,,,,,,
10267,r003,All agencies -> Departments -> Department of Agriculture,All agencies,Departments,Department of Agriculture,,,3,236858,12502,1210,58663,0,1264,0,9523,2655,151040
10267,r004,All agencies -> Departments -> Department of Agriculture -> Agricultural Marketing Service,All agencies,Departments,Department of Agriculture,Agricultural Marketing Service,,4,6663,0,0,6663,0,0,0,0,0,0
10267,r005,All agencies -> Departments -> Department of Agriculture -> Agricultural Research Service,All agencies,Departments,Department of Agriculture,Agricultural Research Service,,4,151040,0,0,0,0,0,0,0,0,151040
10267,r006,All agencies -> Departments -> Department of Agriculture -> Animal and Plant Health Inspection Service,All agencies,Departments,Department of Agriculture,Animal and Plant Health Inspection Service,,4,20880,0,0,20880,0,0,0,0,0,0
10267,r007,All agencies -> Departments -> Department of Agriculture -> Forest Service,All agencies,Departments,Department of Agriculture,Forest Service,,4,53038,8165,1210,30220,0,1264,0,9523,2655,0
10267,r008,All agencies -> Departments -> Department of Agriculture -> National Agricultural Statistics Service,All agencies,Departments,Department of Agriculture,National Agricultural Statistics Service,,4,4337,4337,0,0,0,0,0,0,0,0
10267,r009,All agencies -> Departments -> Department of Agriculture -> Natural Resources Conservation Service,All agencies,Departments,Department of Agriculture,Natural Resources Conservation Service,,4,900,0,0,900,0,0,0,0,0,0
10267,r010,All agencies -> Departments -> Department of Commerce,All agencies,Departments,Department of Commerce,,,3,307003,3862,123454,103734,519,5496,0,55021,8873,6044
10267,r011,All agencies -> Departments -> Department of Commerce -> Census Bureau,All agencies,Departments,Department of Commerce,Census Bureau,,4,52744,3500,0,0,79,0,0,49166,0,0
10267,r012,All agencies -> Departments -> Department of Commerce -> National Institute of Standards and Technology,All agencies,Departments,Department of Commerce,National Institute of Standards and Technology,,4,100940,0.05,0,89511,259,3144,0,0,8026,0
10267,r013,All agencies -> Departments -> Department of Commerce -> National Oceanic and Atmospheric Administration,All agencies,Departments,Department of Commerce,National Oceanic and Atmospheric Administration,,4,153319,362,123454,14224,181,2352,0,5855,847,6044
10267,r014,All agencies -> Departments -> Department of Defense,All agencies,Departments,Department of Defense,,,3,60971497,3045886,1723689,5035769,289217,1728675,363782,69381,39587449,9127648
10267,r015,All agencies -> Departments -> Department of Defense -> Defense Advanced Research Projects Agency,All agencies,Departments,Department of Defense,Defense Advanced Research Projects Agency,,4,1760568,116800,6304,0,0,133719,0,0,1056196,447550
10267,r016,All agencies -> Departments -> Department of Defense -> Defense Health Agency,All agencies,Departments,Department of Defense,Defense Health Agency,,4,2719158,0,0,2710956,0,6583,0,0,170,1449
10267,r017,All agencies -> Departments -> Department of Defense -> Department of the Air Force,All agencies,Departments,Department of Defense,Department of the Air Force,,4,10003295,207371,1470377,16916,0,200014,0,0,5479823,2628793
10267,r018,All agencies -> Departments -> Department of Defense -> Department of the Army,All agencies,Departments,Department of Defense,Department of the Army,,4,10007091,2097064,94510,1992899,211276,763558,358143,47950,0,4441690
10267,r019,All agencies -> Departments -> Department of Defense -> Department of the Navy,All agencies,Departments,Department of Defense,Department of the Navy,,4,15079522,162353,128828,35868,818,181833,5639,11171,14380282,172731
10267,r020,All agencies -> Departments -> Department of Defense -> Space Force,All agencies,Departments,Department of Defense,Space Force,,4,5243308,0,0,0,75320,94215,0,0,5061224,12549
10267,r021,All agencies -> Departments -> Department of Defense -> Other defense agencies,All agencies,Departments,Department of Defense,Other defense agencies,,4,16158554,462298,23670,279129,1802,348753,0,10260,13609755,1422886
10267,r022,All agencies -> Departments -> Department of Education,All agencies,Departments,Department of Education,,,3,101327,0,0,0,0,0,0,0,0,101327
10267,r023,All agencies -> Departments -> Department of Energy,All agencies,Departments,Department of Energy,,,3,2676001,28773,27509,26349,969,70523,0,0,2520420,1458
10267,r024,All agencies -> Departments -> Department of Energy -> Advanced Research Projects Agency&#8212;Energy,All agencies,Departments,Department of Energy,Advanced Research Projects Agency&#8212;Energy,,4,157363,15308,1582,26219,0,0,0,0,114253,0
10267,r025,All agencies -> Departments -> Department of Energy -> Electricity Delivery and Energy Reliability,All agencies,Departments,Department of Energy,Electricity Delivery and Energy Reliability,,4,66567,0,0,0,0,0,0,0,66567,0
10267,r026,All agencies -> Departments -> Department of Energy -> Energy Efficiency and Renewable Energy,All agencies,Departments,Department of Energy,Energy Efficiency and Renewable Energy,,4,718556,0,0,0,0,0,0,0,718556,0
