table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_total,field_paid_for_by_the_company,field_paid_for_by_others
8807,r001,All business activities,All business activities,,1,21100–81000,"['537,619', '  ']","['466,162', '  ']","['71,457', '  ']"
8807,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['681', '  ']","['648', '  ']","['33', 'i ']"
8807,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['104', '  ']","['104', '  ']","['0', '  ']"
8807,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['723', '  ']","['702', '  ']","['20', '  ']"
8807,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['275', '  ']","['234', '  ']","['40', '  ']"
8807,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['1,070', '  ']","['1,045', '  ']","['25', '  ']"
8807,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['5,112', '  ']","['4,852', '  ']","['260', '  ']"
8807,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['647', '  ']","['596', '  ']","['51', '  ']"
8807,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['226', '  ']","['207', '  ']","['19', '  ']"
8807,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['768', '  ']","['759', '  ']","['9', '  ']"
8807,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['233', '  ']","['229', '  ']","['3', '  ']"
8807,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,244', '  ']","['1,243', '  ']","['1', '  ']"
8807,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['349', '  ']","['347', '  ']","['1', '  ']"
8807,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['499 - 735', '  ']","['500', '  ']","['0 - 235', '  ']"
8807,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['199', '  ']","['199', '  ']","['0', '  ']"
8807,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['120', '  ']","['119', '  ']","['1', '  ']"
8807,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['3,036', '  ']","['2,872', '  ']","['164', '  ']"
8807,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['1,339', '  ']","['1,258', '  ']","['81', 'i ']"
8807,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['1,507', '  ']","['1,182', '  ']","['325', '  ']"
8807,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing",2,32541,"['56,612', '  ']","['49,547', '  ']","['7,065', '  ']"
8807,r021,All business activities -> In vitro diagnostic substances manufacturing,All business activities,In vitro diagnostic substances manufacturing,2,32542,"['1,552', '  ']","['1,515', '  ']","['37', '  ']"
8807,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['32,436', '  ']","['28,742', '  ']","['3,695', '  ']"
8807,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['2,404', '  ']","['2,190', '  ']","['214', '  ']"
8807,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['1,473', '  ']","['1,423', '  ']","['50', '  ']"
8807,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['2,941', '  ']","['2,911', '  ']","['29', '  ']"
8807,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['1,385', 'i ']","['1,351', 'i ']","['34', 'i ']"
8807,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['383', '  ']","['328', '  ']","['55', 'i ']"
8807,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['914', '  ']","['882', '  ']","['32', '  ']"
8807,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['3,901', '  ']","['3,617', '  ']","['284', '  ']"
8807,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['1,397 - 1,633', '  ']","['1,398', '  ']","['0 - 235', '  ']"
8807,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['1,257', '  ']","['1,246', '  ']","['11', '  ']"
8807,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['1,032', '  ']","['993', '  ']","['39', '  ']"
8807,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['4,750', '  ']","['4,064', '  ']","['686', '  ']"
8807,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['1,044', '  ']","['910', '  ']","['133', '  ']"
8807,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['163', '  ']","['162', '  ']","['1', '  ']"
