table_id,row_id,budget_function_full_path,budget_function_level_1,budget_function_level_2,budget_function_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb
1313,r001,All functions conducting R&D,All functions conducting R&D,,1,3.1,3.1,2.7
1313,r002,All functions conducting R&D -> National defense,All functions conducting R&D,National defense,2,8.8,8.9,9.1
1313,r003,All functions conducting R&D -> Health,All functions conducting R&D,Health,2,6.2,5.9,4.4
1313,r004,All functions conducting R&D -> General science and basic research<sup>c</sup>,All functions conducting R&D,General science and basic research<sup>c</sup>,2,86.7,88.2,120.8
1313,r005,"All functions conducting R&D -> Space flight, research, and supporting activities",All functions conducting R&D,"Space flight, research, and supporting activities",2,53.1,51.6,53.5
1313,r006,All functions conducting R&D -> Energy<sup>d</sup>,All functions conducting R&D,Energy<sup>d</sup>,2,60.1,74.0,-65.1
1313,r007,All functions conducting R&D -> Natural resources and environment,All functions conducting R&D,Natural resources and environment,2,5.7,6.2,5.3
1313,r008,All functions conducting R&D -> Agriculture,All functions conducting R&D,Agriculture,2,16.2,10.7,9.3
1313,r009,All functions conducting R&D -> Transportation,All functions conducting R&D,Transportation,2,1.6,1.6,1.5
1313,r010,All functions conducting R&D -> Veterans benefits and services,All functions conducting R&D,Veterans benefits and services,2,0.8,0.7,0.7
1313,r011,All functions conducting R&D -> Commerce and housing credit<sup>d</sup>,All functions conducting R&D,Commerce and housing credit<sup>d</sup>,2,-7.3,16.7,-27.3
1313,r012,All functions conducting R&D -> Administration of justice,All functions conducting R&D,Administration of justice,2,1.1,1.1,0.8
1313,r013,"All functions conducting R&D -> Education, training, employment, and social services",All functions conducting R&D,"Education, training, employment, and social services",2,0.3,0.5,0.7
1313,r014,All functions conducting R&D -> International affairs,All functions conducting R&D,International affairs,2,0.4,0.4,0.3
1313,r015,All functions conducting R&D -> Income security,All functions conducting R&D,Income security,2,0.05,0.05,0.05
1313,r016,All functions conducting R&D -> Community and regional development,All functions conducting R&D,Community and regional development,2,0.2,0.2,0.1
1313,r017,All functions conducting R&D -> Medicare,All functions conducting R&D,Medicare,2,0.05,0.05,0.05
