table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
3044,r001,FYs 1986&#8211;87,All sources,,1,837.9
3044,r002,FYs 1986&#8211;87,Government,Federal,2,27.3
3044,r003,FYs 1986&#8211;87,Government,State and local,2,233.1
3044,r004,FYs 1986&#8211;87,Institutional funds and other sourcesa,,1,577.5
3044,r005,FYs 1986&#8211;87 -> Doctorate granting,All sources,,1,792.7
3044,r006,FYs 1986&#8211;87 -> Doctorate granting,Government,Federal,2,23.5
3044,r007,FYs 1986&#8211;87 -> Doctorate granting,Government,State and local,2,201.7
3044,r008,FYs 1986&#8211;87 -> Doctorate granting,Institutional funds and other sourcesa,,1,567.5
3044,r009,FYs 1986&#8211;87 -> Nondoctorate granting,All sources,,1,45.2
3044,r010,FYs 1986&#8211;87 -> Nondoctorate granting,Government,Federal,2,3.7
3044,r011,FYs 1986&#8211;87 -> Nondoctorate granting,Government,State and local,2,31.4
3044,r012,FYs 1986&#8211;87 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,10.1
3044,r013,FYs 1988&#8211;89,All sources,,1,1009.5
3044,r014,FYs 1988&#8211;89,Government,Federal,2,61.1
3044,r015,FYs 1988&#8211;89,Government,State and local,2,233.8
3044,r016,FYs 1988&#8211;89,Institutional funds and other sourcesa,,1,714.6
3044,r017,FYs 1988&#8211;89 -> Doctorate granting,All sources,,1,979.2
3044,r018,FYs 1988&#8211;89 -> Doctorate granting,Government,Federal,2,55.9
3044,r019,FYs 1988&#8211;89 -> Doctorate granting,Government,State and local,2,226.6
3044,r020,FYs 1988&#8211;89 -> Doctorate granting,Institutional funds and other sourcesa,,1,696.7
3044,r021,FYs 1988&#8211;89 -> Nondoctorate granting,All sources,,1,30.3
3044,r022,FYs 1988&#8211;89 -> Nondoctorate granting,Government,Federal,2,5.1
3044,r023,FYs 1988&#8211;89 -> Nondoctorate granting,Government,State and local,2,7.1
3044,r024,FYs 1988&#8211;89 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,18.1
3044,r025,FYs 1990&#8211;91,All sources,,1,825.7
3044,r026,FYs 1990&#8211;91,Government,Federal,2,49.0
3044,r027,FYs 1990&#8211;91,Government,State and local,2,243.0
3044,r028,FYs 1990&#8211;91,Institutional funds and other sourcesa,,1,533.7
3044,r029,FYs 1990&#8211;91 -> Doctorate granting,All sources,,1,794.1
3044,r030,FYs 1990&#8211;91 -> Doctorate granting,Government,Federal,2,48.3
3044,r031,FYs 1990&#8211;91 -> Doctorate granting,Government,State and local,2,227.3
