table_id,row_id,selected_characteristic_full_path,selected_characteristic_level_1,selected_characteristic_level_2,selected_characteristic_level_3,selected_characteristic_level_4,selected_characteristic_level_5,selected_characteristic_hierarchy_depth,field_number_of_early_career_doctorates,field_sex_female,field_sex_male,field_ethnicity_and_race_hispanic_or_latino,field_ethnicity_and_race_not_hispanic_or_latino_asian,field_ethnicity_and_race_not_hispanic_or_latino_black_or_african_american,field_ethnicity_and_race_not_hispanic_or_latino_white,field_ethnicity_and_race_not_hispanic_or_latino_other_race_and_ethnicity
3800,r001,All early career doctorates,All early career doctorates,,,,,1,186700,47.9,52.1,7.3,20.1,5.4,64.7,2.5
3800,r002,All early career doctorates -> Position type<sup>a</sup>,All early career doctorates,Position type<sup>a</sup>,,,,2,,,,,,,,
3800,r003,All early career doctorates -> Position type<sup>a</sup> -> Faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,,,3,125600,51.2,48.8,7.4,15.4,6.0,68.4,2.7
3800,r004,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Tenured faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,Tenured faculty,,4,27300,46.4,53.6,6.4,15.1,4.5,72.1,1.9
3800,r005,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Tenure-track faculty,All early career doctorates,Position type<sup>a</sup>,Faculty,Tenure-track faculty,,4,58500,48.6,51.4,8.1,18.7,5.5,64.8,2.9
3800,r006,All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Non-tenure track faculty with rank,All early career doctorates,Position type<sup>a</sup>,Faculty,Non-tenure track faculty with rank,,4,13000,60.8,39.2,7.0,14.9,7.4,69.4,1.3
3800,r007,"All early career doctorates -> Position type<sup>a</sup> -> Faculty -> Other faculty, no rank or tenure",All early career doctorates,Position type<sup>a</sup>,Faculty,"Other faculty, no rank or tenure",,4,26800,57.0,43.0,7.2,9.0,7.9,72.2,3.7
3800,r008,All early career doctorates -> Position type<sup>a</sup> -> Postdoctoral scholar,All early career doctorates,Position type<sup>a</sup>,Postdoctoral scholar,,,3,36400,36.3,63.7,8.5,38.8,2.2,49.2,1.3
3800,r009,All early career doctorates -> Position type<sup>a</sup> -> Research scientist or nonfaculty researcher,All early career doctorates,Position type<sup>a</sup>,Research scientist or nonfaculty researcher,,,3,10900,33.2,66.8,3.0,28.2,2.5,63.8,2.5
3800,r010,All early career doctorates -> Position type<sup>a</sup> -> Other positions,All early career doctorates,Position type<sup>a</sup>,Other positions,,,3,13800,60.4,39.6,5.7,7.0,10.8,72.5,3.9
3800,r011,All early career doctorates -> Employment setting,All early career doctorates,Employment setting,,,,2,,,,,,,,
3800,r012,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup>,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,,,3,178900,49.0,51.0,7.4,19.6,5.6,64.8,2.5
3800,r013,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> Very high research activity university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,Very high research activity university,,4,83000,44.1,55.9,7.8,25.6,4.1,60.0,2.5
3800,r014,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> High research activity university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,High research activity university,,4,27500,49.6,50.4,8.4,16.5,3.7,68.9,2.4
3800,r015,All early career doctorates -> Employment setting -> Academic institution<sup>b</sup> -> Other college or university,All early career doctorates,Employment setting,Academic institution<sup>b</sup>,Other college or university,,4,68500,54.8,45.2,6.5,13.6,8.2,69.1,2.6
3800,r016,All early career doctorates -> Employment setting -> FFRDC,All early career doctorates,Employment setting,FFRDC,,,3,7800,21.9,78.1,4.1,31.6,0.8,61.5,2.0
3800,r017,All early career doctorates -> Doctoral degree type,All early career doctorates,Doctoral degree type,,,,2,,,,,,,,
3800,r018,All early career doctorates -> Doctoral degree type -> Professional degree or doctoral equivalent<sup>c</sup>,All early career doctorates,Doctoral degree type,Professional degree or doctoral equivalent<sup>c</sup>,,,3,15700,70.2,29.8,5.8,8.0,8.2,76.6,1.4
3800,r019,All early career doctorates -> Doctoral degree type -> Research degree,All early career doctorates,Doctoral degree type,Research degree,,,3,171100,45.9,54.1,7.4,21.2,5.2,63.6,2.6
