table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_asian_number,field_asian_percent,field_american_indian_or_alaska_native_number,field_american_indian_or_alaska_native_percent,field_black_or_african_american_number,field_black_or_african_american_percent,field_hispanic_or_latino_number,field_hispanic_or_latino_percent,field_white_number,field_white_percent,field_native_hawaiian_or_other_pacific_islander_number,field_native_hawaiian_or_other_pacific_islander_percent,field_more_than_one_race_number,field_more_than_one_race_percent
1630,r001,All occupations,All occupations,,,,1,27273000,3546000,13.0,79000,0.3,2008000,7.4,2328000,8.5,18750000,68.7,67000,0.2,495000,1.8
1630,r002,S&E occupations,S&E occupations,,,,1,6769000,1338000,19.8,14000,0.2,382000,5.6,505000,7.5,4397000,65.0,23000,0.3,109000,1.6
1630,r003,S&E occupations -> Computer and mathematical scientists,S&E occupations,Computer and mathematical scientists,,,2,3419000,840000,24.6,4000,0.1,242000,7.1,200000,5.8,2070000,60.5,12000,0.4,52000,1.5
1630,r004,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,,3,3096000,778000,25.1,4000,0.1,223000,7.2,181000,5.8,1851000,59.8,11000,0.4,48000,1.6
1630,r005,"S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer and information scientists, research",S&E occupations,Computer and mathematical scientists,Computer and information scientists,"Computer and information scientists, research",4,93000,31000,33.3,s,s,s,s,2000,2.2,57000,61.3,s,s,s,s
1630,r006,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer network architects,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer network architects,4,50000,9000,18.0,s,s,s,s,4000,8.0,35000,70.0,s,s,s,s
1630,r007,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer support specialists,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer support specialists,4,272000,24000,8.8,s,s,39000,14.3,23000,8.5,180000,66.2,s,s,4000,1.5
1630,r008,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Computer system analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Computer system analysts,4,371000,98000,26.4,s,s,47000,12.7,22000,5.9,197000,53.1,2000,0.5,4000,1.1
1630,r009,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Database administrators,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Database administrators,4,113000,21000,18.6,s,s,5000,4.4,6000,5.3,74000,65.5,s,s,s,s
1630,r010,S&E occupations -> Computer and mathematical scientists -> Computer and information scientists -> Information security analysts,S&E occupations,Computer and mathematical scientists,Computer and information scientists,Information security analysts,4,106000,20000,18.9,s,s,14000,13.2,10000,9.4,51000,48.1,s,s,11000,10.4
