table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_hierarchy_depth,field_master_s_2017,field_master_s_2018,field_master_s_2019,field_master_s_2020,field_master_s_2021,field_master_s_percent_change_2017_21,field_master_s_percent_change_2020_21,field_doctoral_2017,field_doctoral_2018,field_doctoral_2019,field_doctoral_2020,field_doctoral_2021,field_doctoral_percent_change_2017_21,field_doctoral_percent_change_2020_21
8081,r022,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,
8081,r023,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,4,706,685,746,722,742,5.1,2.8,546,580,613,600,574,5.1,-4.3
8081,r024,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,4,14825,15882,16900,18544,21707,46.4,17.1,13992,14789,15416,15958,17384,24.2,8.9
8081,r025,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,4,11846,13294,13983,15989,16933,42.9,5.9,7343,7866,7972,8571,9318,26.9,8.7
8081,r026,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,240,269,285,294,319,32.9,8.5,190,189,159,160,153,-19.5,-4.4
8081,r027,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,4,83943,86699,88477,93614,97765,16.5,4.4,92215,93243,92588,92761,92560,0.4,-0.2
8081,r028,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,4,4996,5455,5548,6377,6987,39.9,9.6,4816,5047,5279,5726,6257,29.9,9.3
8081,r029,Full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity,Full-time students,U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,,3,7449,8238,7656,7790,7578,1.7,-2.7,7040,6435,6392,6773,6529,-7.3,-3.6
8081,r030,Full-time students -> Temporary visa holders,Full-time students,Temporary visa holders,,,,2,103689,99019,100342,76093,108090,4.2,42.0,96701,100739,104103,100728,106376,10.0,5.6
8081,r031,Full-time students -> Temporary visa holders -> Male,Full-time students,Temporary visa holders,Male,,,3,65694,61405,61194,45489,65825,0.2,44.7,63079,65408,66857,64179,66712,5.8,3.9
8081,r032,Full-time students -> Temporary visa holders -> Female,Full-time students,Temporary visa holders,Female,,,3,37995,37614,39148,30604,42265,11.2,38.1,33622,35331,37246,36549,39664,18.0,8.5
8081,r033,"Full-time students -> First-time, full-time students",Full-time students,"First-time, full-time students",,,,2,110980,114214,116507,102096,147302,32.7,44.3,45177,45510,46525,41173,46696,3.4,13.4
8081,r034,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup>",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,,,3,64513,67821,68897,79715,82497,27.9,3.5,26902,27009,27177,27744,27533,2.3,-0.8
8081,r035,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Male",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Male,,4,27523,28480,28005,32396,32825,19.3,1.3,13859,13558,13366,13419,12706,-8.3,-5.3
8081,r036,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Female",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Female,,4,36990,39341,40892,47319,49672,34.3,5.0,13043,13451,13811,14325,14827,13.7,3.5
8081,r037,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,4,7694,8618,9034,11483,12208,58.7,6.3,2823,2921,3267,3383,3670,30.0,8.5
8081,r038,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,4,,,,,,,,,,,,,,
8081,r039,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,5,285,291,314,306,335,17.5,9.5,89,100,115,96,85,-4.5,-11.5
8081,r040,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,5,7445,7966,8487,9685,11202,50.5,15.7,2701,2954,3008,3153,3328,23.2,5.6
8081,r041,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,5,5429,5789,6188,7664,7609,40.2,-0.7,1522,1593,1637,1726,2041,34.1,18.3
8081,r042,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,5,102,138,136,135,151,48.0,11.9,24,39,24,27,33,37.5,22.2
8081,r043,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,5,37642,38837,39055,44007,44465,18.1,1.0,17503,17291,17067,16886,16070,-8.2,-4.8
8081,r044,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,5,2440,2480,2498,3063,3295,35.0,7.6,1099,1062,1047,1160,1196,8.8,3.1
8081,r045,"Full-time students -> First-time, full-time students -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown race and ethnicity",Full-time students,"First-time, full-time students",U.S. citizens and permanent residents<sup>a</sup>,Unknown race and ethnicity,,4,3476,3702,3185,3372,3232,-7.0,-4.2,1141,1049,1012,1313,1110,-2.7,-15.5
8081,r046,"Full-time students -> First-time, full-time students -> Temporary visa holders",Full-time students,"First-time, full-time students",Temporary visa holders,,,3,46467,46393,47610,22381,64805,39.5,189.6,18275,18501,19348,13429,19163,4.9,42.7
8081,r047,"Full-time students -> First-time, full-time students -> Temporary visa holders -> Male",Full-time students,"First-time, full-time students",Temporary visa holders,Male,,4,28944,28372,28568,12678,40053,38.4,215.9,11693,11676,12035,8193,11709,0.1,42.9
8081,r048,"Full-time students -> First-time, full-time students -> Temporary visa holders -> Female",Full-time students,"First-time, full-time students",Temporary visa holders,Female,,4,17523,18021,19042,9703,24752,41.3,155.1,6582,6825,7313,5236,7454,13.2,42.4
