table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs_,field_nasa,field_nsf,field_si,field_usda
10858,r001,All locations,All locations,,,1,6172465,10232,379425,255660,4279970,6872,37799,5800,291447,126953,529268,69600,179440
10858,r002,All locations -> Alabama,All locations,Alabama,,2,70588,0,0,3513,0,0,1271,0,12337,52849,597,0,21
10858,r003,All locations -> Alaska,All locations,Alaska,,2,12386,0,12176,0,0,0,0,0,0,0,210,0,0
10858,r004,All locations -> Arizona,All locations,Arizona,,2,60008,0,0,0,0,0,0,0,0,0,59941,0,66
10858,r005,All locations -> Arkansas,All locations,Arkansas,,2,20096,0,0,0,0,0,0,0,9635,0,10461,0,0
10858,r006,All locations -> California,All locations,California,,2,888960,101,4283,32071,804022,0,589,0,3900,8355,29500,0,6140
10858,r007,All locations -> Colorado,All locations,Colorado,,2,75381,0,17754,0,48601,800,984,0,3193,0,2540,0,1508
10858,r008,All locations -> Connecticut,All locations,Connecticut,,2,13644,0,0,0,0,0,12,0,0,0,13632,0,0
10858,r009,All locations -> Delaware,All locations,Delaware,,2,1275,0,0,0,0,0,0,0,0,0,1275,0,0
10858,r010,All locations -> District of Columbia,All locations,District of Columbia,,2,162890,0,0,0,60253,0,3206,0,2938,9,26883,69600,0
10858,r011,All locations -> Florida,All locations,Florida,,2,77920,0,33807,9620,0,0,166,273,0,10308,23514,0,232
10858,r012,All locations -> Georgia,All locations,Georgia,,2,9749,0,0,0,0,0,1644,201,0,0,6591,0,1313
10858,r013,All locations -> Hawaii,All locations,Hawaii,,2,5401,0,4800,0,0,0,0,0,0,0,601,0,0
10858,r014,All locations -> Idaho,All locations,Idaho,,2,818143,0,0,0,805656,0,0,0,0,0,12487,0,0
10858,r015,All locations -> Illinois,All locations,Illinois,,2,712957,0,0,11216,677692,0,5633,0,11235,0,7181,0,0
10858,r016,All locations -> Indiana,All locations,Indiana,,2,689,0,0,0,0,0,0,0,0,0,689,0,0
10858,r017,All locations -> Iowa,All locations,Iowa,,2,39016,0,0,0,29418,0,0,0,7975,0,1623,0,0
10858,r018,All locations -> Kansas,All locations,Kansas,,2,10103,0,0,8497,0,0,0,0,0,2,1604,0,0
10858,r019,All locations -> Kentucky,All locations,Kentucky,,2,13669,0,0,0,0,0,0,0,1220,0,2027,0,10422
10858,r020,All locations -> Louisiana,All locations,Louisiana,,2,57947,0,0,14161,0,0,0,0,11943,26769,5075,0,0
10858,r021,All locations -> Maine,All locations,Maine,,2,220,0,0,0,0,0,220,0,0,0,0,0,0
10858,r022,All locations -> Maryland,All locations,Maryland,,2,478016,9722,235625,30896,42,0,1525,0,130283,6699,2330,0,60894
10858,r023,All locations -> Massachusetts,All locations,Massachusetts,,2,91672,0,0,50538,50,0,655,0,12981,0,27448,0,0
10858,r024,All locations -> Michigan,All locations,Michigan,,2,10193,0,70,0,0,0,10,0,0,0,10113,0,0
10858,r025,All locations -> Minnesota,All locations,Minnesota,,2,1257,0,0,0,0,0,0,277,0,0,980,0,0
10858,r026,All locations -> Mississippi,All locations,Mississippi,,2,15045,0,12303,0,0,0,0,0,0,0,2742,0,0
10858,r027,All locations -> Missouri,All locations,Missouri,,2,20017,0,0,0,3818,0,669,0,10310,0,1220,0,4000
10858,r028,All locations -> Montana,All locations,Montana,,2,1094,0,0,0,0,0,0,0,0,0,1094,0,0
10858,r029,All locations -> Nebraska,All locations,Nebraska,,2,24265,0,0,0,0,0,0,0,3907,0,358,0,20000
10858,r030,All locations -> Nevada,All locations,Nevada,,2,167221,0,0,0,165524,0,0,0,0,327,1371,0,0
