table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_non_medical_school_r_d_expenditures,field_all_medical_school_r_d_expenditures,field_all_r_d_expenditures
3151,r001,All institutions,All institutions,,1,-,"['53,580,871', '']","['29,915,477', '']","['83,496,348', '']"
3151,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['2,166,935', '']","['750,501', '']","['2,917,436', '']"
3151,r003,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,2,"['1,009,466', '']","['0', '']","['1,009,466', '']"
3151,r004,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,3,"['988,602', '']","['687,203', '']","['1,675,805', '']"
3151,r005,All institutions -> U. Texas M. D. Anderson Cancer Center,All institutions,U. Texas M. D. Anderson Cancer Center,2,4,"['969,496', '']","['0', '']","['969,496', '']"
3151,r006,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,5,"['960,167', '']","['0', '']","['960,167', '']"
3151,r007,All institutions -> Harvard U.,All institutions,Harvard U.,2,6,"['937,641', '']","['302,095', '']","['1,239,736', '']"
3151,r008,"All institutions -> Texas A&M U., College Station and Health Science Center",All institutions,"Texas A&M U., College Station and Health Science Center",2,7,"['900,347', '']","['51,809', '']","['952,156', '']"
3151,r009,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,8,"['851,817', '']","['97,862', '']","['949,679', '']"
3151,r010,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,9,"['847,323', '']","['506,440', '']","['1,353,763', '']"
3151,r011,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,10,"['841,026', '']","['456,305', '']","['1,297,331', '']"
3151,r012,"All institutions -> U. California, Berkeley",All institutions,"U. California, Berkeley",2,11,"['802,931', '']","['0', '']","['802,931', '']"
3151,r013,"All institutions -> U. Washington, Seattle",All institutions,"U. Washington, Seattle",2,12,"['749,672', '']","['675,929', '']","['1,425,601', '']"
3151,r014,"All institutions -> U. Minnesota, Twin Cities",All institutions,"U. Minnesota, Twin Cities",2,13,"['715,029', '']","['298,083', '']","['1,013,112', '']"
3151,r015,All institutions -> Cornell U.,All institutions,Cornell U.,2,14,"['691,565', '']","['452,969', '']","['1,144,534', '']"
3151,r016,"All institutions -> U. Illinois, Urbana-Champaign",All institutions,"U. Illinois, Urbana-Champaign",2,15,"['675,382', '']","['2,141', '']","['677,523', '']"
3151,r017,"All institutions -> Purdue U., West Lafayette",All institutions,"Purdue U., West Lafayette",2,16,"['663,927', '']","['0', '']","['663,927', '']"
3151,r018,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,17,"['661,288', '']","['34,823', '']","['696,111', '']"
3151,r019,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,18,"['647,217', '']","['449,383', '']","['1,096,600', '']"
3151,r020,All institutions -> Arizona State U.,All institutions,Arizona State U.,2,19,"['639,637', '']","['0', '']","['639,637', '']"
3151,r021,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,20,"['636,532', '']","['89,176', '']","['725,708', '']"
3151,r022,"All institutions -> U. California, Davis",All institutions,"U. California, Davis",2,21,"['605,337', '']","['198,945', '']","['804,282', '']"
3151,r023,All institutions -> Virginia Polytechnic Institute and State U.,All institutions,Virginia Polytechnic Institute and State U.,2,22,"['541,969', '']","['0', '']","['541,969', '']"
3151,r024,All institutions -> North Carolina State U.,All institutions,North Carolina State U.,2,23,"['541,100', '']","['0', '']","['541,100', '']"
3151,r025,All institutions -> Ohio State U.,All institutions,Ohio State U.,2,24,"['533,391', '']","['395,859', '']","['929,250', '']"
3151,r026,All institutions -> U. Arizona,All institutions,U. Arizona,2,25,"['525,760', '']","['208,510', '']","['734,270', '']"
3151,r027,All institutions -> U. Florida,All institutions,U. Florida,2,26,"['522,845', '']","['405,794', '']","['928,639', '']"
3151,r028,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,27,"['513,822', '']","['0', '']","['513,822', '']"
3151,r029,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,28,"['510,471', '']","['643,302', '']","['1,153,773', '']"
3151,r030,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,29,"['503,139', '']","['1,003,146', '']","['1,506,285', '']"
3151,r031,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,30,"['500,965', '']","['805,411', '']","['1,306,376', '']"
3151,r032,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,31,"['486,683', '']","['516,932', '']","['1,003,615', '']"
3151,r033,All institutions -> U. Georgia,All institutions,U. Georgia,2,32,"['477,536', '']","['0', '']","['477,536', '']"
3151,r034,All institutions -> Stanford U.,All institutions,Stanford U.,2,33,"['442,681', '']","['761,435', '']","['1,204,116', '']"
3151,r035,All institutions -> Scripps Research Institute,All institutions,Scripps Research Institute,2,34,"['427,734', '']","['0', '']","['427,734', '']"
3151,r036,All institutions -> California Institute of Technology,All institutions,California Institute of Technology,2,35,"['399,931', '']","['0', '']","['399,931', '']"
3151,r037,"All institutions -> Colorado State U., Fort Collins",All institutions,"Colorado State U., Fort Collins",2,36,"['398,477', '']","['0', '']","['398,477', '']"
3151,r038,All institutions -> U. Utah,All institutions,U. Utah,2,37,"['392,856', '']","['208,277', '']","['601,133', '']"
3151,r039,All institutions -> Princeton U.,All institutions,Princeton U.,2,38,"['385,739', '']","['0', '']","['385,739', '']"
3151,r040,All institutions -> Boston U.,All institutions,Boston U.,2,39,"['380,403', '']","['153,802', '']","['534,205', '']"
3151,r041,All institutions -> U. Southern California,All institutions,U. Southern California,2,40,"['377,836', '']","['531,847', '']","['909,683', '']"
3151,r042,All institutions -> New York U.,All institutions,New York U.,2,41,"['371,600', '']","['563,120', '']","['934,720', '']"
3151,r043,"All institutions -> Rutgers, State U. New Jersey, New Brunswick",All institutions,"Rutgers, State U. New Jersey, New Brunswick",2,42,"['361,589', '']","['295,660', '']","['657,249', '']"
3151,r044,All institutions -> Carnegie Mellon U.,All institutions,Carnegie Mellon U.,2,43,"['359,720', '']","['0', '']","['359,720', '']"
3151,r045,All institutions -> Iowa State U.,All institutions,Iowa State U.,2,44,"['358,474', '']","['0', '']","['358,474', '']"
3151,r046,All institutions -> Washington State U.,All institutions,Washington State U.,2,45,"['355,956', '']","['13,377', '']","['369,333', '']"
3151,r047,"All institutions -> SUNY, Polytechnic Institute",All institutions,"SUNY, Polytechnic Institute",2,46,"['352,889', '']","['0', '']","['352,889', '']"
3151,r048,All institutions -> Rockefeller U.,All institutions,Rockefeller U.,2,47,"['351,089', '']","['0', '']","['351,089', '']"
3151,r049,All institutions -> Vanderbilt U. and Vanderbilt U. Medical Center,All institutions,Vanderbilt U. and Vanderbilt U. Medical Center,2,48,"['345,879', '']","['431,058', '']","['776,937', '']"
3151,r050,All institutions -> Emory U.,All institutions,Emory U.,2,49,"['324,873', '']","['470,055', '']","['794,928', '']"
3151,r051,"All institutions -> U. Nebraska, Lincoln",All institutions,"U. Nebraska, Lincoln",2,50,"['316,820', '']","['0', '']","['316,820', '']"
3151,r052,"All institutions -> U. Virginia, Charlottesville",All institutions,"U. Virginia, Charlottesville",2,51,"['308,915', '']","['305,023', '']","['613,938', '']"
