table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_rank,field_total,field_nonprofit_organizations,field_higher_education_institutions
8864,r001,All states,All states,,1, - ,114269354,27973176,86296178
8864,r002,All states -> California,All states,California,2,1,14618281,3707325,10910956
8864,r003,All states -> New York,All states,New York,2,2,10891779,3735463,7156316
8864,r004,All states -> Massachusetts,All states,Massachusetts,2,3,9671160,5309694,4361466
8864,r005,All states -> Texas,All states,Texas,2,4,7684864,1065224,6619640
8864,r006,All states -> Maryland,All states,Maryland,2,5,6368711,1623681,4745030
8864,r007,All states -> Pennsylvania,All states,Pennsylvania,2,6,5674879,854524,4820355
8864,r008,All states -> North Carolina,All states,North Carolina,2,7,4328148,942413,3385735
8864,r009,All states -> Illinois,All states,Illinois,2,8,3765596,1000642,2764954
8864,r010,All states -> Ohio,All states,Ohio,2,9,3755143,1236340,2518803
8864,r011,All states -> Washington,All states,Washington,2,10,3400322,1573301,1827021
8864,r012,All states -> Michigan,All states,Michigan,2,11,3193907,326100,2867807
8864,r013,All states -> Florida,All states,Florida,2,12,3184033,461406,2722627
8864,r014,All states -> Georgia,All states,Georgia,2,13,2865262,83257,2782005
8864,r015,All states -> Virginia,All states,Virginia,2,14,2582376,661161,1921215
8864,r016,All states -> Minnesota,All states,Minnesota,2,15,2413811,1327081,1086730
8864,r017,All states -> District of Columbia,All states,District of Columbia,2,16,2258492,1573699,684793
8864,r018,All states -> Tennessee,All states,Tennessee,2,17,1947043,548129,1398914
8864,r019,All states -> Wisconsin,All states,Wisconsin,2,18,1853857,107058,1746799
8864,r020,All states -> Colorado,All states,Colorado,2,19,1813570,147828,1665742
8864,r021,All states -> Indiana,All states,Indiana,2,20,1754752,21129,1733623
8864,r022,All states -> Arizona,All states,Arizona,2,21,1608189,109054,1499135
8864,r023,All states -> Missouri,All states,Missouri,2,22,1593235,148860,1444375
8864,r024,All states -> Connecticut,All states,Connecticut,2,23,1543490,142625,1400865
8864,r025,All states -> New Jersey,All states,New Jersey,2,24,1431823,45959,1385864
8864,r026,All states -> Alabama,All states,Alabama,2,25,1307317,120620,1186697
8864,r027,All states -> Utah,All states,Utah,2,26,983807,33245,950562
8864,r028,All states -> Oregon,All states,Oregon,2,27,959646,64857,894789
8864,r029,All states -> Iowa,All states,Iowa,2,28,918363,956,917407
8864,r030,All states -> Louisiana,All states,Louisiana,2,29,853479,55106,798373
8864,r031,All states -> Kansas,All states,Kansas,2,30,751669,11797,739872
8864,r032,All states -> South Carolina,All states,South Carolina,2,31,749106,6549,742557
8864,r033,All states -> Oklahoma,All states,Oklahoma,2,32,693285,89171,604114
8864,r034,All states -> Kentucky,All states,Kentucky,2,33,643075,1774,641301
8864,r035,All states -> Nebraska,All states,Nebraska,2,34,612635,25858,586777
8864,r036,All states -> Rhode Island,All states,Rhode Island,2,35,584046,188316,395730
8864,r037,All states -> Mississippi,All states,Mississippi,2,36,518995,12335,506660
8864,r038,All states -> New Hampshire,All states,New Hampshire,2,37,513542,29229,484313
8864,r039,All states -> New Mexico,All states,New Mexico,2,38,473422,97091,376331
8864,r040,All states -> Arkansas,All states,Arkansas,2,39,436218,65436,370782
8864,r041,All states -> Hawaii,All states,Hawaii,2,40,417956,119671,298285
8864,r042,All states -> Maine,All states,Maine,2,41,323113,171850,151263
8864,r043,All states -> Nevada,All states,Nevada,2,42,301514,5044,296470
8864,r044,All states -> North Dakota,All states,North Dakota,2,43,300006,32698,267308
8864,r045,All states -> Montana,All states,Montana,2,44,294757,4460,290297
8864,r046,All states -> West Virginia,All states,West Virginia,2,45,268015,50227,217788
8864,r047,All states -> Delaware,All states,Delaware,2,46,244321,0,244321
8864,r048,All states -> Vermont,All states,Vermont,2,47,200454,6630,193824
8864,r049,All states -> Alaska,All states,Alaska,2,48,194891,17354,177537
8864,r050,All states -> Idaho,All states,Idaho,2,49,180755,10160,170595
8864,r051,All states -> South Dakota,All states,South Dakota,2,50,111177,558,110619
8864,r052,All states -> Wyoming,All states,Wyoming,2,51,93289,228,93061
