table_id,row_id,primary_work_activity_sup_a_sup_full_path,primary_work_activity_sup_a_sup_level_1,primary_work_activity_sup_a_sup_level_2,primary_work_activity_sup_a_sup_level_3,primary_work_activity_sup_a_sup_hierarchy_depth,field_united_states_employed_doctorates,field_united_states_employment_sector_education,field_united_states_employment_sector_business_or_industry,field_united_states_employment_sector_government,field_outside_of_the_united_states_employed_doctorates,field_outside_of_the_united_states_employment_sector_education,field_outside_of_the_united_states_employment_sector_business_or_industry,field_outside_of_the_united_states_employment_sector_government
3576,r001,All work activities,All work activities,,,1,857200,43.8,47.1,9.1,126050,64.7,24.8,10.5
3576,r002,All work activities -> Research and development,All work activities,Research and development,,2,351000,40.4,49.6,9.9,60600,66.9,20.5,12.7
3576,r003,All work activities -> Research and development -> Applied research,All work activities,Research and development,Applied research,3,168650,37.2,49.3,13.5,27250,63.3,21.5,15.2
3576,r004,All work activities -> Research and development -> Basic research,All work activities,Research and development,Basic research,3,92700,80.3,12.8,6.8,25850,84.8,5.4,9.8
3576,r005,All work activities -> Research and development -> Design,All work activities,Research and development,Design,3,24050,6.2,85.4,8.4,1850,8.2,81.6,10.2
3576,r006,All work activities -> Research and development -> Development,All work activities,Research and development,Development,3,65600,5.1,89.3,5.7,5600,21.2,64.5,14.3
3576,r007,All work activities -> Teaching,All work activities,Teaching,,2,161000,95.9,3.6,0.5,29650,97.9,1.6,0.5
3576,r008,All work activities -> Management and administration,All work activities,Management and administration,,2,165400,29.8,57.6,12.6,24100,36.7,49.4,13.9
3576,r009,All work activities -> Computer applications,All work activities,Computer applications,,2,44450,8.2,84.0,7.7,3050,26.2,64.9,8.9
3576,r010,All work activities -> Other<sup>b</sup>,All work activities,Other<sup>b</sup>,,2,135400,19.2,67.7,13.1,8650,27.6,51.9,20.5
