table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_hierarchy_depth,field_2019,field_2020,field_2021,field_2022,field_2023,field__change_2022_23
11336,r001,All FFRDCs,All FFRDCs,,1,22737500,23514241,24921476,26006971,29316897,12.7
11336,r002,All FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Aerospace Federally Funded Research and Development Center,2,1065989,1114741,1128241,1152833,1259428,9.2
11336,r003,All FFRDCs -> Ames Laboratory,All FFRDCs,Ames Laboratory,2,33612,32844,34214,38520,40638,5.5
11336,r004,All FFRDCs -> Argonne National Laboratory,All FFRDCs,Argonne National Laboratory,2,810693,859658,856568,962973,1234635,28.2
11336,r005,All FFRDCs -> Arroyo Center,All FFRDCs,Arroyo Center,2,37956,35248,38304,40856,42433,3.9
11336,r006,All FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Brookhaven National Laboratory,2,590470,595466,637658,655988,691417,5.4
11336,r007,All FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Center for Advanced Aviation System Development,2,174123,180634,230484,189490,186163,-1.8
11336,r008,All FFRDCs -> Center for Communications and Computing,All FFRDCs,Center for Communications and Computing,2,68371,67072,65255,74759,77391,3.5
11336,r009,All FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Center for Enterprise Modernization,2,174712,190408,263661,235436,258155,9.6
11336,r010,All FFRDCs -> Center for Naval Analyses,All FFRDCs,Center for Naval Analyses,2,96697,95874,96391,93567,96103,2.7
11336,r011,All FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Center for Nuclear Waste Regulatory Analyses,2,6987,6762,5630,4323,4405,1.9
11336,r012,All FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,CMS Alliance to Modernize Healthcare,2,213369,228162,348269,286693,281709,-1.7
11336,r013,All FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,Fermi National Accelerator Laboratory,2,334258,300002,319051,330294,402122,21.7
11336,r014,All FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Frederick National Laboratory for Cancer Research,2,751452,745726,861605,904182,929754,2.8
11336,r015,All FFRDCs -> Green Bank Observatory<sup>a</sup>,All FFRDCs,Green Bank Observatory<sup>a</sup>,2,NA,NA,8629,10752,12326,14.6
11336,r016,All FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Homeland Security Operational Analysis Center,2,54751,44736,34888,52984,66264,25.1
11336,r017,All FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Homeland Security Systems Engineering and Development Institute,2,115813,136874,183588,183261,217908,18.9
11336,r018,All FFRDCs -> Idaho National Laboratory,All FFRDCs,Idaho National Laboratory,2,478324,494094,516691,637579,653100,2.4
11336,r019,All FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,Jet Propulsion Laboratory,2,2709063,2638412,2388355,2417556,2671305,10.5
11336,r020,All FFRDCs -> Judiciary Engineering and Modernization Center<sup>b</sup>,All FFRDCs,Judiciary Engineering and Modernization Center<sup>b</sup>,2,7331,6765,5493,na,na,na
11336,r021,All FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,Lawrence Berkeley National Laboratory,2,872237,916082,966972,1031716,1190504,15.4
11336,r022,All FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Lawrence Livermore National Laboratory,2,1517429,1558071,1613673,1659808,2110938,27.2
11336,r023,All FFRDCs -> Lincoln Laboratory,All FFRDCs,Lincoln Laboratory,2,1103870,1115927,1136133,1142615,1265060,10.7
11336,r024,All FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Los Alamos National Laboratory,2,2461275,2722375,2974164,3294559,3768323,14.4
11336,r025,All FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,National Biodefense Analysis and Countermeasures Center,2,39003,42330,44968,45870,41321,-9.9
11336,r026,All FFRDCs -> National Center for Atmospheric Research,All FFRDCs,National Center for Atmospheric Research,2,199476,188484,181010,188238,210233,11.7
11336,r027,All FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,National Cybersecurity Center of Excellence,2,22205,23557,33671,27955,23010,-17.7
11336,r028,All FFRDCs -> National Defense Research Institute,All FFRDCs,National Defense Research Institute,2,67647,64134,66170,61097,67157,9.9
11336,r029,All FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,National Radio Astronomy Observatory,2,101901,100078,94202,92476,102863,11.2
11336,r030,All FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,National Renewable Energy Laboratory,2,455016,511585,559151,603356,718852,19.1
11336,r031,All FFRDCs -> National Security Engineering Center,All FFRDCs,National Security Engineering Center,2,1124861,1143701,1468298,1286520,1370949,6.6
11336,r032,All FFRDCs -> National Solar Observatory,All FFRDCs,National Solar Observatory,2,15931,16892,17684,33849,39856,17.7
11336,r033,All FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),2,38262,72686,75251,81505,94257,15.6
11336,r034,All FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Oak Ridge National Laboratory,2,1470372,1632684,1760578,1803543,2019259,12.0
11336,r035,All FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Pacific Northwest National Laboratory,2,1012136,1071249,1168268,1294614,1449496,12.0
11336,r036,All FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,Princeton Plasma Physics Laboratory,2,91271,107662,115505,120347,131042,8.9
11336,r037,All FFRDCs -> Project Air Force,All FFRDCs,Project Air Force,2,48325,46936,47966,46517,48729,4.8
11336,r038,All FFRDCs -> Sandia National Laboratories,All FFRDCs,Sandia National Laboratories,2,3373217,3395241,3542756,3811529,4275484,12.2
11336,r039,All FFRDCs -> Savannah River National Laboratory,All FFRDCs,Savannah River National Laboratory,2,176379,176093,191803,182654,244736,34.0
11336,r040,All FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Science and Technology Policy Institute,2,9080,9256,9784,10593,9977,-5.8
11336,r041,All FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,SLAC National Accelerator Laboratory,2,368938,382264,396780,432078,483193,11.8
11336,r042,All FFRDCs -> Software Engineering Institute,All FFRDCs,Software Engineering Institute,2,140954,141291,120443,129316,130141,0.6
11336,r043,All FFRDCs -> Systems and Analyses Center,All FFRDCs,Systems and Analyses Center,2,177948,171335,173792,201338,224574,11.5
11336,r044,All FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,Thomas Jefferson National Accelerator Facility,2,125796,130850,139479,152832,171687,12.3
