table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asia_and_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
2078,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['87,528', '  ']","['353', '  ']","['1,526', '  ']","['119', '  ']","['900', '  ']","['1,470', 'i ']","['1,844', '  ']","['7,188', '  ']","['423', '  ']","['7,726', '  ']","['42', '  ']","['3,588', '  ']","['789', '  ']","['134', '  ']","['2,192', '  ']","['1,413', '  ']","['1,166', '  ']","['343', '  ']","['932', 'i ']","['4,318', '  ']","['233', '  ']","['186', '  ']","['132', '  ']","['1,663', 'i ']"
2078,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['57,270', '  ']","['201', '  ']","['1,170', '  ']","['69', '  ']","['728', '  ']","['1,388', 'i ']","['1,154', '  ']","['5,166', '  ']","['185', '  ']","['3,822', '  ']","['36', '  ']","['2,491', '  ']","['766', '  ']","['62', '  ']","['1,661', '  ']","['1,171', '  ']","['872', '  ']","['263', '  ']","['484', '  ']","['2,996', '  ']","['168', '  ']","['69', '  ']","['79', '  ']","['718', 'i ']"
2078,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['865', '  ']","['5', '  ']","['96', 'i ']","['5', '  ']","['22', '  ']","['10', '  ']","['37', '  ']","['150', 'i ']","['*', '  ']","['7', '  ']","['3', '  ']","['2', '  ']","['*', '  ']","['2', '  ']","['20', '  ']","['4', '  ']","['*', '  ']","['6', '  ']","['13', '  ']","['*', '  ']","['*', '  ']","['1', '  ']","['0', '  ']","['154', 'i ']"
2078,r004,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['14,450', '  ']","['130', '  ']","['289', '  ']","['37', '  ']","['135', '  ']","['247', '  ']","['242', '  ']","['802', '  ']","['46', '  ']","['339', '  ']","['8', '  ']","['905', '  ']","['11', '  ']","['11', '  ']","['219', '  ']","['77', '  ']","['75', '  ']","['23', '  ']","['51', '  ']","['165', '  ']","['75', '  ']","['43', '  ']","['20', '  ']","['74', '  ']"
2078,r005,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['11,976', '  ']","['98', '  ']","['173', '  ']","['22', '  ']","['82', '  ']","['223', '  ']","['228', '  ']","['570', '  ']","['29', '  ']","['283', '  ']","['2', '  ']","['841', '  ']","['5', '  ']","['10', '  ']","['124', '  ']","['71', '  ']","['70', '  ']","['12', '  ']","['22', '  ']","['152', '  ']","['71', '  ']","['32', '  ']","['17', '  ']","['2', 'i ']"
2078,r006,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['2,474', '  ']","['32', '  ']","['116', 'i ']","['15', '  ']","['53', '  ']","['24', '  ']","['14', '  ']","['232', '  ']","['17', '  ']","['55', '  ']","['6', '  ']","['64', '  ']","['6', '  ']","['1', '  ']","['95', '  ']","['6', '  ']","['6', '  ']","['10', '  ']","['29', '  ']","['13', '  ']","['4', '  ']","['11', '  ']","['3', '  ']","['72', '  ']"
2078,r007,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['902', '  ']","['27', '  ']","['72', '  ']","['1', '  ']","['23', '  ']","['10', '  ']","['5', '  ']","['126', '  ']","['8', '  ']","['8', '  ']","['1', '  ']","['62', '  ']","['1', '  ']","['2', '  ']","['2', '  ']","['54', '  ']","['13', '  ']","['5', '  ']","['2', '  ']","['0', '  ']","['10', '  ']","['*', '  ']","['1', '  ']","['0 - 34', '  ']"
2078,r008,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['181', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', 'i ']","['0', '  ']","['*', '  ']","['11', 'i ']","['0', '  ']","['1', 'i ']","['0', '  ']","['35', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['40', 'i ']","['8', 'i ']","['0', '  ']","['1', '  ']","['20', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']"
2078,r009,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['166', '  ']","['1', '  ']","['1', '  ']","['*', '  ']","['3', '  ']","['*', '  ']","['2', '  ']","['7', '  ']","['0', '  ']","['4', '  ']","['*', '  ']","['41', '  ']","['*', '  ']","['0', '  ']","['1', '  ']","['2', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['0', '  ']","['3', '  ']"
2078,r010,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['3,266', '  ']","['2', '  ']","['96', 'i ']","['1', '  ']","['13', '  ']","['1', '  ']","['31', '  ']","['296', '  ']","['4', '  ']","['168', '  ']","['*', '  ']","['105', '  ']","['12', 'i ']","['9', '  ']","['72', '  ']","['147', '  ']","['44', '  ']","['1', '  ']","['11', '  ']","['228', '  ']","['4', '  ']","['2', 'i ']","['*', '  ']","['54', 'i ']"
2078,r011,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['22,648', '  ']","['19', '  ']","['53', '  ']","['1', '  ']","['126', '  ']","['990', 'i ']","['105', '  ']","['2,265', '  ']","['79', '  ']","['2,789', '  ']","['10', '  ']","['926', '  ']","['734', '  ']","['31', '  ']","['1,208', '  ']","['202', '  ']","['671', '  ']","['180', '  ']","['312', '  ']","['2,372', '  ']","['20', '  ']","['8', '  ']","['*', '  ']","['355 - 436', 'i ']"
2078,r012,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,867', '  ']","['*', '  ']","['113', '  ']","['1', '  ']","['32', '  ']","['7', 'i ']","['5', 'i ']","['385', '  ']","['20', '  ']","['55', '  ']","['0', '  ']","['82', '  ']","['*', '  ']","['0', '  ']","['2', '  ']","['31', '  ']","['20', 'i ']","['2', '  ']","['36', 'i ']","['5', '  ']","['3', 'i ']","['1', '  ']","['0', '  ']","['*', 'i ']"
2078,r013,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['8,822', '  ']","['6', '  ']","['397', '  ']","['*', '  ']","['320', '  ']","['16', '  ']","['596', '  ']","['699', '  ']","['*', '  ']","['345', '  ']","['*', '  ']","['112', '  ']","['1', '  ']","['0', '  ']","['4', 'i ']","['563', '  ']","['17', '  ']","['20', '  ']","['6', 'i ']","['61', '  ']","['1', '  ']","['0 - 17', '  ']","['0 - 60', '  ']","['0 - 81', 'i ']"
2078,r014,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,"['2,787', '  ']","['0 - 15', '  ']","['27', '  ']","['21', '  ']","['17', '  ']","['66', '  ']","['127', 'i ']","['260', '  ']","['22', '  ']","['91', '  ']","['1', '  ']","['184', '  ']","['5', '  ']","['6', '  ']","['87', '  ']","['26', '  ']","['13', '  ']","['1', '  ']","['11', '  ']","['145', '  ']","['6', '  ']","['0 - 17', '  ']","['0 - 60', '  ']","['0 - 81', '  ']"
2078,r015,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['1,315', '  ']","['0 - 15', '  ']","['28', '  ']","['2', '  ']","['30', '  ']","['40', '  ']","['4', '  ']","['165', '  ']","['7', 'i ']","['16', '  ']","['14', '  ']","['38', '  ']","['1', '  ']","['1', '  ']","['44', '  ']","['24', '  ']","['11', '  ']","['23', '  ']","['40', '  ']","['*', '  ']","['47', '  ']","['0 - 17', '  ']","['*', '  ']","['0 - 81', '  ']"
2078,r016,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['30,258', '  ']","['152', 'i ']","['356', '  ']","['50', '  ']","['173', '  ']","['82', '  ']","['690', '  ']","['2,022', '  ']","['237', '  ']","['3,904', '  ']","['5', '  ']","['1,096', 'i ']","['24', '  ']","['72', '  ']","['532', 'i ']","['242', 'i ']","['295', '  ']","['80', '  ']","['448', 'i ']","['1,322', '  ']","['66', '  ']","['117', 'i ']","['53', '  ']","['945', 'i ']"
2078,r017,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['37', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['27', 'i ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']"
2078,r018,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['14,646', '  ']","['43', '  ']","['107', '  ']","['24', '  ']","['63', '  ']","['38', '  ']","['308', '  ']","['1,154', '  ']","['134', '  ']","['2,646', '  ']","['1', '  ']","['254', '  ']","['9', '  ']","['37', '  ']","['165', '  ']","['73', '  ']","['163', '  ']","['5', '  ']","['370', 'i ']","['727', '  ']","['17', '  ']","['15 - 30', '  ']","['23 - 39', '  ']","['116 - 139', 'i ']"
2078,r019,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['94', '  ']","['*', 'i ']","['3', '  ']","['*', '  ']","['3', '  ']","['0 - 9', '  ']","['*', '  ']","['2', '  ']","['*', '  ']","['15', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 20', 'i ']","['0 - 46', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0 - 46', '  ']"
2078,r020,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['2,272', '  ']","['23', '  ']","['12', '  ']","['*', '  ']","['2', '  ']","['30', '  ']","['57', '  ']","['104', '  ']","['4', '  ']","['348', '  ']","['*', '  ']","['25', '  ']","['2', '  ']","['18', '  ']","['17', '  ']","['3', '  ']","['8', '  ']","['*', '  ']","['13', '  ']","['103', '  ']","['8', '  ']","['16', '  ']","['0', '  ']","['79 - 138', 'i ']"
2078,r021,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['12,281', '  ']","['20', '  ']","['92', '  ']","['23', '  ']","['58', '  ']","['0 - 9', 'i ']","['250', '  ']","['1,048', '  ']","['130', '  ']","['2,283', '  ']","['1', '  ']","['229', '  ']","['7', '  ']","['0 - 20', '  ']","['101 - 149', '  ']","['67', '  ']","['155', '  ']","['5', '  ']","['357', 'i ']","['624', '  ']","['9', '  ']","['0 - 15', '  ']","['23 - 39', '  ']","['0 - 60', '  ']"
2078,r022,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['11,064', '  ']","['108', 'i ']","['148', 'i ']","['25', 'i ']","['84', '  ']","['37', 'i ']","['216', '  ']","['652', '  ']","['49', '  ']","['670', '  ']","['4', 'i ']","['570', 'i ']","['11', 'i ']","['18', 'i ']","['205', 'i ']","['116', 'i ']","['127', '  ']","['17', 'i ']","['66', 'i ']","['507', '  ']","['15', 'i ']","['88', 'i ']","['10', 'i ']","['394 - 416', 'i ']"
2078,r023,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['53', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['4', '  ']","['0', '  ']","['*', '  ']","['1', '  ']","['*', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['1', '  ']"
2078,r024,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['7,124', '  ']","['107', 'i ']","['104', 'i ']","['23', 'i ']","['65', 'i ']","['32', 'i ']","['135', 'i ']","['292', 'i ']","['24', 'i ']","['207', 'i ']","['2', 'i ']","['500', 'i ']","['10', 'i ']","['16', 'i ']","['179', 'i ']","['115', 'i ']","['46', 'i ']","['16', 'i ']","['17', 'i ']","['62', 'i ']","['7', 'i ']","['84', 'i ']","['6', 'i ']","['1', '  ']"
2078,r025,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['1,996', '  ']","['15', '  ']","['18', '  ']","['7', '  ']","['29', '  ']","['12', '  ']","['56', '  ']","['93', '  ']","['5', '  ']","['42', '  ']","['*', '  ']","['63', '  ']","['2', '  ']","['7', '  ']","['13', '  ']","['33', '  ']","['14', '  ']","['3', '  ']","['3', '  ']","['18', '  ']","['*', '  ']","['8', '  ']","['0', '  ']","['*', '  ']"
2078,r026,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Data processing, hosting, and related services",5,other 5417,"['5,128', '  ']","['92', 'i ']","['85', 'i ']","['15', 'i ']","['37', 'i ']","['19', 'i ']","['78', 'i ']","['200', 'i ']","['20', 'i ']","['165', 'i ']","['2', 'i ']","['437', 'i ']","['9', 'i ']","['9', 'i ']","['166', 'i ']","['82', 'i ']","['32', 'i ']","['13', 'i ']","['14', 'i ']","['44', 'i ']","['7', 'i ']","['76', 'i ']","['6', 'i ']","['1', '  ']"
2078,r027,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,888', '  ']","['1', '  ']","['44', '  ']","['2', '  ']","['15', '  ']","['5', '  ']","['81', '  ']","['359', '  ']","['24', '  ']","['463', '  ']","['2', '  ']","['69', '  ']","['*', '  ']","['2', '  ']","['23', 'i ']","['1', '  ']","['81', '  ']","['1', '  ']","['49', '  ']","['445', '  ']","['*', '  ']","['4', '  ']","['4', '  ']","['391 - 415', 'i ']"
2078,r028,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"21–23, 44–45, 48–49, 52–53, 55–56, 621–24, 71–72, 81","['4,511', '  ']","['1', 'i ']","['101', 'i ']","['2', '  ']","['26', '  ']","['7', 'i ']","['166', 'i ']","['216', 'i ']","['27', '  ']","['588', 'i ']","['*', '  ']","['272', 'i ']","['3', '  ']","['17', '  ']","['161', 'i ']","['53', 'i ']","['4', 'i ']","['58', '  ']","['12', '  ']","['88', 'i ']","['34', 'i ']","['0 - 15', '  ']","['3 - 21', 'i ']","['388 - 435', 'i ']"
2078,r029,"All companies (number of domestic<br>  employees)","All companies (number of domestic<br>  employees)",,,,,1,–,"['87,528', '  ']","['353', '  ']","['1,526', '  ']","['119', '  ']","['900', '  ']","['1,470', 'i ']","['1,844', '  ']","['7,188', '  ']","['423', '  ']","['7,726', '  ']","['42', '  ']","['3,588', '  ']","['789', '  ']","['134', '  ']","['2,192', '  ']","['1,413', '  ']","['1,166', '  ']","['343', '  ']","['932', 'i ']","['4,318', '  ']","['233', '  ']","['186', '  ']","['132', '  ']","['1,663', 'i ']"
2078,r030,"All companies (number of domestic<br>  employees) -> Small companies","All companies (number of domestic<br>  employees)",Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2078,r031,"All companies (number of domestic<br>  employees) -> Small companies -> 10&#8211;19<sup>a</sup>","All companies (number of domestic<br>  employees)",Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['136', '  ']","['0', '  ']","['0', '  ']","['0 - 5', '  ']","['0', '  ']","['0 - 6', '  ']","['1', '  ']","['17', '  ']","['*', '  ']","['6', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['*', '  ']","['14', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['8', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['13', '  ']"
2078,r032,"All companies (number of domestic<br>  employees) -> Small companies -> 20&#8211;49","All companies (number of domestic<br>  employees)",Small companies,20&#8211;49,,,3,–,"['577', '  ']","['*', '  ']","['5', '  ']","['0 - 5', '  ']","['2', '  ']","['0 - 6', '  ']","['16', '  ']","['94', '  ']","['*', '  ']","['50', '  ']","['*', '  ']","['19', '  ']","['*', '  ']","['0', '  ']","['1', '  ']","['3', '  ']","['27', '  ']","['1', '  ']","['4', '  ']","['46', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['201', 'i ']"
2078,r033,"All companies (number of domestic<br>  employees) -> Medium companies","All companies (number of domestic<br>  employees)",Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2078,r034,"All companies (number of domestic<br>  employees) -> Medium companies -> 50&#8211;99","All companies (number of domestic<br>  employees)",Medium companies,50&#8211;99,,,3,–,"['482', '  ']","['4', '  ']","['16', '  ']","['0', '  ']","['1', '  ']","['*', '  ']","['2', '  ']","['62', '  ']","['1', '  ']","['63', '  ']","['*', '  ']","['3', '  ']","['*', '  ']","['*', '  ']","['4', '  ']","['3', '  ']","['7', '  ']","['*', '  ']","['6', '  ']","['60', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['0 - 18', '  ']"
2078,r035,"All companies (number of domestic<br>  employees) -> Medium companies -> 100&#8211;249","All companies (number of domestic<br>  employees)",Medium companies,100&#8211;249,,,3,–,"['1,380', '  ']","['1', '  ']","['8', '  ']","['1', 'i ']","['9', '  ']","['13', '  ']","['12', '  ']","['168', '  ']","['22', '  ']","['58', '  ']","['14', '  ']","['11', '  ']","['*', '  ']","['2', '  ']","['53', '  ']","['11', 'i ']","['82', '  ']","['2', '  ']","['13', '  ']","['28', '  ']","['8', '  ']","['10', '  ']","['0', '  ']","['13', 'i ']"
2078,r036,"All companies (number of domestic<br>  employees) -> Large companies","All companies (number of domestic<br>  employees)",Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2078,r037,"All companies (number of domestic<br>  employees) -> Large companies -> 250&#8211;499","All companies (number of domestic<br>  employees)",Large companies,250&#8211;499,,,3,–,"['2,272', '  ']","['13', '  ']","['9', '  ']","['1', '  ']","['32', '  ']","['45', '  ']","['11', '  ']","['235', '  ']","['31', '  ']","['179', '  ']","['0', '  ']","['80', '  ']","['4', '  ']","['2', 'i ']","['143', '  ']","['142', '  ']","['69', '  ']","['1', '  ']","['63', '  ']","['105', '  ']","['10', '  ']","['2', '  ']","['0', '  ']","['2', '  ']"
2078,r038,"All companies (number of domestic<br>  employees) -> Large companies -> 500&#8211;999","All companies (number of domestic<br>  employees)",Large companies,500&#8211;999,,,3,–,"['2,516', '  ']","['35', '  ']","['15', '  ']","['2', '  ']","['37', '  ']","['15', '  ']","['52', '  ']","['198', '  ']","['16', '  ']","['105', '  ']","['3', '  ']","['86', '  ']","['26', '  ']","['*', '  ']","['77', '  ']","['17', '  ']","['64', '  ']","['8', '  ']","['6', '  ']","['78', '  ']","['*', '  ']","['1', '  ']","['1', '  ']","['243', 'i ']"
2078,r039,"All companies (number of domestic<br>  employees) -> Large companies -> 1,000&#8211;4,999","All companies (number of domestic<br>  employees)",Large companies,"1,000&#8211;4,999",,,3,–,"['15,143', '  ']","['22', '  ']","['147', '  ']","['11', '  ']","['106', '  ']","['48', '  ']","['307', 'i ']","['1,346', '  ']","['107', '  ']","['1,839', '  ']","['6', '  ']","['342', '  ']","['60', '  ']","['40', '  ']","['265', '  ']","['121', '  ']","['209', '  ']","['88', '  ']","['441', 'i ']","['487', '  ']","['5', '  ']","['0 - 58', '  ']","['3 - 66', '  ']","['155 - 183', 'i ']"
