table_id,row_id,region_country_or_economy_and_field_full_path,region_country_or_economy_and_field_level_1,region_country_or_economy_and_field_level_2,region_country_or_economy_and_field_level_3,region_country_or_economy_and_field_level_4,region_country_or_economy_and_field_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018
5785,r001,Argentina,Argentina,,,,1,,,,,,,,,
5785,r002,Argentina -> All fields,Argentina,All fields,,,2,79533,80296,82919,76413,76413,88639,NA,NA,NA
5785,r003,Argentina -> All fields -> S&E fields,Argentina,All fields,S&E fields,,3,24940,25868,27543,16192,16192,30072,NA,NA,NA
5785,r004,Argentina -> All fields -> S&E fields -> Physical and biological sciences and mathematics and statistics,Argentina,All fields,S&E fields,Physical and biological sciences and mathematics and statistics,4,2713,2830,2832,4686,4686,3448,NA,NA,NA
5785,r005,Argentina -> All fields -> S&E fields -> Computer sciences,Argentina,All fields,S&E fields,Computer sciences,4,2385,2367,2482,NA,NA,2120,NA,NA,NA
5785,r006,Argentina -> All fields -> S&E fields -> Agricultural sciences,Argentina,All fields,S&E fields,Agricultural sciences,4,2586,3023,2968,3273,3273,2893,NA,NA,NA
5785,r007,Argentina -> All fields -> S&E fields -> Social and behavioral sciences,Argentina,All fields,S&E fields,Social and behavioral sciences,4,10312,10400,11004,NA,NA,11643,NA,NA,NA
5785,r008,Argentina -> All fields -> S&E fields -> Engineering,Argentina,All fields,S&E fields,Engineering,4,6944,7248,8257,8233,8233,9968,NA,NA,NA
5785,r009,Australia,Australia,,,,1,,,,,,,,,
5785,r010,Australia -> All fields,Australia,All fields,,,2,203906,217961,220797,194610,194308,192490,198097,199694,206726
5785,r011,Australia -> All fields -> S&E fields,Australia,All fields,S&E fields,,3,49494,52492,53831,53249,53884,55182,55093,55196,59137
5785,r012,Australia -> All fields -> S&E fields -> Physical and biological sciences and mathematics and statistics,Australia,All fields,S&E fields,Physical and biological sciences and mathematics and statistics,4,11094,11664,11893,12838,13801,16008,16020,15808,16292
5785,r013,Australia -> All fields -> S&E fields -> Computer sciences,Australia,All fields,S&E fields,Computer sciences,4,7055,6994,6943,6395,6141,6279,6442,6754,7927
5785,r014,Australia -> All fields -> S&E fields -> Agricultural sciences,Australia,All fields,S&E fields,Agricultural sciences,4,1522,1519,1479,1222,1133,1071,1159,1321,1471
5785,r015,Australia -> All fields -> S&E fields -> Social and behavioral sciences,Australia,All fields,S&E fields,Social and behavioral sciences,4,14121,15428,16155,16649,16749,17859,17418,17156,17924
5785,r016,Australia -> All fields -> S&E fields -> Engineering,Australia,All fields,S&E fields,Engineering,4,15702,16887,17361,16145,16060,13966,14054,14158,15522
5785,r017,Austria,Austria,,,,1,,,,,,,,,
5785,r018,Austria -> All fields,Austria,All fields,,,2,32143,35633,38735,40811,37254,37264,37358,36242,35028
5785,r019,Austria -> All fields -> S&E fields,Austria,All fields,S&E fields,,3,12738,14164,15183,15962,15503,14900,15809,13911,12151
5785,r020,Austria -> All fields -> S&E fields -> Physical and biological sciences and mathematics and statistics,Austria,All fields,S&E fields,Physical and biological sciences and mathematics and statistics,4,2114,2423,2399,3030,2660,2556,2576,2646,2651
