table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_human_machine_interfaces_number_yes,field_human_machine_interfaces_number_no,field_human_machine_interfaces_percent_yes,field_human_machine_interfaces_percent_no
11526,r001,All companies,All companies,,,1,"['4,874,928', '&nbsp;']","['20,789', '&nbsp;']","['4,854,139', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11526,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11526,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,734,191', '&nbsp;']","['11,427', '&nbsp;']","['2,722,764', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11526,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['950,548', '&nbsp;']","['3,607', '&nbsp;']","['946,941', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11526,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11526,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['577,397', '&nbsp;']","['2,587', '&nbsp;']","['574,810', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11526,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['399,566', '&nbsp;']","['1,653', '&nbsp;']","['397,913', '&nbsp;']","['0.4', '&nbsp;']","['99.6', '&nbsp;']"
11526,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11526,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['115,591', '&nbsp;']","['721', '&nbsp;']","['114,870', '&nbsp;']","['0.6', '&nbsp;']","['99.4', '&nbsp;']"
11526,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['63,969', '&nbsp;']","['410', '&nbsp;']","['63,559', '&nbsp;']","['0.6', '&nbsp;']","['99.4', '&nbsp;']"
11526,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
11526,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['18,124', '&nbsp;']","['59', '&nbsp;']","['18,065', '&nbsp;']","['0.3', '&nbsp;']","['99.7', '&nbsp;']"
11526,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,668', '&nbsp;']","['55', '&nbsp;']","['7,613', '&nbsp;']","['0.7', '&nbsp;']","['99.3', '&nbsp;']"
11526,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,010', '&nbsp;']","['131', '&nbsp;']","['5,879', '&nbsp;']","['2.2', '&nbsp;']","['97.8', '&nbsp;']"
11526,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['982', '&nbsp;']","['52', '&nbsp;']","['930', '&nbsp;']","['5.3', '&nbsp;']","['94.7', 'r']"
11526,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['516', '&nbsp;']","['36', '&nbsp;']","['480', '&nbsp;']","['6.9', '&nbsp;']","['93.1', '&nbsp;']"
11526,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['372', '&nbsp;']","['60', '&nbsp;']","['312', '&nbsp;']","['16.1', '&nbsp;']","['83.9', '&nbsp;']"
